n_islands,n_individuals,corr_eval,mse_adj,method,order_seed,target_island
1,202,0.016536262496207876,0.9844147562980652,shapley_mean,-1,14
2,368,0.02918265838586089,0.9833281636238098,shapley_mean,-1,14
3,952,0.0612320625067696,0.9767109155654907,shapley_mean,-1,14
4,1110,0.06504952644440838,0.9755300879478455,shapley_mean,-1,14
5,1693,0.08888939202220515,0.9740524291992188,shapley_mean,-1,14
6,2251,0.08877699053072985,0.9731168150901794,shapley_mean,-1,14
7,2370,0.08239508404403038,0.9738394618034363,shapley_mean,-1,14
8,2629,0.09896304661591679,0.9697295427322388,shapley_mean,-1,14
9,2921,0.09896381712023701,0.9686493873596191,shapley_mean,-1,14
10,3094,0.07797751498781355,0.9720513224601746,shapley_mean,-1,14
11,4172,0.06720986259721842,0.9735772013664246,shapley_mean,-1,14
12,4366,0.0738366709034213,0.9710651636123657,shapley_mean,-1,14
13,4722,0.07485055387147917,0.9708001017570496,shapley_mean,-1,14
14,5119,0.11625332524361641,0.960953950881958,shapley_mean,-1,14
15,5211,0.11148604409010426,0.9619865417480469,shapley_mean,-1,14
1,202,0.1502099668976192,0.9774765968322754,random_individual,0,14
2,368,0.15092643419685534,0.975722074508667,random_individual,0,14
3,952,0.1950761660072887,0.9648808240890503,random_individual,0,14
4,1110,0.1920849438263742,0.9636308550834656,random_individual,0,14
5,1693,0.17970640614435768,0.9596493244171143,random_individual,0,14
6,2251,0.2018838926565425,0.9503886699676514,random_individual,0,14
7,2370,0.18590594133384677,0.9527532458305359,random_individual,0,14
8,2629,0.16618797118626152,0.9556537866592407,random_individual,0,14
9,2921,0.15386185972862543,0.9580530524253845,random_individual,0,14
10,3094,0.16506890370298782,0.954840898513794,random_individual,0,14
11,4172,0.12080169353606177,0.9617084264755249,random_individual,0,14
12,4366,0.11668246863088676,0.9623335003852844,random_individual,0,14
13,4722,0.09098000273482713,0.968572735786438,random_individual,0,14
14,5119,0.10350376463112852,0.9639658331871033,random_individual,0,14
15,5211,0.11148604409010426,0.9619865417480469,random_individual,0,14
1,202,-0.06431257815677692,1.063427448272705,random_individual,1,14
2,368,-0.042901272775790165,1.022581696510315,random_individual,1,14
3,952,0.10123341698375422,0.9829804301261902,random_individual,1,14
4,1110,0.12384112265760634,0.9754073619842529,random_individual,1,14
5,1693,0.05656901136008339,0.9788945317268372,random_individual,1,14
6,2251,0.06147088664064601,0.976107656955719,random_individual,1,14
7,2370,0.062188995143688905,0.9761988520622253,random_individual,1,14
8,2629,0.0741695032070615,0.9741703867912292,random_individual,1,14
9,2921,0.09379529427890748,0.9692731499671936,random_individual,1,14
10,3094,0.08468636327227778,0.9692397117614746,random_individual,1,14
11,4172,0.1300257745491752,0.9591504335403442,random_individual,1,14
12,4366,0.1160080741468897,0.9629132151603699,random_individual,1,14
13,4722,0.1123649523262916,0.9636937379837036,random_individual,1,14
14,5119,0.10603392620404929,0.9636266827583313,random_individual,1,14
15,5211,0.11148604409010426,0.9619865417480469,random_individual,1,14
