n_removed,n_islands_remaining,n_individuals_remaining,corr_eval,mse_adj,method,order_seed,n_islands,n_individuals,target_island,target_island_name,repeat,split_seed,n_permutations,trait,cal_fraction,n_cal_samples
14,1,92,0.18822587443901162,0.3670784831047058,shapley_mean,-1,1,92,3,Selvær,6,203572148,10,tarsus,0.05154639175257732,10
13,2,244,0.1908671327074773,0.35779598355293274,shapley_mean,-1,2,244,3,Selvær,6,203572148,10,tarsus,0.05154639175257732,10
12,3,640,0.20119234244540485,0.36205968260765076,shapley_mean,-1,3,640,3,Selvær,6,203572148,10,tarsus,0.05154639175257732,10
11,4,757,0.13967683512741522,0.3595770299434662,shapley_mean,-1,4,757,3,Selvær,6,203572148,10,tarsus,0.05154639175257732,10
10,5,1340,0.2235528738507106,0.3502880334854126,shapley_mean,-1,5,1340,3,Selvær,6,203572148,10,tarsus,0.05154639175257732,10
9,6,1826,0.19405590519337512,0.35076743364334106,shapley_mean,-1,6,1826,3,Selvær,6,203572148,10,tarsus,0.05154639175257732,10
8,7,1999,0.14647511359570653,0.3511247932910919,shapley_mean,-1,7,1999,3,Selvær,6,203572148,10,tarsus,0.05154639175257732,10
7,8,3062,0.2517724551015369,0.3431384265422821,shapley_mean,-1,8,3062,3,Selvær,6,203572148,10,tarsus,0.05154639175257732,10
6,9,3348,0.25419688579341576,0.34011122584342957,shapley_mean,-1,9,3348,3,Selvær,6,203572148,10,tarsus,0.05154639175257732,10
5,10,3903,0.2652551177898917,0.33790773153305054,shapley_mean,-1,10,3903,3,Selvær,6,203572148,10,tarsus,0.05154639175257732,10
4,11,4251,0.2540729741936186,0.34073349833488464,shapley_mean,-1,11,4251,3,Selvær,6,203572148,10,tarsus,0.05154639175257732,10
3,12,4453,0.26313914673987693,0.3408818542957306,shapley_mean,-1,12,4453,3,Selvær,6,203572148,10,tarsus,0.05154639175257732,10
2,13,4616,0.26290427005797334,0.34162136912345886,shapley_mean,-1,13,4616,3,Selvær,6,203572148,10,tarsus,0.05154639175257732,10
1,14,4873,0.2392173087127883,0.345779687166214,shapley_mean,-1,14,4873,3,Selvær,6,203572148,10,tarsus,0.05154639175257732,10
0,15,5456,0.2477772486620286,0.34290507435798645,shapley_mean,-1,15,5456,3,Selvær,6,203572148,10,tarsus,0.05154639175257732,10
14,1,92,-0.11862310530696156,0.36168718338012695,random_individual,0,1,92,3,Selvær,6,203572148,10,tarsus,0.05154639175257732,10
13,2,244,0.12639649942217862,0.33655861020088196,random_individual,0,2,244,3,Selvær,6,203572148,10,tarsus,0.05154639175257732,10
12,3,640,0.1524980382393296,0.355073481798172,random_individual,0,3,640,3,Selvær,6,203572148,10,tarsus,0.05154639175257732,10
11,4,757,0.08818219073185976,0.36079150438308716,random_individual,0,4,757,3,Selvær,6,203572148,10,tarsus,0.05154639175257732,10
10,5,1340,0.12764657907884,0.3611310124397278,random_individual,0,5,1340,3,Selvær,6,203572148,10,tarsus,0.05154639175257732,10
9,6,1826,0.1920939075218486,0.35425302386283875,random_individual,0,6,1826,3,Selvær,6,203572148,10,tarsus,0.05154639175257732,10
8,7,1999,0.07389830020086043,0.36643296480178833,random_individual,0,7,1999,3,Selvær,6,203572148,10,tarsus,0.05154639175257732,10
7,8,3062,0.08718908865224989,0.36451447010040283,random_individual,0,8,3062,3,Selvær,6,203572148,10,tarsus,0.05154639175257732,10
6,9,3348,0.09644169235571268,0.36292994022369385,random_individual,0,9,3348,3,Selvær,6,203572148,10,tarsus,0.05154639175257732,10
5,10,3903,0.15363202624832828,0.36140918731689453,random_individual,0,10,3903,3,Selvær,6,203572148,10,tarsus,0.05154639175257732,10
4,11,4251,0.17400359103528726,0.3573503792285919,random_individual,0,11,4251,3,Selvær,6,203572148,10,tarsus,0.05154639175257732,10
3,12,4453,0.16498161781018147,0.36144134402275085,random_individual,0,12,4453,3,Selvær,6,203572148,10,tarsus,0.05154639175257732,10
2,13,4616,0.1761879403274028,0.3599940538406372,random_individual,0,13,4616,3,Selvær,6,203572148,10,tarsus,0.05154639175257732,10
1,14,4873,0.20834443905694502,0.34923291206359863,random_individual,0,14,4873,3,Selvær,6,203572148,10,tarsus,0.05154639175257732,10
0,15,5456,0.2477772486620286,0.34290507435798645,random_individual,0,15,5456,3,Selvær,6,203572148,10,tarsus,0.05154639175257732,10
14,1,92,0.05713353129753679,0.3378303050994873,random_individual,1,1,92,3,Selvær,6,203572148,10,tarsus,0.05154639175257732,10
13,2,244,-0.11188751858784951,0.35929587483406067,random_individual,1,2,244,3,Selvær,6,203572148,10,tarsus,0.05154639175257732,10
12,3,640,-0.14598201188336762,0.38652515411376953,random_individual,1,3,640,3,Selvær,6,203572148,10,tarsus,0.05154639175257732,10
11,4,757,-0.11998983625474058,0.3856048882007599,random_individual,1,4,757,3,Selvær,6,203572148,10,tarsus,0.05154639175257732,10
10,5,1340,0.004037435606957155,0.3711930513381958,random_individual,1,5,1340,3,Selvær,6,203572148,10,tarsus,0.05154639175257732,10
9,6,1826,0.03315675900209582,0.3693864643573761,random_individual,1,6,1826,3,Selvær,6,203572148,10,tarsus,0.05154639175257732,10
8,7,1999,0.0521355147542551,0.3646380305290222,random_individual,1,7,1999,3,Selvær,6,203572148,10,tarsus,0.05154639175257732,10
7,8,3062,0.11087479657973955,0.3614492118358612,random_individual,1,8,3062,3,Selvær,6,203572148,10,tarsus,0.05154639175257732,10
6,9,3348,0.13026967935819056,0.35664162039756775,random_individual,1,9,3348,3,Selvær,6,203572148,10,tarsus,0.05154639175257732,10
5,10,3903,0.12273052958382717,0.35855725407600403,random_individual,1,10,3903,3,Selvær,6,203572148,10,tarsus,0.05154639175257732,10
4,11,4251,0.15324041091863422,0.3561626672744751,random_individual,1,11,4251,3,Selvær,6,203572148,10,tarsus,0.05154639175257732,10
3,12,4453,0.15522487868547244,0.3561415672302246,random_individual,1,12,4453,3,Selvær,6,203572148,10,tarsus,0.05154639175257732,10
2,13,4616,0.2046610533223115,0.3523663282394409,random_individual,1,13,4616,3,Selvær,6,203572148,10,tarsus,0.05154639175257732,10
1,14,4873,0.23849525849387823,0.3461415767669678,random_individual,1,14,4873,3,Selvær,6,203572148,10,tarsus,0.05154639175257732,10
0,15,5456,0.2477772486620286,0.34290507435798645,random_individual,1,15,5456,3,Selvær,6,203572148,10,tarsus,0.05154639175257732,10
14,1,92,0.1658364659090682,0.40015077590942383,random_individual,2,1,92,3,Selvær,6,203572148,10,tarsus,0.05154639175257732,10
13,2,244,0.19481599463678803,0.3883160352706909,random_individual,2,2,244,3,Selvær,6,203572148,10,tarsus,0.05154639175257732,10
12,3,640,0.13848397936233464,0.3711010813713074,random_individual,2,3,640,3,Selvær,6,203572148,10,tarsus,0.05154639175257732,10
11,4,757,0.10395419965389188,0.3744112253189087,random_individual,2,4,757,3,Selvær,6,203572148,10,tarsus,0.05154639175257732,10
10,5,1340,0.09147232866521993,0.37175408005714417,random_individual,2,5,1340,3,Selvær,6,203572148,10,tarsus,0.05154639175257732,10
9,6,1826,0.18315862214653478,0.3594173491001129,random_individual,2,6,1826,3,Selvær,6,203572148,10,tarsus,0.05154639175257732,10
8,7,1999,0.21470537182156493,0.36099404096603394,random_individual,2,7,1999,3,Selvær,6,203572148,10,tarsus,0.05154639175257732,10
7,8,3062,0.17120407113333994,0.36483803391456604,random_individual,2,8,3062,3,Selvær,6,203572148,10,tarsus,0.05154639175257732,10
6,9,3348,0.1699047923242179,0.3660334348678589,random_individual,2,9,3348,3,Selvær,6,203572148,10,tarsus,0.05154639175257732,10
5,10,3903,0.2014796308395018,0.36434653401374817,random_individual,2,10,3903,3,Selvær,6,203572148,10,tarsus,0.05154639175257732,10
4,11,4251,0.2197247355356331,0.3538933992385864,random_individual,2,11,4251,3,Selvær,6,203572148,10,tarsus,0.05154639175257732,10
3,12,4453,0.22845940904017836,0.35337555408477783,random_individual,2,12,4453,3,Selvær,6,203572148,10,tarsus,0.05154639175257732,10
2,13,4616,0.2248371958498937,0.35605141520500183,random_individual,2,13,4616,3,Selvær,6,203572148,10,tarsus,0.05154639175257732,10
1,14,4873,0.23288532858504907,0.34951651096343994,random_individual,2,14,4873,3,Selvær,6,203572148,10,tarsus,0.05154639175257732,10
