permutation_index,source_island,phi_running,rank_running,source_island_name,target_island
1,0,0.03999172905154377,2,Nesøy,5
1,1,0.012029655219133989,9,Myken,5
1,2,-0.011331732281512297,14,Træna,5
1,3,0.05876754809632034,1,Selvær,5
1,4,-0.0544744832889629,15,Gjerøy,5
1,6,0.029933503218111113,5,Indre Kvarøy,5
1,7,0.0012063825195332833,12,Onøy og Lurøy,5
1,8,0.00864975877506044,11,Lovund,5
1,9,-0.0077570432455514,13,Sleneset,5
1,10,0.009838887179067182,10,Aldra,5
1,11,0.03254785063092376,4,Southern 1,5
1,12,0.03801829992849476,3,Southern 2,5
1,13,0.023050252644018915,7,Southern 3,5
1,14,0.012407239071244192,8,Southern 4,5
1,15,0.026651550504421306,6,Southern 5,5
2,0,0.04340179923320536,4,Nesøy,5
2,1,0.012838343589973086,8,Myken,5
2,2,-0.023008891222624568,14,Træna,5
2,3,0.049464442973850546,2,Selvær,5
2,4,-0.07135020169326867,15,Gjerøy,5
2,6,0.04641678161608389,3,Indre Kvarøy,5
2,7,0.002537381628822097,12,Onøy og Lurøy,5
2,8,0.005766875008833536,11,Lovund,5
2,9,-0.005935459897068519,13,Sleneset,5
2,10,0.008553386125596758,10,Aldra,5
2,11,0.015997358914210814,7,Southern 1,5
2,12,0.027297666451733614,5,Southern 2,5
2,13,0.02054903506805629,6,Southern 3,5
2,14,0.009167366038529648,9,Southern 4,5
2,15,0.07783351418591257,1,Southern 5,5
3,0,0.04040549563499809,3,Nesøy,5
3,1,0.02375100987643868,6,Myken,5
3,2,-0.011980150575553216,14,Træna,5
3,3,0.044631527798551764,2,Selvær,5
3,4,-0.07305110023885188,15,Gjerøy,5
3,6,0.029891436605097885,4,Indre Kvarøy,5
3,7,0.002246291593567142,12,Onøy og Lurøy,5
3,8,0.004779416953791758,11,Lovund,5
3,9,-0.008671932296032662,13,Sleneset,5
3,10,0.0057631051001067884,10,Aldra,5
3,11,0.010904845606138261,8,Southern 1,5
3,12,0.023386807755101505,7,Southern 2,5
3,13,0.024390542690185608,5,Southern 3,5
3,14,0.008187932771897074,9,Southern 4,5
3,15,0.09489416874640966,1,Southern 5,5
4,0,0.04129158245594991,3,Nesøy,5
4,1,0.02121123621690637,7,Myken,5
4,2,-0.010180495080962786,14,Træna,5
4,3,0.048960233771409595,2,Selvær,5
4,4,-0.0626911717135026,15,Gjerøy,5
4,6,0.03547532780867989,4,Indre Kvarøy,5
4,7,0.0017660005181369884,12,Onøy og Lurøy,5
4,8,0.006451127660667914,10,Lovund,5
4,9,-0.006833515779476654,13,Sleneset,5
4,10,0.005337389363101849,11,Aldra,5
4,11,0.007632704650158657,9,Southern 1,5
4,12,0.023953287865732104,6,Southern 2,5
4,13,0.024871368865266565,5,Southern 3,5
4,14,0.00866938303578007,8,Southern 4,5
4,15,0.07361493838399857,1,Southern 5,5
5,0,0.041606627953202455,3,Nesøy,5
5,1,0.019374920017351895,7,Myken,5
5,2,-0.008420735204411809,14,Træna,5
5,3,0.04492912142992776,2,Selvær,5
5,4,-0.06563565142482657,15,Gjerøy,5
5,6,0.038706489296441195,4,Indre Kvarøy,5
5,7,0.0040211319261865665,12,Onøy og Lurøy,5
5,8,0.0072537554850846285,10,Lovund,5
5,9,-0.006404978243284648,13,Sleneset,5
5,10,0.004891668771210575,11,Aldra,5
5,11,0.012615733846311677,8,Southern 1,5
5,12,0.025477620054648577,6,Southern 2,5
5,13,0.03225176743826856,5,Southern 3,5
5,14,0.007981578349094876,9,Southern 4,5
5,15,0.06088034832664071,1,Southern 5,5
6,0,0.040246250754694755,3,Nesøy,5
6,1,0.019119993694628,7,Myken,5
6,2,-0.00792579150536349,13,Træna,5
6,3,0.050148879255357985,2,Selvær,5
6,4,-0.06771557884425548,15,Gjerøy,5
6,6,0.0393111538313966,4,Indre Kvarøy,5
6,7,0.0032184226291689516,12,Onøy og Lurøy,5
6,8,0.014738834333932097,8,Lovund,5
6,9,-0.009317372548566327,14,Sleneset,5
6,10,0.004656390452197154,11,Aldra,5
6,11,0.010039989850595257,9,Southern 1,5
6,12,0.02874306685434593,6,Southern 2,5
6,13,0.030925750173205854,5,Southern 3,5
6,14,0.008316359919420055,10,Southern 4,5
6,15,0.05502304917108911,1,Southern 5,5
7,0,0.039890035391335905,3,Nesøy,5
7,1,0.020675944345845434,7,Myken,5
7,2,-0.008055719379968278,14,Træna,5
7,3,0.05065583550148287,2,Selvær,5
7,4,-0.0689526397050203,15,Gjerøy,5
7,6,0.03973258672005361,4,Indre Kvarøy,5
7,7,0.0032248289896905607,12,Onøy og Lurøy,5
7,8,0.013925470992796802,8,Lovund,5
7,9,-0.005945637620562781,13,Sleneset,5
7,10,0.00541983990015628,11,Aldra,5
7,11,0.010106567791640774,10,Southern 1,5
7,12,0.027308937564700993,6,Southern 2,5
7,13,0.02926466549806994,5,Southern 3,5
7,14,0.010331205681747387,9,Southern 4,5
7,15,0.05194747634987725,1,Southern 5,5
8,0,0.039729129868480956,4,Nesøy,5
8,1,0.01978401657743148,7,Myken,5
8,2,-0.007262725745677349,14,Træna,5
8,3,0.0467180637977893,2,Selvær,5
8,4,-0.06766346041397278,15,Gjerøy,5
8,6,0.04021614327721541,3,Indre Kvarøy,5
8,7,0.0025094758048327913,12,Onøy og Lurøy,5
8,8,0.011938475670540492,8,Lovund,5
8,9,-0.007119301456515516,13,Sleneset,5
8,10,0.004774915037063494,11,Aldra,5
8,11,0.008012554570246152,10,Southern 1,5
8,12,0.026938342677125776,6,Southern 2,5
8,13,0.02903584214731828,5,Southern 3,5
8,14,0.0103369496703999,9,Southern 4,5
8,15,0.06158097653956808,1,Southern 5,5
9,0,0.040087909238075495,4,Nesøy,5
9,1,0.022247420688256084,7,Myken,5
9,2,-0.007068807324589031,14,Træna,5
9,3,0.0452844430246173,2,Selvær,5
9,4,-0.069591975562716,15,Gjerøy,5
9,6,0.04010062371515799,3,Indre Kvarøy,5
9,7,0.008206594585557659,11,Onøy og Lurøy,5
9,8,0.010902194980261697,8,Lovund,5
9,9,-0.0070296970305710115,13,Sleneset,5
9,10,0.0035631028297194,12,Aldra,5
9,11,0.010738698576988108,9,Southern 1,5
9,12,0.026315976705757034,6,Southern 2,5
9,13,0.027980537617148266,5,Southern 3,5
9,14,0.009621802573517595,10,Southern 4,5
9,15,0.05817057340466588,1,Southern 5,5
10,0,0.041846635516477736,3,Nesøy,5
10,1,0.021343944793331425,7,Myken,5
10,2,-0.006531060009054852,13,Træna,5
10,3,0.042671364909348995,2,Selvær,5
10,4,-0.06775873714270209,15,Gjerøy,5
10,6,0.03697204417262197,4,Indre Kvarøy,5
10,7,0.009756714564076317,9,Onøy og Lurøy,5
10,8,0.008930851728772823,11,Lovund,5
10,9,-0.006731290823015985,14,Sleneset,5
10,10,0.002709493989410683,12,Aldra,5
10,11,0.009678862224317403,10,Southern 1,5
10,12,0.025415092863354038,6,Southern 2,5
10,13,0.036372491288236344,5,Southern 3,5
10,14,0.010199242863716863,8,Southern 4,5
10,15,0.054653747082954784,1,Southern 5,5
11,0,0.04170586148468895,3,Nesøy,5
11,1,0.022251323123455114,7,Myken,5
11,2,-0.006226361155285279,13,Træna,5
11,3,0.05857852018912641,1,Selvær,5
11,4,-0.07738684407726565,15,Gjerøy,5
11,6,0.037472638991509474,4,Indre Kvarøy,5
11,7,0.00881768079248703,9,Onøy og Lurøy,5
11,8,0.006763381759903635,11,Lovund,5
11,9,-0.006925473845749886,14,Sleneset,5
11,10,0.0030870958862105184,12,Aldra,5
11,11,0.008664245218108886,10,Southern 1,5
11,12,0.024545791631750444,6,Southern 2,5
11,13,0.03522252137644876,5,Southern 3,5
11,14,0.010267439244865952,8,Southern 4,5
11,15,0.052691577401592096,2,Southern 5,5
12,0,0.04109811373084683,3,Nesøy,5
12,1,0.02220958894948723,7,Myken,5
12,2,-0.006043704568081913,13,Træna,5
12,3,0.05869435783051655,1,Selvær,5
12,4,-0.07357222258228141,15,Gjerøy,5
12,6,0.03933291121880662,4,Indre Kvarøy,5
12,7,0.008079542984314665,9,Onøy og Lurøy,5
12,8,0.00739609389243132,11,Lovund,5
12,9,-0.00634575917142314,14,Sleneset,5
12,10,0.002845049816453546,12,Aldra,5
12,11,0.00803306380096007,10,Southern 1,5
12,12,0.023828129586877075,6,Southern 2,5
12,13,0.03473881804411568,5,Southern 3,5
12,14,0.009888809410271718,8,Southern 4,5
12,15,0.049346605078551604,2,Southern 5,5
13,0,0.04206500590629114,3,Nesøy,5
13,1,0.02234865200845108,7,Myken,5
13,2,-0.0052982428544369005,13,Træna,5
13,3,0.0558086993403838,1,Selvær,5
13,4,-0.07379701296359956,15,Gjerøy,5
13,6,0.039558162975205785,4,Indre Kvarøy,5
13,7,0.008156130019989723,9,Onøy og Lurøy,5
13,8,0.0077498191686905795,10,Lovund,5
13,9,-0.006368180408374582,14,Sleneset,5
13,10,0.0035619578571640773,12,Aldra,5
13,11,0.007549018181540446,11,Southern 1,5
13,12,0.02305740282724095,6,Southern 2,5
13,13,0.03385553350627789,5,Southern 3,5
13,14,0.014367046567081794,8,Southern 4,5
13,15,0.046915405889940226,2,Southern 5,5
14,0,0.042449587185752376,3,Nesøy,5
14,1,0.02225652153384251,7,Myken,5
14,2,-0.005313901218825871,13,Træna,5
14,3,0.053502106576778986,1,Selvær,5
14,4,-0.07078375390458921,15,Gjerøy,5
14,6,0.03988335173159017,4,Indre Kvarøy,5
14,7,0.010824400314838358,9,Onøy og Lurøy,5
14,8,0.007150000319761444,11,Lovund,5
14,9,-0.005989011099643906,14,Sleneset,5
14,10,0.003768989668164562,12,Aldra,5
14,11,0.007813103132043923,10,Southern 1,5
14,12,0.02229703340603664,6,Southern 2,5
14,13,0.03344090041264391,5,Southern 3,5
14,14,0.013815413240551494,8,Southern 4,5
14,15,0.044414656722901076,2,Southern 5,5
15,0,0.042712914843182875,2,Nesøy,5
15,1,0.022100730753078456,6,Myken,5
15,2,-0.0048277160465450275,13,Træna,5
15,3,0.05164420742179231,1,Selvær,5
15,4,-0.07014381430850163,15,Gjerøy,5
15,6,0.040032468677292016,4,Indre Kvarøy,5
15,7,0.013688343282606241,8,Onøy og Lurøy,5
15,8,0.006891009242566758,11,Lovund,5
15,9,-0.005890825977671528,14,Sleneset,5
15,10,0.00414523217597952,12,Aldra,5
15,11,0.009462086298635911,10,Southern 1,5
15,12,0.0216491649551786,7,Southern 2,5
15,13,0.03241469488460723,5,Southern 3,5
15,14,0.013428036691959744,9,Southern 4,5
15,15,0.042222865127684965,3,Southern 5,5
16,0,0.042211532787613686,3,Nesøy,5
16,1,0.02147128853220693,7,Myken,5
16,2,-0.006693861928869516,14,Træna,5
16,3,0.050262805938012724,1,Selvær,5
16,4,-0.0700617172141724,15,Gjerøy,5
16,6,0.04031223734598285,4,Indre Kvarøy,5
16,7,0.012955866610480517,9,Onøy og Lurøy,5
16,8,0.006377793913905825,11,Lovund,5
16,9,-0.006612533540723759,13,Sleneset,5
16,10,0.004113264737446039,12,Aldra,5
16,11,0.009024739504395073,10,Southern 1,5
16,12,0.021644108173874826,6,Southern 2,5
16,13,0.03372607062577769,5,Southern 3,5
16,14,0.013150399111998563,8,Southern 4,5
16,15,0.0476474034239174,2,Southern 5,5
17,0,0.04165696437498615,3,Nesøy,5
17,1,0.030515848935766067,6,Myken,5
17,2,-0.0062867758262336974,14,Træna,5
17,3,0.04857594427235925,1,Selvær,5
17,4,-0.07702081982836309,15,Gjerøy,5
17,6,0.041021827083296554,4,Indre Kvarøy,5
17,7,0.012645253053035608,9,Onøy og Lurøy,5
17,8,0.006322512677822539,11,Lovund,5
17,9,-0.006073100681826253,13,Sleneset,5
