permutation_index,source_island,phi_running,rank_running,source_island_name,target_island
1,0,-0.005525906422953959,10,Nesøy,14
1,1,0.001456188963454244,6,Myken,14
1,2,-0.025963839163277262,12,Træna,14
1,3,0.0022980993585537367,5,Selvær,14
1,4,0.03891369786509625,3,Gjerøy,14
1,5,0.04292007181672425,2,Hestmannøy,14
1,6,-0.06686792139982586,15,Indre Kvarøy,14
1,7,-0.032091620911287796,13,Onøy og Lurøy,14
1,8,-0.008631664502804254,11,Lovund,14
1,9,-0.004136079821511679,8,Sleneset,14
1,10,-0.042737572589733354,14,Aldra,14
1,11,-0.005268433166803421,9,Southern 1,14
1,12,0.03352901726542609,4,Southern 2,14
1,13,-0.0008730791532593485,7,Southern 3,14
1,15,0.06640134303803656,1,Southern 5,14
2,0,-0.006571438285775571,9,Nesøy,14
2,1,-0.0013041234511352207,7,Myken,14
2,2,-0.028680280692811925,12,Træna,14
2,3,0.0005521318149476059,6,Selvær,14
2,4,0.04173654238135664,3,Gjerøy,14
2,5,0.028536267992588953,4,Hestmannøy,14
2,6,-0.05065511186618127,15,Indre Kvarøy,14
2,7,-0.04205453625049504,13,Onøy og Lurøy,14
2,8,-0.00903670791873432,10,Lovund,14
2,9,-0.004784487897454615,8,Sleneset,14
2,10,-0.042737572589733354,14,Aldra,14
2,11,0.012034881454398445,5,Southern 1,14
2,12,0.04767156527202904,2,Southern 2,14
2,13,-0.00930508508173497,11,Southern 3,14
2,15,0.058020256294569805,1,Southern 5,14
3,0,-0.007054181740959019,8,Nesøy,14
3,1,-0.0015097791578067591,7,Myken,14
3,2,-0.02668246173891316,12,Træna,14
3,3,0.0011845446013546074,6,Selvær,14
3,4,0.07684782440193882,1,Gjerøy,14
3,5,0.01491648157655369,4,Hestmannøy,14
3,6,-0.04721993279005587,15,Indre Kvarøy,14
3,7,-0.037150001594293186,13,Onøy og Lurøy,14
3,8,-0.01034275475419539,9,Lovund,14
3,9,-0.01609084321566956,11,Sleneset,14
3,10,-0.042652175902741556,14,Aldra,14
3,11,0.004440834792250697,5,Southern 1,14
3,12,0.04493594495875519,3,Southern 2,14
3,13,-0.01442605652327402,10,Southern 3,14
3,15,0.054224858262889704,2,Southern 5,14
4,0,-0.0067369941046957135,8,Nesøy,14
4,1,-0.0007416597339104955,7,Myken,14
4,2,-0.025560578585138258,12,Træna,14
4,3,0.004306879485530353,6,Selvær,14
4,4,0.07283820310107787,1,Gjerøy,14
4,5,0.00728916117798162,4,Hestmannøy,14
4,6,-0.047037534381277,15,Indre Kvarøy,14
4,7,-0.03527170252192803,13,Onøy og Lurøy,14
4,8,-0.010422251683400593,9,Lovund,14
4,9,-0.014880774822089424,10,Sleneset,14
4,10,-0.03534995822048359,14,Aldra,14
4,11,0.0044957424290849755,5,Southern 1,14
4,12,0.04506825308526774,3,Southern 2,14
4,13,-0.017248327424850506,11,Southern 3,14
4,15,0.052673843374665255,2,Southern 5,14
5,0,-0.005255034342624827,8,Nesøy,14
5,1,0.0013909428124291756,6,Myken,14
5,2,-0.023577968142325535,12,Træna,14
5,3,0.005652342170025121,4,Selvær,14
5,4,0.07373491961414488,1,Gjerøy,14
5,5,0.0008712689238327305,7,Hestmannøy,14
5,6,-0.048937657585895675,15,Indre Kvarøy,14
5,7,-0.0327907338097693,13,Onøy og Lurøy,14
5,8,-0.009934326407860726,9,Lovund,14
5,9,-0.013329427172375,10,Sleneset,14
5,10,-0.03682748109433354,14,Aldra,14
5,11,0.0034994488121133814,5,Southern 1,14
5,12,0.04224933952394002,3,Southern 2,14
5,13,-0.014946001344880572,11,Southern 3,14
5,15,0.051622669219414066,2,Southern 5,14
6,0,-0.0067139349030448485,8,Nesøy,14
6,1,4.822973235820667e-05,6,Myken,14
6,2,-0.02244344122292391,12,Træna,14
6,3,0.011881973662912618,4,Selvær,14
6,4,0.08070253198215403,1,Gjerøy,14
6,5,-0.0027400747495806062,7,Hestmannøy,14
6,6,-0.04877584355056184,15,Indre Kvarøy,14
6,7,-0.03191869044618517,13,Onøy og Lurøy,14
6,8,-0.010652395568600889,9,Lovund,14
6,9,-0.013408648509955733,10,Sleneset,14
6,10,-0.032884513518215204,14,Aldra,14
6,11,0.0035387081164169436,5,Southern 1,14
6,12,0.032947388599727866,3,Southern 2,14
6,13,-0.015054947962892848,11,Southern 3,14
6,15,0.048895959514225595,2,Southern 5,14
7,0,-0.005317013775098929,7,Nesøy,14
7,1,-0.00039379584796845636,6,Myken,14
7,2,-0.021964428123526693,12,Træna,14
7,3,0.011035754305148826,4,Selvær,14
7,4,0.07773218685510262,1,Gjerøy,14
7,5,-0.005819911100517952,8,Hestmannøy,14
7,6,-0.04612886510425812,15,Indre Kvarøy,14
7,7,-0.030769708708257657,14,Onøy og Lurøy,14
7,8,-0.011121176517730896,9,Lovund,14
7,9,-0.013574227856422863,10,Sleneset,14
7,10,-0.030671494898007294,13,Aldra,14
7,11,0.004024450969453877,5,Southern 1,14
7,12,0.034916829774846496,3,Southern 2,14
7,13,-0.01686962234144642,11,Southern 3,14
7,15,0.04834332354451766,2,Southern 5,14
8,0,-0.003909327031410684,7,Nesøy,14
8,1,-0.0003629036006402095,6,Myken,14
8,2,-0.02141680832821434,12,Træna,14
8,3,0.014085121423291274,4,Selvær,14
8,4,0.07620859109657391,1,Gjerøy,14
8,5,-0.006324553708159312,8,Hestmannøy,14
8,6,-0.05472875014485082,15,Indre Kvarøy,14
8,7,-0.03326624301960507,14,Onøy og Lurøy,14
8,8,-0.010180317593909846,9,Lovund,14
8,9,-0.012903801575572742,10,Sleneset,14
8,10,-0.028914745143103195,13,Aldra,14
8,11,0.008741605066243273,5,Southern 1,14
8,12,0.03476911217439058,3,Southern 2,14
8,13,-0.016677686379400564,11,Southern 3,14
8,15,0.048303007940201946,2,Southern 5,14
9,0,-0.004088946963804381,7,Nesøy,14
9,1,-0.0005556453580403614,6,Myken,14
9,2,-0.020841290397652503,11,Træna,14
