n_islands,n_individuals,corr_eval,mse_adj,method,order_seed,target_island
1,396,0.11775582726971044,0.5569041967391968,shapley_mean,-1,14
2,513,0.14500522210191522,0.5530446171760559,shapley_mean,-1,14
3,605,0.11228046691651547,0.5553550124168396,shapley_mean,-1,14
4,757,0.12526759756301523,0.5543100833892822,shapley_mean,-1,14
5,1014,0.14116429868303446,0.5527878403663635,shapley_mean,-1,14
6,1597,0.2120915578836186,0.5453824400901794,shapley_mean,-1,14
7,2660,0.20676826326954625,0.5450869798660278,shapley_mean,-1,14
8,2946,0.21361407486311387,0.5441464185714722,shapley_mean,-1,14
9,3501,0.19665364083043896,0.5458957552909851,shapley_mean,-1,14
10,3695,0.18702190634144192,0.546838104724884,shapley_mean,-1,14
11,3868,0.19950500246922556,0.5448698401451111,shapley_mean,-1,14
12,4451,0.2000117680619418,0.5436800718307495,shapley_mean,-1,14
13,4799,0.1908752048716824,0.5449523329734802,shapley_mean,-1,14
14,4962,0.20274002647154254,0.5429555177688599,shapley_mean,-1,14
15,5164,0.20146866295643054,0.5421981811523438,shapley_mean,-1,14
1,396,0.1480521494049714,0.5589730143547058,random_individual,0,14
2,513,0.151265293254543,0.5578028559684753,random_individual,0,14
3,605,0.16090415335705452,0.5559293627738953,random_individual,0,14
4,757,0.1938099051120341,0.5544080138206482,random_individual,0,14
5,1014,0.22543411213135398,0.5504356622695923,random_individual,0,14
6,1597,0.2663257361721488,0.5457519292831421,random_individual,0,14
7,2660,0.2548148024539202,0.5392047762870789,random_individual,0,14
8,2946,0.2704471039806866,0.5368959307670593,random_individual,0,14
9,3501,0.2764555312037352,0.5349483489990234,random_individual,0,14
10,3695,0.24670434982972392,0.5384160876274109,random_individual,0,14
11,3868,0.2502424001530385,0.5376501679420471,random_individual,0,14
12,4451,0.2415333383686736,0.5380688905715942,random_individual,0,14
13,4799,0.22095632191698825,0.5407324433326721,random_individual,0,14
14,4962,0.22149393956219462,0.5397236347198486,random_individual,0,14
15,5164,0.20146866295643054,0.5421981811523438,random_individual,0,14
1,396,0.19821818444508418,0.5543108582496643,random_individual,1,14
2,513,0.21990373329613624,0.5515878796577454,random_individual,1,14
3,605,0.22128655449918824,0.5492737889289856,random_individual,1,14
4,757,0.22171868731692895,0.547234833240509,random_individual,1,14
5,1014,0.24621093284198253,0.5432981848716736,random_individual,1,14
6,1597,0.21842986766071307,0.5458773970603943,random_individual,1,14
7,2660,0.1966856422007309,0.54638671875,random_individual,1,14
8,2946,0.20745938669008188,0.5451511144638062,random_individual,1,14
9,3501,0.21230649231338145,0.5424227714538574,random_individual,1,14
10,3695,0.20512259445894263,0.5430217981338501,random_individual,1,14
11,3868,0.20495874565943742,0.542966902256012,random_individual,1,14
12,4451,0.20721123167094777,0.5421500205993652,random_individual,1,14
13,4799,0.2215189586108724,0.5396177172660828,random_individual,1,14
14,4962,0.21024762683036372,0.5413514971733093,random_individual,1,14
15,5164,0.20146866295643054,0.5421981811523438,random_individual,1,14
1,396,0.10865438224333734,0.5626298189163208,random_individual,2,14
2,513,0.11751216871800518,0.558766782283783,random_individual,2,14
3,605,0.11833465488915242,0.5582699775695801,random_individual,2,14
4,757,0.1286625072359367,0.5567464232444763,random_individual,2,14
5,1014,0.16496560537640192,0.5530427098274231,random_individual,2,14
6,1597,0.2189699453280611,0.5457153916358948,random_individual,2,14
7,2660,0.18757170363789508,0.5460495948791504,random_individual,2,14
8,2946,0.1809101424592241,0.5464420318603516,random_individual,2,14
9,3501,0.1953644911004396,0.5445378422737122,random_individual,2,14
10,3695,0.20835855628170882,0.5427474975585938,random_individual,2,14
11,3868,0.2066339364387174,0.5431946516036987,random_individual,2,14
12,4451,0.2210460764925821,0.5397642850875854,random_individual,2,14
13,4799,0.2002877183963479,0.5421941876411438,random_individual,2,14
