target_island,source_island,source_island_name,phi,phi_per_individual,n_island,rank_full,rank_mean
3,2,Træna,0.06425197023102955,0.0002246572385700334,286,1,4
3,1,Myken,0.05300965204823143,0.000576191870089472,92,2,1
3,11,Southern 1,0.04662086748301972,8.024245694151415e-05,581,3,6
3,9,Sleneset,0.045774831705261344,0.0002860926981578834,160,4,2
3,8,Lovund,0.0373999218642448,0.0002476816017499656,151,5,3
3,7,Onøy og Lurøy,0.02380048937276122,9.297066161234851e-05,256,6,5
3,4,Gjerøy,0.007951883344037064,1.4379535884334655e-05,553,7,8
3,6,Indre Kvarøy,0.006811078882605809,1.9515985336979393e-05,349,8,7
3,12,Southern 2,-0.0003952554760443636,-9.956057331092283e-07,397,9,9
3,5,Hestmannøy,-0.00202644857706184,-1.9208043384472416e-06,1055,10,10
3,0,Nesøy,-0.006474349028204771,-5.4867364645803144e-05,118,11,14
3,10,Aldra,-0.008737168921231454,-5.0503866596713606e-05,173,12,12
3,13,Southern 3,-0.011113126491144184,-1.906196653712553e-05,583,13,11
3,15,Southern 5,-0.020403255124177684,-0.00010100621348602813,202,14,15
3,14,Southern 4,-0.026151689209237897,-5.3810060101312546e-05,486,15,13
