n_permutations,n_cal_samples,best_n_removed,best_n_islands,best_corr_mean,v_full_mean,avg_gain_over_v_full,n_runs
10,10,0,15,0.1919100616113784,0.23463279094159323,-0.042722729330214815,30
10,20,0,15,0.21287078987475822,0.1973246851861095,0.015546104688648726,30
10,40,0,15,0.16896972335850557,0.225599150857967,-0.05662942749946143,30
10,80,0,15,0.1927355394878229,0.18242576974561242,0.010309769742210484,30
10,150,0,15,0.1926791279457367,0.19198986913558064,0.0006892588101560515,30
20,10,0,15,0.1919100616113784,0.23463279094159323,-0.042722729330214815,30
20,20,0,15,0.21287078987475822,0.1973246851861095,0.015546104688648726,30
20,40,0,15,0.16896972335850557,0.225599150857967,-0.05662942749946143,30
20,80,0,15,0.1927355394878229,0.18242576974561242,0.010309769742210484,30
20,150,0,15,0.1926791279457367,0.19198986913558064,0.0006892588101560515,30
40,10,0,15,0.1919100616113784,0.23463279094159323,-0.042722729330214815,30
40,20,0,15,0.21287078987475822,0.1973246851861095,0.015546104688648726,30
40,40,0,15,0.16896972335850557,0.225599150857967,-0.05662942749946143,30
40,80,0,15,0.1927355394878229,0.18242576974561242,0.010309769742210484,30
40,150,0,15,0.1926791279457367,0.19198986913558064,0.0006892588101560515,30
80,10,0,15,0.1919100616113784,0.23463279094159323,-0.042722729330214815,30
80,20,0,15,0.21287078987475822,0.1973246851861095,0.015546104688648726,30
80,40,0,15,0.16896972335850557,0.225599150857967,-0.05662942749946143,30
80,80,0,15,0.1927355394878229,0.18242576974561242,0.010309769742210484,30
80,150,0,15,0.1926791279457367,0.19198986913558064,0.0006892588101560515,30
150,10,0,15,0.1919100616113784,0.23463279094159323,-0.042722729330214815,30
150,20,0,15,0.21287078987475822,0.1973246851861095,0.015546104688648726,30
150,40,0,15,0.16896972335850557,0.225599150857967,-0.05662942749946143,30
150,80,0,15,0.1927355394878229,0.18242576974561242,0.010309769742210484,30
150,150,0,15,0.1926791279457367,0.19198986913558064,0.0006892588101560515,30
