n_permutations,n_cal_samples,method,n_removed,corr_mean,corr_std,mse_mean,mse_std,n_rows
10,10,random_individual,0,0.1919100616113784,0.0855518413567583,0.5058493107557297,0.09320091357657097,150
10,10,random_individual,1,0.18843963452885523,0.08724126886609389,0.5064566550652186,0.09275166016899027,150
10,10,random_individual,2,0.18416363661579274,0.0868137150627164,0.507449230949084,0.09282620827389688,150
10,10,random_individual,3,0.18218403059942823,0.09145795374827112,0.507872597972552,0.09308734189502234,150
10,10,random_individual,4,0.17758827076193748,0.09191622892611816,0.5085966529448828,0.09325877590616712,150
10,10,random_individual,5,0.1726108667404941,0.09056602775717881,0.5096856637795766,0.09309286625162493,150
10,10,random_individual,6,0.16912534635430693,0.08918107947554711,0.5102276011308035,0.09376978365375778,150
10,10,random_individual,7,0.1634864263335389,0.08702481593598319,0.5114379058281581,0.0938968613212056,150
10,10,random_individual,8,0.1530725428066634,0.09143603593718827,0.5128326336542766,0.09458908335459444,150
10,10,random_individual,9,0.1466500370448098,0.08805264230510967,0.5140285114447276,0.09488761328866191,150
10,10,random_individual,10,0.13809667459118058,0.08765982991235145,0.5155694224437077,0.0952368089574341,150
10,10,random_individual,11,0.13115921678598763,0.08799025697523383,0.5168440037965775,0.09500162848894764,150
10,10,random_individual,12,0.10256878288890811,0.08526262062083562,0.5200532567501068,0.09538639021348969,150
10,10,random_individual,13,0.08397840160543907,0.09025242724208549,0.5225096430381139,0.0959279065742926,150
10,10,random_individual,14,0.05216116146325893,0.08917401458584329,0.5254548410574595,0.0957967535395012,150
10,10,shapley_mean,0,0.1919100616113784,0.08672383899960479,0.5058493107557297,0.09447769791330284,30
10,10,shapley_mean,1,0.17004712128647753,0.09292672977169346,0.5090937127669652,0.0907190878838015,30
10,10,shapley_mean,2,0.16622167024173856,0.09611181464784581,0.5098051240046819,0.09037713956657091,30
10,10,shapley_mean,3,0.16585290351745074,0.089830984167579,0.5100276996692021,0.0912960388819341,30
10,10,shapley_mean,4,0.1595534384226381,0.09445948546989917,0.5111853390932083,0.09045180657080867,30
10,10,shapley_mean,5,0.1576269767202174,0.09050934499640019,0.5114991197983424,0.09161204267286678,30
10,10,shapley_mean,6,0.14950076175238378,0.09779415330939532,0.5125303347905477,0.09218200403317446,30
10,10,shapley_mean,7,0.14563661642046702,0.09751873447261833,0.5132835000753403,0.09276799390088938,30
10,10,shapley_mean,8,0.1319045286778683,0.09403451471825593,0.5146123429139455,0.0943536464839606,30
10,10,shapley_mean,9,0.1288004542439944,0.09396065883814206,0.515404944618543,0.09496076071137438,30
10,10,shapley_mean,10,0.11459883476784284,0.08975129963385702,0.517309766014417,0.09549736143440879,30
10,10,shapley_mean,11,0.11630862785831651,0.08136081354057313,0.5172092209259669,0.09454134481335527,30
10,10,shapley_mean,12,0.11626857056497007,0.08811595828363182,0.5178616841634115,0.09551678181931882,30
10,10,shapley_mean,13,0.09165566069506371,0.10664271728398299,0.5212092161178589,0.09544262227946008,30
10,10,shapley_mean,14,0.06715338969814298,0.10519616733989927,0.5257831603288651,0.0943147347564873,30
10,20,random_individual,0,0.21287078987475824,0.1338176712312854,0.503521599372228,0.09103422319168762,150
10,20,random_individual,1,0.21103121461835098,0.13095172044816397,0.5040741072098414,0.09091273005026447,150
10,20,random_individual,2,0.20816403939468517,0.12810181119248487,0.5049824049075444,0.09041336427291194,150
10,20,random_individual,3,0.2040593605767902,0.12603238472895714,0.505862508515517,0.08984826349616067,150
10,20,random_individual,4,0.1981317055412416,0.1244378991281424,0.5074357164899508,0.08970641674297251,150
10,20,random_individual,5,0.19510270454157486,0.12327858937176593,0.5084145103891691,0.08957061235391608,150
10,20,random_individual,6,0.18612913033994138,0.11743839877274251,0.5102117951711019,0.08878387718324961,150
10,20,random_individual,7,0.18119502450192046,0.12416749370728601,0.5111340036988259,0.08893929058081125,150
10,20,random_individual,8,0.17228074510093616,0.11336415555578606,0.5128707197308541,0.08854573880701416,150
10,20,random_individual,9,0.16115849215915798,0.10880701877428528,0.5145402539769809,0.08783693195465479,150
10,20,random_individual,10,0.14853826634810466,0.10472267331306681,0.516432045896848,0.08799247642597027,150
10,20,random_individual,11,0.1326050020704644,0.09646128171544677,0.5186785638332367,0.08763335868602457,150
10,20,random_individual,12,0.11397287051128513,0.1009109892733902,0.5211020143826802,0.08739670820014012,150
10,20,random_individual,13,0.0844636362694234,0.10949355708123386,0.5244025607903798,0.08688129969355313,150
10,20,random_individual,14,0.055999382530918664,0.11866065665287216,0.5283922225236892,0.08556939916044747,150
10,20,shapley_mean,0,0.21287078987475822,0.13565087543550894,0.503521599372228,0.09228132545514568,30
10,20,shapley_mean,1,0.20326237228580102,0.12851771905346104,0.5053207159042359,0.08888694961202519,30
10,20,shapley_mean,2,0.20364884299418573,0.1186249040555725,0.5053998832901319,0.08812590214175756,30
10,20,shapley_mean,3,0.19978253061866572,0.11370951533191807,0.5063370674848556,0.08704789567120175,30
10,20,shapley_mean,4,0.19214593145584286,0.1057218915019224,0.5076870232820511,0.08688983242317053,30
10,20,shapley_mean,5,0.18498502432807495,0.09185412192095495,0.5090506702661515,0.08690990807108007,30
10,20,shapley_mean,6,0.17460080344970055,0.07949337708536137,0.510757510860761,0.08663758451856132,30
10,20,shapley_mean,7,0.17235719721194115,0.08027119255458537,0.5113582839568456,0.08698961997543546,30
10,20,shapley_mean,8,0.17010132681711376,0.08542878683968251,0.5124612341324488,0.08841635981956514,30
10,20,shapley_mean,9,0.15982686373413157,0.0800553074144614,0.5139999787012736,0.08906467281956103,30
10,20,shapley_mean,10,0.15310702277639504,0.08581704907878326,0.5150320768356323,0.08916108542590757,30
10,20,shapley_mean,11,0.1503839143694415,0.08058500971848809,0.5158198853333791,0.09008101237007715,30
10,20,shapley_mean,12,0.14457869144713856,0.09757261239562366,0.5169308637579282,0.09061367805679864,30
10,20,shapley_mean,13,0.128210021217102,0.09245234224275585,0.5203317642211914,0.09000920008319876,30
10,20,shapley_mean,14,0.1001622410372975,0.1069751812935682,0.5269360919793447,0.09209320443296667,30
10,40,random_individual,0,0.16896972335850557,0.09857478813388816,0.5128652602434158,0.07530550025376777,150
10,40,random_individual,1,0.16787046266769945,0.09695274377730106,0.5131328652302424,0.0757000524897285,150
10,40,random_individual,2,0.1659584212334496,0.09823622929359475,0.513705753882726,0.07578360966601794,150
10,40,random_individual,3,0.16445437188226839,0.09570315102458823,0.5140265238285064,0.07604074783128019,150
10,40,random_individual,4,0.15866981651751866,0.10207209813850371,0.5150096354881922,0.07582032246580922,150
10,40,random_individual,5,0.15365434385273505,0.10944392898090491,0.5159440577030182,0.07560265145740212,150
10,40,random_individual,6,0.15002440742612314,0.10204865441613961,0.5166238236427307,0.07509680099429869,150
10,40,random_individual,7,0.1461126623035716,0.09499497819956387,0.5175456537803014,0.07552407017650331,150
10,40,random_individual,8,0.13119062266029252,0.10024118859795787,0.5191236839691797,0.07511393022647883,150
10,40,random_individual,9,0.1327634511007962,0.09003550598806062,0.5195611105362574,0.07554406093350123,150
10,40,random_individual,10,0.13422654570193424,0.08443983142295183,0.5202920641501745,0.07671126045613398,150
10,40,random_individual,11,0.11694029211225801,0.09261877349866962,0.5222112367550532,0.07657254772557517,150
10,40,random_individual,12,0.10611403172525194,0.10148889931968814,0.523743644952774,0.07709287355876905,150
10,40,random_individual,13,0.09660752684270339,0.1060570982409981,0.526175453265508,0.07818952644642285,150
10,40,random_individual,14,0.06887769119547801,0.09591294199684616,0.5302183570464453,0.07870749325530214,150
10,40,shapley_mean,0,0.16896972335850557,0.09992519062090467,0.5128652602434158,0.07633713051900944,30
10,40,shapley_mean,1,0.16137194756725154,0.09700865113919727,0.5142913311719894,0.07461803231113832,30
10,40,shapley_mean,2,0.15418521017095144,0.10345773389097637,0.5148308436075847,0.07504569898685488,30
10,40,shapley_mean,3,0.14995710950221655,0.09866336130426198,0.5159128228823344,0.074974025120654,30
10,40,shapley_mean,4,0.14270953281180443,0.0927221103720341,0.516648355126381,0.07523322004066411,30
10,40,shapley_mean,5,0.1443127552516987,0.09450515823772108,0.5164156585931778,0.07564652594782346,30
10,40,shapley_mean,6,0.1495144672190159,0.09952620856981323,0.5158065855503082,0.07633097273413092,30
10,40,shapley_mean,7,0.1365053121896131,0.11724795234871196,0.5173510700464249,0.07514935201886483,30
10,40,shapley_mean,8,0.1318614517884932,0.11175180624424526,0.5178529709577561,0.07641229825823719,30
10,40,shapley_mean,9,0.1288084009265113,0.12157768727646219,0.5181887686252594,0.07587725211399728,30
10,40,shapley_mean,10,0.1323724978431973,0.11390278385559656,0.5181228558222453,0.07688596034252757,30
10,40,shapley_mean,11,0.1272746936252043,0.11104188096119226,0.5188352356354395,0.07742143697783552,30
10,40,shapley_mean,12,0.12607836558983512,0.09831476884036534,0.5202180703481039,0.07903905750213369,30
10,40,shapley_mean,13,0.10915798771228333,0.08410713779100236,0.5242630730072657,0.08068721393969547,30
10,40,shapley_mean,14,0.10606269400948122,0.10771619104078473,0.5277884145577748,0.08497620187189636,30
10,80,random_individual,0,0.19273553948782293,0.06812534816068726,0.5023718158404032,0.08137148751978654,150
10,80,random_individual,1,0.18957000959405326,0.07021681895749758,0.503007523616155,0.08107811386248255,150
10,80,random_individual,2,0.1882734855129892,0.06796923746042528,0.503390350540479,0.08131981722859921,150
10,80,random_individual,3,0.18574488849207363,0.07231719370685018,0.5039102425177892,0.08149488004215094,150
10,80,random_individual,4,0.1821068417745083,0.07492755039919453,0.5046983269850412,0.08141384924037247,150
10,80,random_individual,5,0.17809211182068704,0.07406207511222519,0.5055774346987406,0.08151828392659391,150
10,80,random_individual,6,0.17178416953865225,0.07572116095137728,0.506704938809077,0.08124992506711075,150
10,80,random_individual,7,0.15747516607878242,0.07861563532936128,0.5088441505034764,0.08064591168801401,150
10,80,random_individual,8,0.1511643193878809,0.08339056095939998,0.5102562852700552,0.08038008022972655,150
10,80,random_individual,9,0.14395418579177452,0.07953371253724459,0.5115494032700857,0.08079328430419508,150
10,80,random_individual,10,0.1287556559025691,0.08713259244271103,0.5135647517442703,0.08080663429290978,150
10,80,random_individual,11,0.11853878460700579,0.09206038612391372,0.5152396386861802,0.08116009055289904,150
10,80,random_individual,12,0.09955629437092678,0.09344296769442664,0.5175744132200877,0.08100931121048803,150
10,80,random_individual,13,0.09182664960883931,0.08505764881846258,0.5191808678706487,0.08187553029179745,150
10,80,random_individual,14,0.0694694770727966,0.10805945229394988,0.5235214352607727,0.0808959039585453,150
10,80,shapley_mean,0,0.1927355394878229,0.06905861559475066,0.5023718158404032,0.08248621737312091,30
10,80,shapley_mean,1,0.1909361956601995,0.06485073501584966,0.5029366711775461,0.08318404635943535,30
10,80,shapley_mean,2,0.1777257632173619,0.0684558826106711,0.5051035513480504,0.08251811842843075,30
10,80,shapley_mean,3,0.17729435846428732,0.06778360454526262,0.5054381986459097,0.08230757813988349,30
10,80,shapley_mean,4,0.16691112442719888,0.07916839343294654,0.506990960240364,0.08210335406652404,30
10,80,shapley_mean,5,0.17183642608132563,0.08126419355252537,0.5066238115231196,0.08278903995681035,30
10,80,shapley_mean,6,0.1651887941217555,0.07624399521898123,0.5078990121682485,0.08368018619462088,30
10,80,shapley_mean,7,0.17577770986389543,0.0804674876999533,0.5071627606948217,0.08502967608811646,30
10,80,shapley_mean,8,0.1683969078372848,0.07708046754167766,0.5079180479049683,0.0847087948666269,30
10,80,shapley_mean,9,0.16691689107803023,0.08760906752819501,0.508504178126653,0.08561163719070151,30
10,80,shapley_mean,10,0.17060153037292597,0.09011024718880656,0.5085168103377025,0.08693800857146913,30
10,80,shapley_mean,11,0.15204995907063903,0.09110562719704184,0.5108422289292017,0.08680714434209692,30
10,80,shapley_mean,12,0.16275368425853437,0.10324219790615566,0.511408007144928,0.08866854772255611,30
10,80,shapley_mean,13,0.13805500743380247,0.11189566237489484,0.5151933987935384,0.0891540425033975,30
10,80,shapley_mean,14,0.13972714190345376,0.1363397407279508,0.5212253838777542,0.08838677281041368,30
10,150,random_individual,0,0.1926791279457367,0.08786414747831518,0.5092796762784322,0.09499270969730209,150
10,150,random_individual,1,0.18904516223062176,0.08800735423362137,0.5099340507388115,0.09499369267508635,150
10,150,random_individual,2,0.18918726213612624,0.08316351656784908,0.5100788654883702,0.09612297388090527,150
10,150,random_individual,3,0.18533571277006844,0.08099755989661428,0.5109053103129069,0.09632376986251613,150
10,150,random_individual,4,0.1827373273731444,0.07753577920226405,0.5116367896397909,0.09690938323113649,150
10,150,random_individual,5,0.1757375203376247,0.07767644624409954,0.5131049553553263,0.09720267432629755,150
10,150,random_individual,6,0.16357777344783953,0.07785739261618334,0.5151874287923177,0.09690236621808189,150
