n_removed,n_islands_remaining,n_individuals_remaining,corr_eval,mse_adj,method,order_seed,n_islands,n_individuals,target_island,target_island_name,repeat,split_seed,n_permutations,trait,cal_fraction,n_cal_samples
14,1,583,0.1009073406747996,0.5240060091018677,shapley_mean,-1,1,583,14,Southern 4,0,1446703604,10,tarsus,0.0205761316872428,10
13,2,979,0.1777270449104151,0.5165823101997375,shapley_mean,-1,2,979,14,Southern 4,0,1446703604,10,tarsus,0.0205761316872428,10
12,3,1562,0.1784392427237865,0.5146875977516174,shapley_mean,-1,3,1562,14,Southern 4,0,1446703604,10,tarsus,0.0205761316872428,10
11,4,1735,0.1785104304228625,0.514415442943573,shapley_mean,-1,4,1735,14,Southern 4,0,1446703604,10,tarsus,0.0205761316872428,10
10,5,2083,0.1400022697119433,0.5179725885391235,shapley_mean,-1,5,2083,14,Southern 4,0,1446703604,10,tarsus,0.0205761316872428,10
9,6,2175,0.1329347115148753,0.5186527371406555,shapley_mean,-1,6,2175,14,Southern 4,0,1446703604,10,tarsus,0.0205761316872428,10
8,7,2432,0.159059961546351,0.5160287022590637,shapley_mean,-1,7,2432,14,Southern 4,0,1446703604,10,tarsus,0.0205761316872428,10
7,8,3495,0.1508736836137934,0.5162551403045654,shapley_mean,-1,8,3495,14,Southern 4,0,1446703604,10,tarsus,0.0205761316872428,10
6,9,3697,0.1496090110478057,0.5161498188972473,shapley_mean,-1,9,3697,14,Southern 4,0,1446703604,10,tarsus,0.0205761316872428,10
5,10,3814,0.1607356272270059,0.5145277976989746,shapley_mean,-1,10,3814,14,Southern 4,0,1446703604,10,tarsus,0.0205761316872428,10
4,11,3977,0.1663970178125473,0.5135770440101624,shapley_mean,-1,11,3977,14,Southern 4,0,1446703604,10,tarsus,0.0205761316872428,10
3,12,4532,0.1463104743801105,0.5161677002906799,shapley_mean,-1,12,4532,14,Southern 4,0,1446703604,10,tarsus,0.0205761316872428,10
2,13,4684,0.1528900564404871,0.5151114463806152,shapley_mean,-1,13,4684,14,Southern 4,0,1446703604,10,tarsus,0.0205761316872428,10
1,14,4878,0.1423584536590779,0.5165731906890869,shapley_mean,-1,14,4878,14,Southern 4,0,1446703604,10,tarsus,0.0205761316872428,10
0,15,5164,0.1424702866637247,0.5166556239128113,shapley_mean,-1,15,5164,14,Southern 4,0,1446703604,10,tarsus,0.0205761316872428,10
14,1,583,0.1285271888370094,0.5238124132156372,random_individual,0,1,583,14,Southern 4,0,1446703604,10,tarsus,0.0205761316872428,10
13,2,979,0.1454412827219539,0.5201761722564697,random_individual,0,2,979,14,Southern 4,0,1446703604,10,tarsus,0.0205761316872428,10
12,3,1562,0.1593914246426641,0.5175555944442749,random_individual,0,3,1562,14,Southern 4,0,1446703604,10,tarsus,0.0205761316872428,10
11,4,1735,0.1564740420759099,0.5176141858100891,random_individual,0,4,1735,14,Southern 4,0,1446703604,10,tarsus,0.0205761316872428,10
10,5,2083,0.1493598152954975,0.5176539421081543,random_individual,0,5,2083,14,Southern 4,0,1446703604,10,tarsus,0.0205761316872428,10
9,6,2175,0.1589134936365235,0.5165051817893982,random_individual,0,6,2175,14,Southern 4,0,1446703604,10,tarsus,0.0205761316872428,10
8,7,2432,0.1542953086159933,0.5166536569595337,random_individual,0,7,2432,14,Southern 4,0,1446703604,10,tarsus,0.0205761316872428,10
7,8,3495,0.1477179555245795,0.5171235203742981,random_individual,0,8,3495,14,Southern 4,0,1446703604,10,tarsus,0.0205761316872428,10
6,9,3697,0.1592871819471854,0.5152825713157654,random_individual,0,9,3697,14,Southern 4,0,1446703604,10,tarsus,0.0205761316872428,10
5,10,3814,0.1481866954167574,0.5166397094726562,random_individual,0,10,3814,14,Southern 4,0,1446703604,10,tarsus,0.0205761316872428,10
4,11,3977,0.1464294932793512,0.5167776942253113,random_individual,0,11,3977,14,Southern 4,0,1446703604,10,tarsus,0.0205761316872428,10
3,12,4532,0.1437212900155551,0.5167134404182434,random_individual,0,12,4532,14,Southern 4,0,1446703604,10,tarsus,0.0205761316872428,10
2,13,4684,0.1306357391931999,0.5182949304580688,random_individual,0,13,4684,14,Southern 4,0,1446703604,10,tarsus,0.0205761316872428,10
1,14,4878,0.131393038793547,0.5184136629104614,random_individual,0,14,4878,14,Southern 4,0,1446703604,10,tarsus,0.0205761316872428,10
0,15,5164,0.1424702866637247,0.5166556239128113,random_individual,0,15,5164,14,Southern 4,0,1446703604,10,tarsus,0.0205761316872428,10
14,1,583,0.0736613236847013,0.5255487561225891,random_individual,1,1,583,14,Southern 4,0,1446703604,10,tarsus,0.0205761316872428,10
13,2,979,0.0891662220132654,0.5234116911888123,random_individual,1,2,979,14,Southern 4,0,1446703604,10,tarsus,0.0205761316872428,10
12,3,1562,0.0924099496390895,0.523408055305481,random_individual,1,3,1562,14,Southern 4,0,1446703604,10,tarsus,0.0205761316872428,10
11,4,1735,0.0918598553051684,0.5236907005310059,random_individual,1,4,1735,14,Southern 4,0,1446703604,10,tarsus,0.0205761316872428,10
10,5,2083,0.1042705890733686,0.5232331156730652,random_individual,1,5,2083,14,Southern 4,0,1446703604,10,tarsus,0.0205761316872428,10
9,6,2175,0.1188696558197565,0.5218219757080078,random_individual,1,6,2175,14,Southern 4,0,1446703604,10,tarsus,0.0205761316872428,10
8,7,2432,0.1453516634247839,0.519115686416626,random_individual,1,7,2432,14,Southern 4,0,1446703604,10,tarsus,0.0205761316872428,10
7,8,3495,0.1306277698752328,0.5191857814788818,random_individual,1,8,3495,14,Southern 4,0,1446703604,10,tarsus,0.0205761316872428,10
6,9,3697,0.1403822245935996,0.5177886486053467,random_individual,1,9,3697,14,Southern 4,0,1446703604,10,tarsus,0.0205761316872428,10
5,10,3814,0.1513864799097237,0.5163897275924683,random_individual,1,10,3814,14,Southern 4,0,1446703604,10,tarsus,0.0205761316872428,10
4,11,3977,0.1576130393411523,0.5153142809867859,random_individual,1,11,3977,14,Southern 4,0,1446703604,10,tarsus,0.0205761316872428,10
3,12,4532,0.1369279481944571,0.5176379084587097,random_individual,1,12,4532,14,Southern 4,0,1446703604,10,tarsus,0.0205761316872428,10
2,13,4684,0.1384265365441708,0.5173669457435608,random_individual,1,13,4684,14,Southern 4,0,1446703604,10,tarsus,0.0205761316872428,10
1,14,4878,0.1390294793922918,0.5169035792350769,random_individual,1,14,4878,14,Southern 4,0,1446703604,10,tarsus,0.0205761316872428,10
0,15,5164,0.1424702866637247,0.5166556239128113,random_individual,1,15,5164,14,Southern 4,0,1446703604,10,tarsus,0.0205761316872428,10
14,1,583,0.15556271200157,0.5222731828689575,random_individual,2,1,583,14,Southern 4,0,1446703604,10,tarsus,0.0205761316872428,10
13,2,979,0.1248024479719689,0.522779107093811,random_individual,2,2,979,14,Southern 4,0,1446703604,10,tarsus,0.0205761316872428,10
12,3,1562,0.1329271968945062,0.5197747945785522,random_individual,2,3,1562,14,Southern 4,0,1446703604,10,tarsus,0.0205761316872428,10
11,4,1735,0.1248685120721852,0.5200619697570801,random_individual,2,4,1735,14,Southern 4,0,1446703604,10,tarsus,0.0205761316872428,10
10,5,2083,0.1412722914907448,0.5189393162727356,random_individual,2,5,2083,14,Southern 4,0,1446703604,10,tarsus,0.0205761316872428,10
9,6,2175,0.1435606333244161,0.5181833505630493,random_individual,2,6,2175,14,Southern 4,0,1446703604,10,tarsus,0.0205761316872428,10
8,7,2432,0.1448793811372142,0.5174607038497925,random_individual,2,7,2432,14,Southern 4,0,1446703604,10,tarsus,0.0205761316872428,10
7,8,3495,0.1435710014512227,0.5173124670982361,random_individual,2,8,3495,14,Southern 4,0,1446703604,10,tarsus,0.0205761316872428,10
6,9,3697,0.1668414412030765,0.5142525434494019,random_individual,2,9,3697,14,Southern 4,0,1446703604,10,tarsus,0.0205761316872428,10
5,10,3814,0.1476220888672431,0.5166531801223755,random_individual,2,10,3814,14,Southern 4,0,1446703604,10,tarsus,0.0205761316872428,10
4,11,3977,0.1500230703050537,0.5162062048912048,random_individual,2,11,3977,14,Southern 4,0,1446703604,10,tarsus,0.0205761316872428,10
3,12,4532,0.1533972660903727,0.515073299407959,random_individual,2,12,4532,14,Southern 4,0,1446703604,10,tarsus,0.0205761316872428,10
2,13,4684,0.1510292542133008,0.5153743624687195,random_individual,2,13,4684,14,Southern 4,0,1446703604,10,tarsus,0.0205761316872428,10
1,14,4878,0.1544183553264279,0.5147110223770142,random_individual,2,14,4878,14,Southern 4,0,1446703604,10,tarsus,0.0205761316872428,10
0,15,5164,0.1424702866637247,0.5166556239128113,random_individual,2,15,5164,14,Southern 4,0,1446703604,10,tarsus,0.0205761316872428,10
14,1,583,0.1208995811675395,0.5243828296661377,random_individual,3,1,583,14,Southern 4,0,1446703604,10,tarsus,0.0205761316872428,10
13,2,979,0.1266967016922871,0.523013174533844,random_individual,3,2,979,14,Southern 4,0,1446703604,10,tarsus,0.0205761316872428,10
12,3,1562,0.0840474546146248,0.5267215967178345,random_individual,3,3,1562,14,Southern 4,0,1446703604,10,tarsus,0.0205761316872428,10
11,4,1735,0.0910494583806889,0.5247019529342651,random_individual,3,4,1735,14,Southern 4,0,1446703604,10,tarsus,0.0205761316872428,10
10,5,2083,0.1099849928952161,0.5227905511856079,random_individual,3,5,2083,14,Southern 4,0,1446703604,10,tarsus,0.0205761316872428,10
9,6,2175,0.1148335664898119,0.5221272110939026,random_individual,3,6,2175,14,Southern 4,0,1446703604,10,tarsus,0.0205761316872428,10
8,7,2432,0.1021044137254024,0.5227677226066589,random_individual,3,7,2432,14,Southern 4,0,1446703604,10,tarsus,0.0205761316872428,10
7,8,3495,0.1169266145794146,0.52045738697052,random_individual,3,8,3495,14,Southern 4,0,1446703604,10,tarsus,0.0205761316872428,10
6,9,3697,0.1346730541874894,0.5180615186691284,random_individual,3,9,3697,14,Southern 4,0,1446703604,10,tarsus,0.0205761316872428,10
5,10,3814,0.1302151802551844,0.5185542106628418,random_individual,3,10,3814,14,Southern 4,0,1446703604,10,tarsus,0.0205761316872428,10
4,11,3977,0.1432675044298005,0.5167285799980164,random_individual,3,11,3977,14,Southern 4,0,1446703604,10,tarsus,0.0205761316872428,10
3,12,4532,0.1286184711474205,0.5186440348625183,random_individual,3,12,4532,14,Southern 4,0,1446703604,10,tarsus,0.0205761316872428,10
2,13,4684,0.1302193859807763,0.5183363556861877,random_individual,3,13,4684,14,Southern 4,0,1446703604,10,tarsus,0.0205761316872428,10
