n_permutations,n_cal_samples,method,n_removed,corr_mean,corr_std,mse_mean,mse_std,n_rows
10,10,random_individual,0,0.1283301672212346,0.02588015669586224,0.5618026077747345,0.024455970434680584,50
10,10,random_individual,1,0.12826092576432985,0.024940308590792947,0.5618959033489227,0.024127884772087976,50
10,10,random_individual,2,0.12699296853030448,0.02758789844706346,0.5621380519866943,0.024309944952613485,50
10,10,random_individual,3,0.1250548828440935,0.032320324365970605,0.5624372482299804,0.024707302120900568,50
10,10,random_individual,4,0.12647649945600806,0.03751540095675794,0.5623824429512024,0.025221757858328368,50
10,10,random_individual,5,0.12804151415191406,0.03768240898508098,0.5623719024658204,0.025002401468198317,50
10,10,random_individual,6,0.12613449515936315,0.043748219199942845,0.562659353017807,0.025141127441168698,50
10,10,random_individual,7,0.12231544555581352,0.04853446175063404,0.5635436320304871,0.025026652803940584,50
10,10,random_individual,8,0.11880562956491339,0.050739403436066456,0.5642907810211182,0.02495924158451032,50
10,10,random_individual,9,0.11892277114484266,0.04919688452924892,0.564571385383606,0.024769562074521547,50
10,10,random_individual,10,0.11704502986868176,0.057853499182133034,0.5652302193641663,0.02464992503188341,50
10,10,random_individual,11,0.11241012564638217,0.058942316201369305,0.5661056554317474,0.024137301121803074,50
10,10,random_individual,12,0.09936938343613139,0.06556698164711834,0.5680498468875885,0.024399455981540065,50
10,10,random_individual,13,0.08476797311347795,0.06994613020944097,0.5696615540981292,0.024245425067619952,50
10,10,random_individual,14,0.07234382759169554,0.06161292414046586,0.5715047228336334,0.02442306390737757,50
10,10,shapley_mean,0,0.12833016722123464,0.027005901832137344,0.5618026077747345,0.025519765762246387,10
10,10,shapley_mean,1,0.12929293942694,0.030042039327539908,0.5618084847927094,0.025708676833426626,10
10,10,shapley_mean,2,0.128924353739853,0.027652012226585043,0.561881709098816,0.025786085361439923,10
10,10,shapley_mean,3,0.1257828375402052,0.0350962766813868,0.5623973488807679,0.025596414028633514,10
10,10,shapley_mean,4,0.13541701008845297,0.04220984927151368,0.5611461162567138,0.026180152326381146,10
10,10,shapley_mean,5,0.12656850570805406,0.038204196534131915,0.5623675584793091,0.02563618650816948,10
10,10,shapley_mean,6,0.12054626616166686,0.04798455535065933,0.5631530165672303,0.026229025974047734,10
10,10,shapley_mean,7,0.11228180320589576,0.0512652628468993,0.5643049418926239,0.024570407366298362,10
10,10,shapley_mean,8,0.0983286431680583,0.05099848150044787,0.5655587911605835,0.026922571982150974,10
10,10,shapley_mean,9,0.08929747352136287,0.044230267762189114,0.5662793695926667,0.025813276439625783,10
10,10,shapley_mean,10,0.09492203288743677,0.047037613950248365,0.565744286775589,0.026207877808591754,10
10,10,shapley_mean,11,0.09353316534717451,0.05413850936399132,0.5660851538181305,0.026480704637031092,10
10,10,shapley_mean,12,0.08048236843635294,0.066862646362199,0.5672046303749084,0.026398238598055335,10
10,10,shapley_mean,13,0.06755165047255238,0.08272634215732555,0.5692907869815826,0.02699099535988635,10
10,10,shapley_mean,14,0.03266890709743711,0.07713764852481729,0.5732985377311707,0.026830801468274917,10
10,20,random_individual,0,0.14143131999522532,0.027103370336157038,0.5725153088569641,0.02437210931514607,50
10,20,random_individual,1,0.14195732598289817,0.026599575737862185,0.5725537729263306,0.024750182661431284,50
10,20,random_individual,2,0.1406261467159324,0.028289965993857854,0.5728692746162415,0.02489966988334597,50
10,20,random_individual,3,0.1406272696222086,0.030774251513624767,0.5730008661746979,0.024960988025543366,50
10,20,random_individual,4,0.137658292197235,0.033053280963003376,0.5736389029026031,0.025372746358669707,50
10,20,random_individual,5,0.13754244853931588,0.0347126011365184,0.573832905292511,0.02521859018467462,50
10,20,random_individual,6,0.13070622443429872,0.03445479766380238,0.575145207643509,0.025265779833322722,50
10,20,random_individual,7,0.13125611493584066,0.03555982315434694,0.5755751955509186,0.025527607372148237,50
10,20,random_individual,8,0.12657251769510633,0.039352614911667534,0.576505264043808,0.025585953325177224,50
10,20,random_individual,9,0.12668212257614153,0.04057280577779687,0.5770425581932068,0.025473139910538137,50
10,20,random_individual,10,0.12306794386228713,0.03886107371846348,0.5779743540287018,0.02607451623838206,50
10,20,random_individual,11,0.10954123062487138,0.04129211308533824,0.5795061063766479,0.02551551837963355,50
10,20,random_individual,12,0.095227929768319,0.04718333082397942,0.5814942240715026,0.026350882480312882,50
10,20,random_individual,13,0.08511268357305608,0.053026133957735186,0.583455628156662,0.027404121150157435,50
10,20,random_individual,14,0.06319136420124995,0.05344252158777287,0.5867173874378204,0.029253876079563007,50
10,20,shapley_mean,0,0.14143131999522532,0.028282323295799282,0.5725153088569641,0.02543225681907051,10
10,20,shapley_mean,1,0.14278596744220828,0.03395384675754991,0.5723483026027679,0.024364640146218166,10
10,20,shapley_mean,2,0.14684394999235442,0.03800048607866844,0.571813839673996,0.023875884455011688,10
10,20,shapley_mean,3,0.14497254037292037,0.03928538955871002,0.5723212897777558,0.02433270944441326,10
10,20,shapley_mean,4,0.1443142415679608,0.03869635278240694,0.5725095331668854,0.024339993366741017,10
10,20,shapley_mean,5,0.14141931052585144,0.02506240965765784,0.5730502963066101,0.024394169804926546,10
10,20,shapley_mean,6,0.14226873756586064,0.04112181712875127,0.5728965163230896,0.024570106752361383,10
10,20,shapley_mean,7,0.14610693931140412,0.04263490598052893,0.5727792024612427,0.024696553226291964,10
10,20,shapley_mean,8,0.13519896546353022,0.04917832327056903,0.5751333713531495,0.02803106793169739,10
10,20,shapley_mean,9,0.1380240444874904,0.04266898834861199,0.575003707408905,0.027892649643448147,10
10,20,shapley_mean,10,0.1266895791153439,0.06173158364060822,0.5757412552833557,0.027648278402774628,10
10,20,shapley_mean,11,0.11000304660739058,0.039979015409720244,0.5778060615062713,0.028235628688733565,10
10,20,shapley_mean,12,0.10081175025855929,0.054993514362599895,0.5783592820167541,0.0288421578722009,10
10,20,shapley_mean,13,0.09657685456336089,0.046478661435927424,0.582390409708023,0.029409076257033366,10
10,20,shapley_mean,14,0.047025843558847716,0.08262877019185033,0.5897746562957764,0.03357958419014545,10
10,40,random_individual,0,0.1425888036612234,0.031919275777349286,0.5663134098052979,0.021436634371768327,50
10,40,random_individual,1,0.1415332896015315,0.033483182208664336,0.5666032230854035,0.021883998766673244,50
10,40,random_individual,2,0.14050022549675406,0.03307346574722558,0.5668887460231781,0.021745860453118392,50
10,40,random_individual,3,0.13826188470408163,0.037484602549593314,0.5673953711986541,0.021856474518788097,50
10,40,random_individual,4,0.13600646694639937,0.0411498376963155,0.5678713941574096,0.022356622391743405,50
10,40,random_individual,5,0.13725111886540942,0.043857752515791264,0.5679385554790497,0.022567900451765883,50
10,40,random_individual,6,0.13942710662393165,0.045193599261096985,0.5680216658115387,0.02242314965141108,50
10,40,random_individual,7,0.13756080145991553,0.04633932013292331,0.5687515819072724,0.022512360870210486,50
10,40,random_individual,8,0.1322201868131155,0.047960695576561185,0.5695432496070861,0.02244682343390412,50
10,40,random_individual,9,0.13166411920659082,0.04898216094960011,0.5701170229911804,0.021773506294819875,50
10,40,random_individual,10,0.12521064628842796,0.050310914597114155,0.5716625583171845,0.021425414943092285,50
10,40,random_individual,11,0.11536063445524308,0.05266656106579169,0.5732206106185913,0.021756354708713586,50
10,40,random_individual,12,0.10741722734295772,0.05432811828479889,0.5751417052745819,0.022303770419194145,50
10,40,random_individual,13,0.10030158108786527,0.058033600363510754,0.5774372363090515,0.02295400970887323,50
10,40,random_individual,14,0.06695624592172428,0.06802646140104335,0.5806891298294068,0.02350404179606089,50
10,40,shapley_mean,0,0.1425888036612234,0.03330771286766722,0.5663134098052979,0.022369093443238498,10
