n_permutations,n_cal_samples,best_n_removed,best_n_islands,best_corr_mean,v_full_mean,avg_gain_over_v_full,n_runs
10,10,0,15,0.22607642474920436,0.31462857842349,-0.08855215367428565,10
10,20,0,15,0.22845140481958107,0.2623578772231914,-0.03390647240361036,10
10,40,0,15,0.219544626578819,0.3280851280795899,-0.10854050150077088,10
10,80,0,15,0.22919275234084208,0.20497979913617734,0.02421295320466474,10
10,150,0,15,0.23132066784227862,0.2098611636247937,0.02145950421748491,10
20,10,0,15,0.22607642474920436,0.31462857842349,-0.08855215367428565,10
20,20,0,15,0.22845140481958107,0.2623578772231914,-0.03390647240361036,10
20,40,0,15,0.219544626578819,0.3280851280795899,-0.10854050150077088,10
20,80,0,15,0.22919275234084208,0.20497979913617734,0.02421295320466474,10
20,150,0,15,0.23132066784227862,0.2098611636247937,0.02145950421748491,10
40,10,0,15,0.22607642474920436,0.31462857842349,-0.08855215367428565,10
40,20,0,15,0.22845140481958107,0.2623578772231914,-0.03390647240361036,10
40,40,0,15,0.219544626578819,0.3280851280795899,-0.10854050150077088,10
40,80,0,15,0.22919275234084208,0.20497979913617734,0.02421295320466474,10
40,150,0,15,0.23132066784227862,0.2098611636247937,0.02145950421748491,10
80,10,0,15,0.22607642474920436,0.31462857842349,-0.08855215367428565,10
80,20,0,15,0.22845140481958107,0.2623578772231914,-0.03390647240361036,10
80,40,0,15,0.219544626578819,0.3280851280795899,-0.10854050150077088,10
80,80,0,15,0.22919275234084208,0.20497979913617734,0.02421295320466474,10
80,150,0,15,0.23132066784227862,0.2098611636247937,0.02145950421748491,10
150,10,0,15,0.22607642474920436,0.31462857842349,-0.08855215367428565,10
150,20,0,15,0.22845140481958107,0.2623578772231914,-0.03390647240361036,10
150,40,0,15,0.219544626578819,0.3280851280795899,-0.10854050150077088,10
150,80,0,15,0.22919275234084208,0.20497979913617734,0.02421295320466474,10
150,150,0,15,0.23132066784227862,0.2098611636247937,0.02145950421748491,10
