target_island,n_cal_samples,permutation_index,source_island,source_island_name,rank_mean,rank_std,phi_per_ind_mean,n_repeats
5,10.0,1,6,Indre Kvarøy,4.8,3.9101008796307144,0.0003110428891658446,10
5,10.0,1,0,Nesøy,6.6,6.310485101972924,0.000150586858871944,10
5,10.0,1,12,Southern 2,7.1,3.8427420765212266,0.00011286522733668338,10
5,10.0,1,4,Gjerøy,7.5,5.190803834132479,5.862233809199261e-05,10
5,10.0,1,14,Southern 4,7.5,3.8078865529319543,8.199788053850335e-05,10
5,10.0,1,9,Sleneset,7.9,4.863697724525606,8.214521189233694e-05,10
5,10.0,1,13,Southern 3,7.9,2.5582111805799856,6.132946495534518e-05,10
5,10.0,1,7,Onøy og Lurøy,8.0,4.163331998932265,1.8786941633857198e-05,10
5,10.0,1,8,Lovund,8.0,5.055250296034367,0.00019104779074719858,10
5,10.0,1,2,Træna,8.3,4.922736366426028,0.0001894913795427916,10
5,10.0,1,10,Aldra,8.3,4.164666186436128,-0.00021094875604149785,10
5,10.0,1,11,Southern 1,9.0,2.2607766610417563,1.3023872299229011e-05,10
5,10.0,1,3,Selvær,9.1,3.725288952252936,0.0001314231333626072,10
5,10.0,1,1,Myken,9.3,4.9899899799498595,-0.00011475011991733725,10
5,10.0,1,15,Southern 5,10.7,3.683295625749672,-0.00025524087647371154,10
5,10.0,2,6,Indre Kvarøy,5.8,5.00666222813829,0.00022173463794247124,10
5,10.0,2,0,Nesøy,6.3,5.963779562212764,0.00026196381455491,10
5,10.0,2,12,Southern 2,7.0,3.9157800414902435,0.00012381381158666654,10
5,10.0,2,2,Træna,7.3,5.457919831665622,0.00023815809467462676,10
5,10.0,2,7,Onøy og Lurøy,7.4,4.477102237434884,0.0001037442699727161,10
5,10.0,2,14,Southern 4,7.7,3.973523485382827,0.00012039082495173722,10
5,10.0,2,8,Lovund,7.8,5.0508525133002165,0.0003136040290217869,10
5,10.0,2,4,Gjerøy,8.0,4.136557881996952,6.896366074593393e-05,10
5,10.0,2,3,Selvær,8.2,3.705851229249946,6.2734159726536e-05,10
5,10.0,2,13,Southern 3,8.3,2.4060109910158123,1.4562494406889217e-05,10
5,10.0,2,9,Sleneset,8.7,4.522781838156198,5.6079650694946455e-05,10
5,10.0,2,11,Southern 1,8.7,3.0568684048294332,-3.614266106280479e-05,10
5,10.0,2,10,Aldra,9.2,3.8239014399199966,-0.0001273059471492652,10
5,10.0,2,1,Myken,9.7,4.667856991049414,-0.00010774220228325303,10
5,10.0,2,15,Southern 5,9.9,4.508017549014447,-0.0002883027237943479,10
5,10.0,3,6,Indre Kvarøy,5.7,4.4484703987875305,0.00031391496831378716,10
5,10.0,3,0,Nesøy,5.9,6.118278625016463,0.00033608142296238745,10
5,10.0,3,12,Southern 2,7.0,4.0276819911981905,0.00011751770025516212,10
5,10.0,3,8,Lovund,7.1,5.087020520675908,0.0002882823710218949,10
5,10.0,3,14,Southern 4,7.1,4.121757985239902,0.00010785122138026234,10
5,10.0,3,2,Træna,7.5,4.85912657903775,0.000229711500026063,10
5,10.0,3,4,Gjerøy,7.8,4.131182235954578,3.823565352348922e-05,10
5,10.0,3,7,Onøy og Lurøy,7.8,4.157990967870047,8.572562882087433e-05,10
5,10.0,3,13,Southern 3,7.9,2.2335820757001277,1.899778650100125e-05,10
5,10.0,3,10,Aldra,8.6,4.033195589934446,-0.00013960907130146946,10
5,10.0,3,3,Selvær,8.8,4.049691346263317,4.414899564506325e-05,10
5,10.0,3,11,Southern 1,9.1,2.766867462592951,-2.6532155873367046e-05,10
5,10.0,3,9,Sleneset,9.5,4.552166761249222,-1.6368154659053125e-05,10
5,10.0,3,1,Myken,10.0,5.055250296034367,-0.00018413691703182596,10
5,10.0,3,15,Southern 5,10.2,4.049691346263317,-0.00022806008189597704,10
5,10.0,4,6,Indre Kvarøy,5.8,4.7093288033198295,0.0002910714956917667,10
5,10.0,4,0,Nesøy,5.9,5.877452206904319,0.0001557862273661621,10
5,10.0,4,14,Southern 4,6.7,4.321779468896785,0.00014043084016017384,10
5,10.0,4,8,Lovund,7.2,4.984420171338332,0.00023731643192780697,10
5,10.0,4,12,Southern 2,7.5,3.92286743197994,9.285104480404636e-05,10
5,10.0,4,13,Southern 3,7.5,2.41522945769824,5.204290500129419e-05,10
5,10.0,4,7,Onøy og Lurøy,7.6,3.893013685508382,0.00010426484732196693,10
5,10.0,4,2,Træna,7.7,5.1001089312985375,0.00018512670170229943,10
5,10.0,4,4,Gjerøy,7.7,3.7133393177689658,3.367165187508711e-05,10
5,10.0,4,10,Aldra,8.3,3.8600518131237562,-9.238283909047448e-05,10
5,10.0,4,11,Southern 1,8.8,3.0477678535099897,-1.6500889656844953e-05,10
5,10.0,4,3,Selvær,8.9,4.067486256208427,3.5389828146456436e-05,10
5,10.0,4,9,Sleneset,9.6,4.765617600176404,-3.2510077510233196e-05,10
5,10.0,4,1,Myken,10.3,5.012207320355197,-0.00016296240507365366,10
5,10.0,4,15,Southern 5,10.5,3.865804501581067,-0.00017685428799141573,10
5,10.0,5,6,Indre Kvarøy,5.4,4.4522154285504,0.00031423277093262715,10
5,10.0,5,0,Nesøy,5.7,6.03784361801095,0.0001269430296639567,10
5,10.0,5,14,Southern 4,6.9,3.8427420765212266,0.00014629385871242547,10
5,10.0,5,12,Southern 2,7.4,3.8930136855083823,7.738655307731556e-05,10
5,10.0,5,2,Træna,7.6,5.378971401051816,0.0001561568524757175,10
5,10.0,5,8,Lovund,7.6,5.253570214625479,0.00020272284703719986,10
5,10.0,5,13,Southern 3,7.6,2.7568097504180447,4.4279091787511843e-05,10
5,10.0,5,4,Gjerøy,7.7,3.4657049948186747,4.9107448309135734e-05,10
5,10.0,5,10,Aldra,7.8,4.1041983924323695,-3.978484502656042e-05,10
5,10.0,5,7,Onøy og Lurøy,7.9,3.6953424138441564,9.137698978313366e-05,10
5,10.0,5,11,Southern 1,8.7,3.2676869155073254,2.8100226979593193e-06,10
5,10.0,5,3,Selvær,9.2,4.022160834399561,1.6400976468915002e-05,10
5,10.0,5,9,Sleneset,9.7,4.473378042498879,-5.0703548379269585e-05,10
5,10.0,5,1,Myken,10.4,4.812021982031623,-0.0002543719145525624,10
5,10.0,5,15,Southern 5,10.4,3.777124126457412,-0.0001466285836331474,10
5,10.0,6,6,Indre Kvarøy,5.8,4.565571644870382,0.00030199517113841447,10
5,10.0,6,0,Nesøy,5.9,6.190494505467412,0.0001687824030065522,10
5,10.0,6,14,Southern 4,7.0,3.8873012632302,0.00012902983258598124,10
5,10.0,6,8,Lovund,7.1,5.6460408940936455,0.00023620559774748575,10
5,10.0,6,12,Southern 2,7.2,3.7653389990514503,0.00011438675419027512,10
5,10.0,6,2,Træna,7.6,5.378971401051816,0.00013775471542828646,10
5,10.0,6,13,Southern 3,7.6,2.503331114069145,4.7407070130485134e-05,10
5,10.0,6,4,Gjerøy,7.7,3.198958163736021,5.082534528722597e-05,10
5,10.0,6,7,Onøy og Lurøy,8.0,3.7416573867739413,8.222998040985539e-05,10
5,10.0,6,10,Aldra,8.0,4.109609335312651,-2.076982138680564e-05,10
5,10.0,6,11,Southern 1,8.6,3.3399933466334266,6.274876757673483e-06,10
5,10.0,6,3,Selvær,9.0,4.109609335312651,5.269613826437019e-06,10
5,10.0,6,9,Sleneset,10.0,4.189935029992179,-6.538478044234658e-05,10
5,10.0,6,1,Myken,10.1,4.817791102892602,-0.0002030389959254589,10
5,10.0,6,15,Southern 5,10.4,3.8643671323171835,-0.00020915643975938044,10
5,10.0,7,6,Indre Kvarøy,5.4,4.4522154285504,0.0003250201743226034,10
5,10.0,7,0,Nesøy,6.0,6.342099196813483,0.00012274216266672656,10
5,10.0,7,14,Southern 4,6.7,4.001388647846033,0.00014524449537922976,10
5,10.0,7,8,Lovund,6.9,5.300943312279429,0.00022510849603179245,10
5,10.0,7,12,Southern 2,7.3,3.683295625749672,9.85129312340546e-05,10
5,10.0,7,2,Træna,7.5,5.1693541397569405,0.0001459425399470299,10
5,10.0,7,10,Aldra,7.9,4.012480529547776,-2.0297918464813602e-05,10
5,10.0,7,13,Southern 3,7.9,2.558211180579986,4.530503716373098e-05,10
5,10.0,7,4,Gjerøy,8.1,3.2812599206199238,4.067073081932895e-05,10
5,10.0,7,7,Onøy og Lurøy,8.2,3.7058512292499457,8.274586777249672e-05,10
5,10.0,7,11,Southern 1,8.8,3.3928028399998595,2.6531229657215724e-06,10
5,10.0,7,3,Selvær,9.1,4.121757985239902,-5.9279802051235295e-06,10
5,10.0,7,9,Sleneset,9.8,4.491968140779471,-4.634883199007521e-05,10
5,10.0,7,1,Myken,10.1,4.677368680976279,-0.00022191576069822727,10
5,10.0,7,15,Southern 5,10.3,4.056544780420347,-0.00018594134624931426,10
5,10.0,8,6,Indre Kvarøy,5.4,4.550946177566937,0.0003591721792683989,10
5,10.0,8,0,Nesøy,6.3,6.3604681868204915,8.659783908389962e-05,10
5,10.0,8,8,Lovund,6.6,5.211099265563414,0.00023563464727714988,10
5,10.0,8,14,Southern 4,6.7,3.802046232695699,0.00014576185814839526,10
5,10.0,8,4,Gjerøy,7.3,3.1287200080686173,4.0112517895263504e-05,10
5,10.0,8,2,Træna,7.4,5.059644256269407,0.00012691607535960254,10
5,10.0,8,12,Southern 2,7.4,3.438345855527367,9.408641382936296e-05,10
5,10.0,8,7,Onøy og Lurøy,7.8,3.7058512292499457,9.632280498004419e-05,10
5,10.0,8,13,Southern 3,7.8,2.8596814119369625,4.320513419627592e-05,10
5,10.0,8,10,Aldra,8.0,3.9157800414902435,-1.8674322485694e-05,10
5,10.0,8,11,Southern 1,8.9,2.923088169119167,-3.3869287791332104e-06,10
5,10.0,8,3,Selvær,9.6,4.477102237434885,-2.67274509162521e-05,10
