n_permutations,n_cal_samples,best_n_removed,best_n_islands,best_corr_mean,corr_baseline,avg_gain_over_baseline,n_runs
10,10,0,15,0.1959153994894588,0.1959153994894588,0.0,30
10,20,0,15,0.18961633861839883,0.18961633861839883,0.0,30
10,40,0,15,0.21161999720591765,0.21161999720591765,0.0,30
10,80,1,14,0.1811992246555792,0.18085067802988072,0.0003485466256984704,30
10,150,1,14,0.18964347975458792,0.1881154120234362,0.0015280677311517166,30
20,10,0,15,0.1959153994894588,0.1959153994894588,0.0,30
20,20,0,15,0.18961633861839883,0.18961633861839883,0.0,30
20,40,0,15,0.21161999720591765,0.21161999720591765,0.0,30
20,80,1,14,0.18164313362878676,0.18085067802988072,0.0007924555989060333,30
20,150,1,14,0.18909095777088308,0.1881154120234362,0.0009755457474468765,30
40,10,0,15,0.1959153994894588,0.1959153994894588,0.0,30
40,20,0,15,0.18961633861839883,0.18961633861839883,0.0,30
40,40,0,15,0.21161999720591765,0.21161999720591765,0.0,30
40,80,1,14,0.1814330484748943,0.18085067802988072,0.0005823704450135803,30
40,150,0,15,0.1881154120234362,0.1881154120234362,0.0,30
80,10,0,15,0.1959153994894588,0.1959153994894588,0.0,30
80,20,0,15,0.18961633861839883,0.18961633861839883,0.0,30
80,40,0,15,0.21161999720591765,0.21161999720591765,0.0,30
80,80,0,15,0.18085067802988072,0.18085067802988072,0.0,30
80,150,1,14,0.18973920743417017,0.1881154120234362,0.001623795410733958,30
150,10,0,15,0.1959153994894588,0.1959153994894588,0.0,30
150,20,0,15,0.18961633861839883,0.18961633861839883,0.0,30
150,40,0,15,0.21161999720591765,0.21161999720591765,0.0,30
150,80,0,15,0.18085067802988072,0.18085067802988072,0.0,30
150,150,0,15,0.1881154120234362,0.1881154120234362,0.0,30
