n_permutations,n_cal_samples,method,n_removed,corr_mean,corr_std,mse_mean,mse_std,n_rows
10,10,random_individual,0,0.1959153994894588,0.09002804800128303,1.152511340379715,0.21006010306189282,150
10,10,random_individual,1,0.19125506275183665,0.08607455201573254,1.1548408516248068,0.21048348863860966,150
10,10,random_individual,2,0.18734565315918625,0.0860283810539058,1.1576839252312978,0.21161443048906925,150
10,10,random_individual,3,0.1836913221942842,0.08934836377524993,1.160425261259079,0.21227931726288235,150
10,10,random_individual,4,0.1790956899901253,0.08952739114698842,1.1648104111353557,0.2152296835013555,150
10,10,random_individual,5,0.17628770637548077,0.09144252825997615,1.1688206831614176,0.21498309785570802,150
10,10,random_individual,6,0.16921841282848707,0.09176567627447704,1.1724134894212086,0.21689173027873385,150
10,10,random_individual,7,0.16199600737631387,0.09919454856941612,1.1778039077917735,0.21790588210401624,150
10,10,random_individual,8,0.15130524837206014,0.1004422639878848,1.1827145866552988,0.2200030515643123,150
10,10,random_individual,9,0.1449962635593078,0.10118454826167576,1.1869926357269287,0.22106339687678145,150
10,10,random_individual,10,0.13263853503018833,0.0997819706006095,1.1927369050184886,0.22076420792747897,150
10,10,random_individual,11,0.1196285173031341,0.09798142614977334,1.1990170514583587,0.22415629640485116,150
10,10,random_individual,12,0.10377311793069277,0.10717536005034307,1.205263296365738,0.22452066285291447,150
10,10,random_individual,13,0.09312995199674085,0.11395261587464299,1.2101155066490172,0.22420994635458488,150
10,10,random_individual,14,0.0560667346015178,0.1083878916551811,1.2214326592286429,0.22650621326471065,150
10,10,shapley_mean,0,0.1959153994894588,0.09126136640067992,1.152511340379715,0.21293777280856713,30
10,10,shapley_mean,1,0.18467262800412482,0.09800556045651451,1.1590719024340312,0.21207798696925584,30
10,10,shapley_mean,2,0.17808865205539373,0.10655150917661399,1.1645959913730621,0.22346133157391534,30
10,10,shapley_mean,3,0.17522461401087583,0.10230003992380608,1.1655092298984528,0.2218195640693619,30
10,10,shapley_mean,4,0.17030899347627457,0.10112389123946504,1.1677899698416392,0.22261288296313742,30
10,10,shapley_mean,5,0.1642490993438199,0.09819310765097286,1.1710827350616455,0.2220261797882611,30
10,10,shapley_mean,6,0.1557941794314629,0.08354819447264449,1.1738525013128915,0.22122065883427405,30
10,10,shapley_mean,7,0.14534281599111726,0.08580603386021618,1.17906946738561,0.22219834104854277,30
10,10,shapley_mean,8,0.15195996137540613,0.09683704800387581,1.179730772972107,0.21918567331927993,30
10,10,shapley_mean,9,0.14120173485242934,0.10913728085886895,1.1876453975836436,0.22774307108543482,30
10,10,shapley_mean,10,0.14394146519459536,0.11105142431158976,1.185857061545054,0.2220363185543125,30
10,10,shapley_mean,11,0.14324756107113143,0.11505059234264363,1.187973435719808,0.2197679197459886,30
10,10,shapley_mean,12,0.1266681129344618,0.11321334885964894,1.1934497853120167,0.220871023838794,30
10,10,shapley_mean,13,0.10742772595765639,0.11142114034176154,1.2012332240740458,0.22906311501518142,30
10,10,shapley_mean,14,0.07597158787696075,0.09902031792971491,1.2098198235034943,0.23272973088511348,30
10,20,random_individual,0,0.18961633861839883,0.09020999447187866,1.1080042997996011,0.17708611896587065,150
10,20,random_individual,1,0.18693750675499443,0.0927876500180757,1.1094568022092184,0.17800344033698498,150
10,20,random_individual,2,0.18337363755481298,0.08881787764555515,1.1114697833855947,0.1774369245281902,150
10,20,random_individual,3,0.17657951461483265,0.0906436641390699,1.115143788655599,0.17677066201696112,150
10,20,random_individual,4,0.1730438198336187,0.09336065353343538,1.1185297310352325,0.17543472153050846,150
10,20,random_individual,5,0.1708126963963537,0.09384018529531313,1.120981828769048,0.17395981547622918,150
10,20,random_individual,6,0.1654285902406242,0.09498858766894679,1.1252898867925007,0.1728629111707674,150
10,20,random_individual,7,0.155438182823291,0.09203644275961469,1.1310837813218435,0.1710962928374484,150
10,20,random_individual,8,0.1486706268438648,0.09364411339744742,1.1359695148468019,0.17100455400221354,150
10,20,random_individual,9,0.13677887781955395,0.0947662715527428,1.1416742924849193,0.17020191317393002,150
10,20,random_individual,10,0.1257259071898983,0.09754487172042425,1.146828947464625,0.1698811804714062,150
10,20,random_individual,11,0.1159253800960833,0.1006185395608288,1.1514463301499684,0.16958707485907457,150
10,20,random_individual,12,0.09093507987593265,0.09809555295954203,1.1587237624327342,0.17257727500640027,150
10,20,random_individual,13,0.07114007820762018,0.1064388098489353,1.1658543407917024,0.17430176532839575,150
10,20,random_individual,14,0.048758852690050244,0.10781536782077782,1.1721495040257772,0.17615438229261968,150
10,20,shapley_mean,0,0.18961633861839883,0.0914458054048234,1.1080042997996011,0.17951206925188906,30
10,20,shapley_mean,1,0.18347817303082697,0.08540022658123562,1.1135444124539693,0.18130770300995822,30
10,20,shapley_mean,2,0.17831993412260966,0.08713741185732903,1.1172947724660238,0.18194143014092512,30
10,20,shapley_mean,3,0.1723770818994169,0.0856755421342865,1.118953174352646,0.18145281248089745,30
10,20,shapley_mean,4,0.16630941140589278,0.07624974027247064,1.1197551250457765,0.1821373988074676,30
10,20,shapley_mean,5,0.16648977926525665,0.07954928496127271,1.1211850504080454,0.18368178219606707,30
10,20,shapley_mean,6,0.16887930732015724,0.0963967616445236,1.1235864818096162,0.18438427032743643,30
10,20,shapley_mean,7,0.16509653790748294,0.09140183819746141,1.1260515133539835,0.18432547224643653,30
10,20,shapley_mean,8,0.16672537006898033,0.10118212284246347,1.1286955257256825,0.18389557067447942,30
10,20,shapley_mean,9,0.15103540201398857,0.10001261802663446,1.135004351536433,0.18165458452996888,30
10,20,shapley_mean,10,0.14692879830803263,0.10981157392445125,1.1340846200784047,0.178699378962793,30
10,20,shapley_mean,11,0.14697530457757368,0.11960389469655641,1.1370858351389568,0.17877306816782879,30
10,20,shapley_mean,12,0.14045192546342572,0.12589236126013958,1.137631320953369,0.1786923661634825,30
10,20,shapley_mean,13,0.11300555727895091,0.12725943065785894,1.1453964829444885,0.18179010982368973,30
