target_island,target_island_name,repeat,split_seed,n_permutations,trait,cal_fraction,n_cal_samples,v_full,n_source_islands
3,Selvær,0,1658532137,10,wing,0.0523560209424083,10,0.5963119578746189,15
3,Selvær,0,1658532137,20,wing,0.0523560209424083,10,0.5963119578746189,15
3,Selvær,0,1658532137,40,wing,0.0523560209424083,10,0.5963119578746189,15
3,Selvær,0,1658532137,80,wing,0.0523560209424083,10,0.5963119578746189,15
3,Selvær,0,1658532137,150,wing,0.0523560209424083,10,0.5963119578746189,15
3,Selvær,0,233182430,10,wing,0.1047120418848167,20,0.1036351374903153,15
3,Selvær,0,233182430,20,wing,0.1047120418848167,20,0.1036351374903153,15
3,Selvær,0,233182430,40,wing,0.1047120418848167,20,0.1036351374903153,15
3,Selvær,0,233182430,80,wing,0.1047120418848167,20,0.1036351374903153,15
3,Selvær,0,233182430,150,wing,0.1047120418848167,20,0.1036351374903153,15
3,Selvær,0,243972437,10,wing,0.2094240837696335,40,0.5819079727934462,15
3,Selvær,0,243972437,20,wing,0.2094240837696335,40,0.5819079727934462,15
3,Selvær,0,243972437,40,wing,0.2094240837696335,40,0.5819079727934462,15
3,Selvær,0,243972437,80,wing,0.2094240837696335,40,0.5819079727934462,15
3,Selvær,0,243972437,150,wing,0.2094240837696335,40,0.5819079727934462,15
3,Selvær,0,2064934445,10,wing,0.418848167539267,80,0.1837845991536556,15
3,Selvær,0,2064934445,20,wing,0.418848167539267,80,0.1837845991536556,15
3,Selvær,0,2064934445,40,wing,0.418848167539267,80,0.1837845991536556,15
3,Selvær,0,2064934445,80,wing,0.418848167539267,80,0.1837845991536556,15
3,Selvær,0,2064934445,150,wing,0.418848167539267,80,0.1837845991536556,15
3,Selvær,0,1842124371,10,wing,0.7853403141361257,150,0.2899354952938698,15
3,Selvær,0,1842124371,20,wing,0.7853403141361257,150,0.2899354952938698,15
3,Selvær,0,1842124371,40,wing,0.7853403141361257,150,0.2899354952938698,15
3,Selvær,0,1842124371,80,wing,0.7853403141361257,150,0.2899354952938698,15
3,Selvær,0,1842124371,150,wing,0.7853403141361257,150,0.2899354952938698,15
5,Hestmannøy,0,1860596299,10,wing,0.0094786729857819,10,0.0242142116766764,15
5,Hestmannøy,0,1860596299,20,wing,0.0094786729857819,10,0.0242142116766764,15
5,Hestmannøy,0,1860596299,40,wing,0.0094786729857819,10,0.0242142116766764,15
5,Hestmannøy,0,1860596299,80,wing,0.0094786729857819,10,0.0242142116766764,15
5,Hestmannøy,0,1860596299,150,wing,0.0094786729857819,10,0.0242142116766764,15
5,Hestmannøy,0,1930374242,10,wing,0.0189573459715639,20,0.2448031006128852,15
5,Hestmannøy,0,1930374242,20,wing,0.0189573459715639,20,0.2448031006128852,15
5,Hestmannøy,0,1930374242,40,wing,0.0189573459715639,20,0.2448031006128852,15
5,Hestmannøy,0,1930374242,80,wing,0.0189573459715639,20,0.2448031006128852,15
5,Hestmannøy,0,1930374242,150,wing,0.0189573459715639,20,0.2448031006128852,15
5,Hestmannøy,0,174851534,10,wing,0.0379146919431279,40,0.047306890257116,15
5,Hestmannøy,0,174851534,20,wing,0.0379146919431279,40,0.047306890257116,15
5,Hestmannøy,0,174851534,40,wing,0.0379146919431279,40,0.047306890257116,15
5,Hestmannøy,0,174851534,80,wing,0.0379146919431279,40,0.047306890257116,15
5,Hestmannøy,0,174851534,150,wing,0.0379146919431279,40,0.047306890257116,15
