n_permutations,n_cal_samples,best_n_removed,best_n_islands,best_corr_mean,v_full_mean,avg_gain_over_v_full,n_runs
10,10,0,15,0.2931931625676795,0.298649220093414,-0.00545605752573447,10
10,20,0,15,0.2637307093968279,0.27728856448150774,-0.013557855084679826,10
10,40,0,15,0.3248884376725956,0.3735311301221753,-0.048642692449579694,10
10,80,8,7,0.2641674424205268,0.3233555170796348,-0.05918807465910797,10
10,150,11,4,0.3048020295236776,0.3103884194517045,-0.0055863899280269025,10
20,10,0,15,0.2931931625676795,0.298649220093414,-0.00545605752573447,10
20,20,0,15,0.2637307093968279,0.27728856448150774,-0.013557855084679826,10
20,40,12,3,0.3251912471729165,0.3735311301221753,-0.04833988294925884,10
20,80,7,8,0.2618109437695645,0.3233555170796348,-0.061544573310070294,10
20,150,9,6,0.30118141704758983,0.3103884194517045,-0.00920700240411465,10
40,10,0,15,0.2931931625676795,0.298649220093414,-0.00545605752573447,10
40,20,0,15,0.2637307093968279,0.27728856448150774,-0.013557855084679826,10
40,40,0,15,0.3248884376725956,0.3735311301221753,-0.048642692449579694,10
40,80,10,5,0.26157834527822055,0.3233555170796348,-0.06177717180141423,10
40,150,11,4,0.3114349752157664,0.3103884194517045,0.0010465557640619294,10
80,10,0,15,0.2931931625676795,0.298649220093414,-0.00545605752573447,10
80,20,0,15,0.2637307093968279,0.27728856448150774,-0.013557855084679826,10
80,40,0,15,0.3248884376725956,0.3735311301221753,-0.048642692449579694,10
80,80,8,7,0.2687232705302317,0.3233555170796348,-0.054632246549403074,10
80,150,11,4,0.3139799616004324,0.3103884194517045,0.003591542148727922,10
150,10,0,15,0.2931931625676795,0.298649220093414,-0.00545605752573447,10
150,20,0,15,0.2637307093968279,0.27728856448150774,-0.013557855084679826,10
150,40,0,15,0.3248884376725956,0.3735311301221753,-0.048642692449579694,10
150,80,7,8,0.25955334020265597,0.3233555170796348,-0.06380217687697881,10
150,150,11,4,0.3139799616004324,0.3103884194517045,0.003591542148727922,10
