n_permutations,n_cal_samples,method,n_removed,corr_mean,corr_std,mse_mean,mse_std,n_rows
10,10,random_individual,0,0.2931931625676795,0.09886274562585418,1.224919205904007,0.24298508862925888,50
10,10,random_individual,1,0.2830391775436364,0.09592272852378937,1.2304225194454192,0.24295746967494847,50
10,10,random_individual,2,0.273755787599747,0.10182782041250893,1.2379142487049102,0.24460474588350942,50
10,10,random_individual,3,0.267706374508283,0.1129662454662525,1.243364416360855,0.24484102338689448,50
10,10,random_individual,4,0.25696621337588954,0.11908847881927119,1.2539792025089265,0.24960210662505194,50
10,10,random_individual,5,0.25252388250808544,0.12399453947625412,1.2642363154888152,0.24532401759214223,50
10,10,random_individual,6,0.23976827458527858,0.1292542179150637,1.271698157787323,0.24779003808098962,50
10,10,random_individual,7,0.2319979078295735,0.1421331285400592,1.2809620583057404,0.24879919768878977,50
10,10,random_individual,8,0.21295093999400896,0.14947423900266052,1.2897271835803985,0.25313632047491347,50
10,10,random_individual,9,0.2121900939351022,0.14555932153362805,1.2947476410865784,0.25679306969431115,50
10,10,random_individual,10,0.1979566262159934,0.14244001534196582,1.3041762149333953,0.25555328244433667,50
10,10,random_individual,11,0.17319307593064248,0.14292746132685447,1.3192814409732818,0.25787829531112544,50
10,10,random_individual,12,0.14691121456523606,0.1630700471266612,1.3314847612380982,0.2541449803721181,50
10,10,random_individual,13,0.14402031133082077,0.17123170136702445,1.338293309211731,0.24986485306774964,50
10,10,random_individual,14,0.0824340752118284,0.16700635183267293,1.3590484142303467,0.24659736378600652,50
10,10,shapley_mean,0,0.2931931625676795,0.10316311584211733,1.224919205904007,0.25355454865712246,10
10,10,shapley_mean,1,0.2785512437242205,0.1246056324269493,1.2344962298870086,0.25244243689709417,10
10,10,shapley_mean,2,0.2646801270129974,0.15254506500462123,1.2454361259937285,0.2792279941533858,10
10,10,shapley_mean,3,0.2544930815160512,0.15013415140625783,1.2490272521972656,0.27420852077297314,10
10,10,shapley_mean,4,0.24969928925436297,0.14389218547791854,1.254912793636322,0.27245564664076555,10
10,10,shapley_mean,5,0.24006681012422443,0.13973896125955415,1.2583214819431305,0.267928251946366,10
10,10,shapley_mean,6,0.20781853839463688,0.12831904924429624,1.270110160112381,0.26176566601830703,10
10,10,shapley_mean,7,0.20384892067713517,0.12704714248957605,1.2803532600402832,0.2626883145969691,10
10,10,shapley_mean,8,0.22411660639001957,0.1380869745492212,1.2789737105369567,0.25556022417592367,10
10,10,shapley_mean,9,0.23429495712442444,0.14377238180707122,1.2940753698349,0.2748591048100572,10
10,10,shapley_mean,10,0.2535497899130345,0.12645078534258883,1.2860836148262025,0.26359329384913205,10
10,10,shapley_mean,11,0.26162096543687113,0.1227822929216581,1.2890439331531525,0.25972987712485723,10
10,10,shapley_mean,12,0.2353579274967157,0.13571620970855172,1.30422545671463,0.2532095956522881,10
10,10,shapley_mean,13,0.21746241417917989,0.13096791905037414,1.3187371253967286,0.268532450153995,10
10,10,shapley_mean,14,0.1496168943851277,0.1371899417440897,1.3385510683059691,0.26424458877691837,10
10,20,random_individual,0,0.26373070939682797,0.12120363983714841,1.040253871679306,0.18094495950106243,50
10,20,random_individual,1,0.2599941662218323,0.12772856725746376,1.0428876543045045,0.18426525991804937,50
10,20,random_individual,2,0.2528634704672906,0.12204381907495937,1.0468858218193053,0.18412858811984403,50
10,20,random_individual,3,0.23958053869085813,0.1293003672216593,1.0554493641853333,0.18411245765939935,50
10,20,random_individual,4,0.23691013897717306,0.13287702985647307,1.0620278489589692,0.18201766059618826,50
10,20,random_individual,5,0.2363420682241934,0.13213151432493464,1.0669923961162566,0.1819083761020908,50
10,20,random_individual,6,0.22472561374004557,0.13983136670959298,1.075867896080017,0.1833263922255122,50
10,20,random_individual,7,0.20951907763902855,0.1354112309074241,1.0885966563224792,0.1825734002350138,50
10,20,random_individual,8,0.20109473409501608,0.13888765213108487,1.0990750563144684,0.18471080178854074,50
10,20,random_individual,9,0.17667565062578636,0.1468838568355928,1.1103656446933747,0.1856873777937464,50
10,20,random_individual,10,0.16166237856155796,0.1509121366900404,1.1205303633213044,0.18637933231613144,50
10,20,random_individual,11,0.1473153269167784,0.15474031527326132,1.1293158686161042,0.18514383291375178,50
10,20,random_individual,12,0.09774805787742567,0.15236358217621504,1.143406935930252,0.19345204985232556,50
10,20,random_individual,13,0.06540889732008708,0.16445435992919102,1.155411078929901,0.19839028072306028,50
10,20,random_individual,14,0.04682171658350929,0.17123813256493844,1.1624131965637208,0.2001076140154436,50
10,20,shapley_mean,0,0.2637307093968279,0.12647580297159053,1.040253871679306,0.1888157738274836,10
