target_island,n_cal_samples,permutation_index,source_island,source_island_name,rank_mean,rank_std,phi_per_ind_mean,n_repeats
3,150.0,1,1,Myken,2.4,1.1737877907772671,0.00045976197947675225,10
3,150.0,1,2,Træna,2.4,1.3498971154211057,0.00048359866054257714,10
3,150.0,1,8,Lovund,2.6,1.3498971154211057,0.00046042924226871566,10
3,150.0,1,9,Sleneset,3.8,1.9888578520235065,0.00031313082544063913,10
3,150.0,1,11,Southern 1,6.0,1.7638342073763937,5.960315077949246e-05,10
3,150.0,1,7,Onøy og Lurøy,6.6,3.5023801430836525,0.00016021458691022793,10
3,150.0,1,5,Hestmannøy,8.4,1.1737877907772674,7.822528625969937e-06,10
3,150.0,1,6,Indre Kvarøy,8.9,3.0349812373573433,1.922329429632585e-05,10
3,150.0,1,14,Southern 4,9.4,2.503331114069145,2.8001304919200415e-06,10
3,150.0,1,13,Southern 3,10.3,2.057506581601462,-1.828235346593111e-05,10
3,150.0,1,10,Aldra,10.8,2.6583202716502514,-2.474361909809759e-05,10
3,150.0,1,12,Southern 2,10.9,1.7919573407620815,-2.9303025863157055e-05,10
3,150.0,1,4,Gjerøy,11.6,2.951459149490487,-5.378708335118089e-05,10
3,150.0,1,0,Nesøy,11.8,4.131182235954578,-1.2593924090811863e-05,10
3,150.0,1,15,Southern 5,14.1,1.523883926754995,-0.00011885481847031601,10
3,150.0,2,1,Myken,2.4,1.0749676997731399,0.00046953008150843586,10
3,150.0,2,8,Lovund,2.5,1.1785113019775793,0.0005111120779905732,10
3,150.0,2,2,Træna,2.8,1.3984117975602022,0.0004252616573882062,10
3,150.0,2,9,Sleneset,3.0,1.4907119849998598,0.0004407624938134039,10
3,150.0,2,11,Southern 1,6.0,1.1547005383792517,7.362160985954231e-05,10
3,150.0,2,7,Onøy og Lurøy,6.7,3.093002855909879,0.00011679350864804406,10
3,150.0,2,6,Indre Kvarøy,8.5,2.5055493963954847,1.5426032332973753e-05,10
3,150.0,2,5,Hestmannøy,8.7,1.70293863659264,3.704375530973875e-06,10
3,150.0,2,13,Southern 3,10.0,2.1081851067789197,-1.7157844620034945e-05,10
3,150.0,2,14,Southern 4,10.0,2.4037008503093262,-6.344524929712794e-06,10
3,150.0,2,12,Southern 2,10.8,1.751190071541826,-2.4787265249789057e-05,10
3,150.0,2,0,Nesøy,11.1,4.508017549014447,1.946012451380395e-05,10
3,150.0,2,10,Aldra,11.6,2.503331114069144,-3.89534104140016e-05,10
3,150.0,2,4,Gjerøy,11.8,3.084008934992101,-4.745060481480439e-05,10
3,150.0,2,15,Southern 5,14.1,1.197218999737865,-0.00015093249135361946,10
3,150.0,3,1,Myken,2.5,1.2692955176439846,0.0004958145506820787,10
3,150.0,3,2,Træna,2.5,1.35400640077266,0.0004132435254360067,10
3,150.0,3,8,Lovund,2.5,1.0801234497346435,0.0005005277519748383,10
3,150.0,3,9,Sleneset,3.3,1.4944341180973264,0.0004027575269827365,10
3,150.0,3,11,Southern 1,6.1,0.9944289260117531,6.808785285453207e-05,10
3,150.0,3,7,Onøy og Lurøy,6.8,3.4896672875473067,0.0001543390080130592,10
3,150.0,3,6,Indre Kvarøy,8.2,1.8737959096740262,2.405505492923429e-05,10
3,150.0,3,5,Hestmannøy,8.4,1.776388345929897,7.195208801767864e-06,10
3,150.0,3,0,Nesøy,10.2,4.685675570881488,1.6216733207427134e-05,10
3,150.0,3,14,Southern 4,10.2,2.440400695696417,-8.77027148569973e-06,10
3,150.0,3,13,Southern 3,10.3,1.70293863659264,-1.9621939768819215e-05,10
3,150.0,3,4,Gjerøy,11.4,2.836272984824353,-3.829687094225539e-05,10
3,150.0,3,12,Southern 2,11.4,1.577621275493231,-3.2630874398967224e-05,10
3,150.0,3,10,Aldra,11.8,2.658320271650252,-5.011617338293882e-05,10
3,150.0,3,15,Southern 5,14.4,0.966091783079296,-0.000157920580671665,10
3,150.0,4,1,Myken,2.1,0.9944289260117533,0.0005594831279253704,10
3,150.0,4,8,Lovund,2.2,1.0327955589886444,0.0005080361006513272,10
3,150.0,4,2,Træna,2.7,0.9486832980505138,0.00040336982626743847,10
3,150.0,4,9,Sleneset,3.2,1.6193277068654828,0.00038852930054186465,10
3,150.0,4,11,Southern 1,5.9,0.8755950357709131,8.107064392214118e-05,10
3,150.0,4,7,Onøy og Lurøy,6.0,1.632993161855452,0.00013128858702473212,10
3,150.0,4,6,Indre Kvarøy,7.9,1.1005049346146123,2.3464305962094064e-05,10
3,150.0,4,5,Hestmannøy,8.6,1.8973665961010278,6.296614238555294e-06,10
3,150.0,4,0,Nesøy,10.8,4.131182235954578,-5.167017848200411e-06,10
3,150.0,4,13,Southern 3,10.8,1.6193277068654826,-2.3563810790203383e-05,10
3,150.0,4,14,Southern 4,10.8,2.14993539954628,-1.3625056791739506e-05,10
3,150.0,4,12,Southern 2,11.2,1.6865480854231354,-3.357709769657038e-05,10
3,150.0,4,4,Gjerøy,11.5,2.5055493963954847,-3.6457436227261975e-05,10
3,150.0,4,10,Aldra,11.7,2.4966644414765344,-4.592465289660156e-05,10
3,150.0,4,15,Southern 5,14.6,0.5163977794943223,-0.00014091390468623692,10
3,150.0,5,1,Myken,2.1,1.1005049346146119,0.0005623524767853944,10
3,150.0,5,8,Lovund,2.1,0.875595035770913,0.0005161881001982183,10
3,150.0,5,2,Træna,2.6,0.9660917830792959,0.0004212855098829029,10
3,150.0,5,9,Sleneset,3.4,1.505545305418162,0.0003522239450492093,10
3,150.0,5,11,Southern 1,5.8,0.7888106377466153,8.097808733423814e-05,10
3,150.0,5,7,Onøy og Lurøy,6.5,2.273030282830976,0.00012560683765455559,10
3,150.0,5,6,Indre Kvarøy,7.7,1.1595018087284057,1.3926915079841673e-05,10
3,150.0,5,5,Hestmannøy,8.6,1.6465452046971296,5.8494606262507605e-06,10
3,150.0,5,13,Southern 3,10.4,1.7126976771553506,-2.0261200698829525e-05,10
3,150.0,5,0,Nesøy,10.5,3.7490739597339973,-5.447690580633729e-06,10
3,150.0,5,14,Southern 4,10.6,2.2211108331943574,-1.5028437714143452e-05,10
3,150.0,5,12,Southern 2,11.3,2.0575065816014617,-3.0507158480498382e-05,10
3,150.0,5,4,Gjerøy,11.6,2.4585451886114367,-3.413331573403779e-05,10
3,150.0,5,10,Aldra,12.1,2.4698178070456946,-4.806680671000904e-05,10
3,150.0,5,15,Southern 5,14.7,0.483045891539648,-0.0001351962414735938,10
3,150.0,6,8,Lovund,2.0,0.9428090415820634,0.0005121184754761424,10
3,150.0,6,1,Myken,2.1,1.1972189997378648,0.0005284881630812808,10
3,150.0,6,2,Træna,2.7,0.6749485577105528,0.0004248984514012384,10
