n_permutations,n_cal_samples,best_n_removed,best_n_islands,best_corr_mean,corr_baseline,avg_gain_over_baseline,n_runs
10,10,0,15,0.15200942615037694,0.15200942615037694,0.0,10
10,20,0,15,0.1521620724200592,0.1521620724200592,0.0,10
10,40,0,15,0.15067052101163272,0.15067052101163272,0.0,10
10,80,0,15,0.15039873629907152,0.15039873629907152,0.0,10
10,150,0,15,0.14937183667277676,0.14937183667277676,0.0,10
20,10,0,15,0.15200942615037694,0.15200942615037694,0.0,10
20,20,0,15,0.1521620724200592,0.1521620724200592,0.0,10
20,40,0,15,0.15067052101163272,0.15067052101163272,0.0,10
20,80,0,15,0.15039873629907152,0.15039873629907152,0.0,10
20,150,6,9,0.14977921387678345,0.14937183667277676,0.000407377204006687,10
40,10,0,15,0.15200942615037694,0.15200942615037694,0.0,10
40,20,0,15,0.1521620724200592,0.1521620724200592,0.0,10
40,40,0,15,0.15067052101163272,0.15067052101163272,0.0,10
40,80,0,15,0.15039873629907152,0.15039873629907152,0.0,10
40,150,0,15,0.14937183667277676,0.14937183667277676,0.0,10
80,10,0,15,0.15200942615037694,0.15200942615037694,0.0,10
80,20,0,15,0.1521620724200592,0.1521620724200592,0.0,10
80,40,0,15,0.15067052101163272,0.15067052101163272,0.0,10
80,80,0,15,0.15039873629907152,0.15039873629907152,0.0,10
80,150,0,15,0.14937183667277676,0.14937183667277676,0.0,10
150,10,0,15,0.15200942615037694,0.15200942615037694,0.0,10
150,20,0,15,0.1521620724200592,0.1521620724200592,0.0,10
150,40,0,15,0.15067052101163272,0.15067052101163272,0.0,10
150,80,0,15,0.15039873629907152,0.15039873629907152,0.0,10
150,150,0,15,0.14937183667277676,0.14937183667277676,0.0,10
