n_removed,n_islands_remaining,n_individuals_remaining,corr_eval,mse_adj,method,order_seed,n_islands,n_individuals,target_island,target_island_name,repeat,split_seed,n_permutations,trait,cal_fraction,n_cal_samples
14,1,151,-0.023842465025859,1.349611520767212,shapley_mean,-1,1,151,5,Hestmannøy,0,1860596299,10,wing,0.0094786729857819,10
13,2,311,0.0128008859719005,1.347780466079712,shapley_mean,-1,2,311,5,Hestmannøy,0,1860596299,10,wing,0.0094786729857819,10
12,3,403,-0.0056632920004763,1.3500521183013916,shapley_mean,-1,3,403,5,Hestmannøy,0,1860596299,10,wing,0.0094786729857819,10
11,4,689,0.05173918619355,1.3397750854492188,shapley_mean,-1,4,689,5,Hestmannøy,0,1860596299,10,wing,0.0094786729857819,10
10,5,1175,0.0730902554751564,1.3384606838226318,shapley_mean,-1,5,1175,5,Hestmannøy,0,1860596299,10,wing,0.0094786729857819,10
9,6,1366,0.0772007429900182,1.3356993198394775,shapley_mean,-1,6,1366,5,Hestmannøy,0,1860596299,10,wing,0.0094786729857819,10
8,7,1715,0.1207635179449322,1.3287103176116943,shapley_mean,-1,7,1715,5,Hestmannøy,0,1860596299,10,wing,0.0094786729857819,10
7,8,2296,0.1181652716853845,1.3264002799987793,shapley_mean,-1,8,2296,5,Hestmannøy,0,1860596299,10,wing,0.0094786729857819,10
6,9,2879,0.1001379027401658,1.328466773033142,shapley_mean,-1,9,2879,5,Hestmannøy,0,1860596299,10,wing,0.0094786729857819,10
5,10,3276,0.0977973672252013,1.328833818435669,shapley_mean,-1,10,3276,5,Hestmannøy,0,1860596299,10,wing,0.0094786729857819,10
4,11,3532,0.1390193134228424,1.309101939201355,shapley_mean,-1,11,3532,5,Hestmannøy,0,1860596299,10,wing,0.0094786729857819,10
3,12,3734,0.1415808537532527,1.3097652196884155,shapley_mean,-1,12,3734,5,Hestmannøy,0,1860596299,10,wing,0.0094786729857819,10
2,13,4287,0.1493448589064276,1.3188587427139282,shapley_mean,-1,13,4287,5,Hestmannøy,0,1860596299,10,wing,0.0094786729857819,10
1,14,4405,0.154681311280288,1.316051721572876,shapley_mean,-1,14,4405,5,Hestmannøy,0,1860596299,10,wing,0.0094786729857819,10
0,15,4578,0.1589875083416715,1.3126864433288574,shapley_mean,-1,15,4578,5,Hestmannøy,0,1860596299,10,wing,0.0094786729857819,10
14,1,151,0.1199454823155863,1.3402109146118164,random_individual,0,1,151,5,Hestmannøy,0,1860596299,10,wing,0.0094786729857819,10
13,2,311,0.1689487945277537,1.3280060291290283,random_individual,0,2,311,5,Hestmannøy,0,1860596299,10,wing,0.0094786729857819,10
12,3,403,0.1607469374121988,1.3273766040802002,random_individual,0,3,403,5,Hestmannøy,0,1860596299,10,wing,0.0094786729857819,10
11,4,689,0.1529320648585404,1.322264313697815,random_individual,0,4,689,5,Hestmannøy,0,1860596299,10,wing,0.0094786729857819,10
10,5,1175,0.1584804672568737,1.3178406953811646,random_individual,0,5,1175,5,Hestmannøy,0,1860596299,10,wing,0.0094786729857819,10
9,6,1366,0.1460285093512491,1.3156193494796753,random_individual,0,6,1366,5,Hestmannøy,0,1860596299,10,wing,0.0094786729857819,10
8,7,1715,0.1502222859606616,1.3112735748291016,random_individual,0,7,1715,5,Hestmannøy,0,1860596299,10,wing,0.0094786729857819,10
7,8,2296,0.149454818997909,1.3096879720687866,random_individual,0,8,2296,5,Hestmannøy,0,1860596299,10,wing,0.0094786729857819,10
6,9,2879,0.1450709842882195,1.3131312131881714,random_individual,0,9,2879,5,Hestmannøy,0,1860596299,10,wing,0.0094786729857819,10
5,10,3276,0.1491310217905609,1.31077778339386,random_individual,0,10,3276,5,Hestmannøy,0,1860596299,10,wing,0.0094786729857819,10
4,11,3532,0.1548705073274729,1.3098751306533811,random_individual,0,11,3532,5,Hestmannøy,0,1860596299,10,wing,0.0094786729857819,10
3,12,3734,0.1517178755785727,1.3137747049331665,random_individual,0,12,3734,5,Hestmannøy,0,1860596299,10,wing,0.0094786729857819,10
2,13,4287,0.1561592762680401,1.3112714290618896,random_individual,0,13,4287,5,Hestmannøy,0,1860596299,10,wing,0.0094786729857819,10
1,14,4405,0.1642181291571159,1.3075227737426758,random_individual,0,14,4405,5,Hestmannøy,0,1860596299,10,wing,0.0094786729857819,10
0,15,4578,0.1589875083416715,1.3126864433288574,random_individual,0,15,4578,5,Hestmannøy,0,1860596299,10,wing,0.0094786729857819,10
14,1,151,0.0829888623988083,1.3426843881607056,random_individual,1,1,151,5,Hestmannøy,0,1860596299,10,wing,0.0094786729857819,10
13,2,311,0.0608529469994072,1.347149133682251,random_individual,1,2,311,5,Hestmannøy,0,1860596299,10,wing,0.0094786729857819,10
12,3,403,0.0979366337031251,1.3395233154296875,random_individual,1,3,403,5,Hestmannøy,0,1860596299,10,wing,0.0094786729857819,10
11,4,689,0.0959015096562837,1.3387376070022583,random_individual,1,4,689,5,Hestmannøy,0,1860596299,10,wing,0.0094786729857819,10
10,5,1175,0.1533027056436983,1.3208630084991455,random_individual,1,5,1175,5,Hestmannøy,0,1860596299,10,wing,0.0094786729857819,10
9,6,1366,0.1281001471420374,1.3230397701263428,random_individual,1,6,1366,5,Hestmannøy,0,1860596299,10,wing,0.0094786729857819,10
8,7,1715,0.1410327705940994,1.320149540901184,random_individual,1,7,1715,5,Hestmannøy,0,1860596299,10,wing,0.0094786729857819,10
7,8,2296,0.1397980580700606,1.3214675188064575,random_individual,1,8,2296,5,Hestmannøy,0,1860596299,10,wing,0.0094786729857819,10
6,9,2879,0.1545759386291205,1.315463304519653,random_individual,1,9,2879,5,Hestmannøy,0,1860596299,10,wing,0.0094786729857819,10
5,10,3276,0.1513667890846187,1.3165998458862305,random_individual,1,10,3276,5,Hestmannøy,0,1860596299,10,wing,0.0094786729857819,10
4,11,3532,0.162104517976473,1.310983419418335,random_individual,1,11,3532,5,Hestmannøy,0,1860596299,10,wing,0.0094786729857819,10
3,12,3734,0.1714909415703616,1.306593418121338,random_individual,1,12,3734,5,Hestmannøy,0,1860596299,10,wing,0.0094786729857819,10
2,13,4287,0.1544374370107739,1.3120810985565186,random_individual,1,13,4287,5,Hestmannøy,0,1860596299,10,wing,0.0094786729857819,10
1,14,4405,0.1558388582345064,1.3118866682052612,random_individual,1,14,4405,5,Hestmannøy,0,1860596299,10,wing,0.0094786729857819,10
0,15,4578,0.1589875083416715,1.3126864433288574,random_individual,1,15,4578,5,Hestmannøy,0,1860596299,10,wing,0.0094786729857819,10
14,1,151,0.0020184299531496,1.3527559041976929,random_individual,2,1,151,5,Hestmannøy,0,1860596299,10,wing,0.0094786729857819,10
13,2,311,0.0446241406157866,1.3411920070648191,random_individual,2,2,311,5,Hestmannøy,0,1860596299,10,wing,0.0094786729857819,10
12,3,403,0.0327622524126219,1.3448071479797363,random_individual,2,3,403,5,Hestmannøy,0,1860596299,10,wing,0.0094786729857819,10
