target_island,source_island,source_island_name,phi,phi_per_individual,n_island,rank_full,rank_mean
4,0,Nesøy,0.07499433766343311,0.0006302045181801101,119,1,2
4,1,Myken,0.06719182284179316,0.0007303459004542735,92,2,1
4,6,Indre Kvarøy,0.05358913539186217,0.00015053127919062407,356,3,4
4,7,Onøy og Lurøy,0.04931008015384779,0.00019038640986041616,259,4,3
4,12,Southern 2,0.04288342815174669,0.0001080187107096894,397,5,6
4,2,Træna,0.03884810284642349,0.00013304144810419004,292,6,5
4,11,Southern 1,0.032418165183673756,5.5605772184689116e-05,583,7,8
4,14,Southern 4,0.028832320755277453,5.932576287094126e-05,486,8,7
4,8,Lovund,-0.0015910480129131333,-1.0069924132361602e-05,158,9,9
4,10,Aldra,-0.012708295330211183,-7.345835450989122e-05,173,10,11
4,9,Sleneset,-0.016342937461884782,-9.845143049328182e-05,166,11,12
4,5,Hestmannøy,-0.027467905304336827,-2.548043163667609e-05,1078,12,10
4,15,Southern 5,-0.03629914407323294,-0.00017969873303580664,202,13,14
4,3,Selvær,-0.059049505512279596,-0.0003043788943931938,194,14,15
4,13,Southern 3,-0.06874943727213804,-0.00011772163916461993,584,15,13
