permutation_index,source_island,phi_running,rank_running,source_island_name,target_island
1,0,0.24006875063591968,1,Nesøy,4
1,1,-0.037544746492945535,13,Myken,4
1,2,0.015972078862927314,4,Træna,4
1,3,0.0049719443765880444,7,Selvær,4
1,5,0.12840141020726709,2,Hestmannøy,4
1,6,0.05871252159504248,3,Indre Kvarøy,4
1,7,-0.05336918339846111,15,Onøy og Lurøy,4
1,8,0.01235748104147405,5,Lovund,4
1,9,-0.0019695719698962777,8,Sleneset,4
1,10,-0.04835763971678875,14,Aldra,4
1,11,0.007517528470787932,6,Southern 1,4
1,12,-0.026043529814343283,12,Southern 2,4
1,13,-0.016152765277647557,10,Southern 3,4
1,14,-0.005279120605777954,9,Southern 4,4
1,15,-0.02488547972308494,11,Southern 5,4
2,0,0.15175028327309031,1,Nesøy,4
2,1,-0.0286928092030989,13,Myken,4
2,2,0.02121376484532317,4,Træna,4
2,3,0.007787641935111857,7,Selvær,4
2,5,0.10233228707420931,3,Hestmannøy,4
2,6,0.14013619896468993,2,Indre Kvarøy,4
2,7,-0.04133567544665373,15,Onøy og Lurøy,4
2,8,0.012893869203599015,6,Lovund,4
2,9,-0.002504601798015413,8,Sleneset,4
2,10,-0.03761422436544391,14,Aldra,4
2,11,0.013852181481905562,5,Southern 1,4
2,12,-0.022860318584642235,11,Southern 2,4
2,13,-0.02538429550835089,12,Southern 3,4
2,14,-0.015996224007282005,9,Southern 4,4
2,15,-0.0211783996733809,10,Southern 5,4
3,0,0.1059788957421231,3,Nesøy,4
3,1,-0.025382228469809892,12,Myken,4
3,2,0.05235474212984146,4,Træna,4
3,3,0.005375558318664123,7,Selvær,4
3,5,0.10997447777321416,2,Hestmannøy,4
3,6,0.1343493549333657,1,Indre Kvarøy,4
3,7,-0.03883804062308347,15,Onøy og Lurøy,4
3,8,0.027483308346445353,5,Lovund,4
3,9,-0.0007669484725869961,8,Sleneset,4
3,10,-0.035451818277634745,14,Aldra,4
3,11,0.019308956427397658,6,Southern 1,4
