n_removed,n_islands_remaining,n_individuals_remaining,corr_eval,mse_adj,method,order_seed,n_islands,n_individuals,target_island
14,1,158,0.050630557013554324,1.4995445013046265,shapley_mean,-1,1,158,4
13,2,450,0.017221963598976632,1.5040640830993652,shapley_mean,-1,2,450,4
12,3,652,-0.025496770368688065,1.5073301792144775,shapley_mean,-1,3,652,4
11,4,1235,0.029737887832711172,1.5021744966506958,shapley_mean,-1,4,1235,4
10,5,2313,0.09360933904399185,1.4917742013931274,shapley_mean,-1,5,2313,4
9,6,2405,0.09855244014362953,1.4908965826034546,shapley_mean,-1,6,2405,4
8,7,2891,0.10466582410925986,1.4895159006118774,shapley_mean,-1,7,2891,4
7,8,3288,0.10899527968723736,1.4875308275222778,shapley_mean,-1,8,3288,4
6,9,3454,0.10028061202418485,1.49240243434906,shapley_mean,-1,9,3454,4
5,10,3810,0.13830860536726905,1.4793298244476318,shapley_mean,-1,10,3810,4
4,11,4394,0.11477850565509658,1.4862524271011353,shapley_mean,-1,11,4394,4
3,12,4513,0.12088943363163346,1.4849804639816284,shapley_mean,-1,12,4513,4
2,13,4707,0.10573121793001135,1.4916964769363403,shapley_mean,-1,13,4707,4
1,14,4966,0.10662567581577995,1.4886630773544312,shapley_mean,-1,14,4966,4
0,15,5139,0.10400498229760771,1.485512375831604,shapley_mean,-1,15,5139,4
