n_islands,n_individuals,corr_eval,mse_adj,method,order_seed,target_island
1,356,0.10774122502422456,1.3610057830810547,shapley_mean,-1,4
2,448,0.12406557678390187,1.3521571159362793,shapley_mean,-1,4
3,934,0.11738204722707964,1.3475278615951538,shapley_mean,-1,4
4,1136,0.10237489974162378,1.3500638008117676,shapley_mean,-1,4
5,1719,0.133748938740104,1.343870997428894,shapley_mean,-1,4
6,2797,0.16202303382710728,1.3257603645324707,shapley_mean,-1,4
7,3194,0.1600406568527303,1.3265849351882935,shapley_mean,-1,4
8,3352,0.17159702832539192,1.3235970735549927,shapley_mean,-1,4
9,3644,0.17786670840238056,1.3232479095458984,shapley_mean,-1,4
10,4228,0.15438297912413046,1.3298217058181763,shapley_mean,-1,4
11,4394,0.14907945946923615,1.3329105377197266,shapley_mean,-1,4
12,4653,0.14793539642797723,1.3323944807052612,shapley_mean,-1,4
13,4826,0.13480346630646123,1.3329139947891235,shapley_mean,-1,4
14,4945,0.13886790942043784,1.3305907249450684,shapley_mean,-1,4
15,5139,0.12662113366745847,1.3362621068954468,shapley_mean,-1,4
