repeat,split_seed,source_island,source_island_name,n_island,phi,phi_per_individual,method,weight
0,14392265,0,Nesøy,119,0.07499433766343311,0.0006302045181801101,relu,0.9999999999999998
0,14392265,1,Myken,92,0.06719182284179316,0.0007303459004542735,relu,0.9999999999999998
0,14392265,2,Træna,292,0.03884810284642349,0.00013304144810419004,relu,0.9999999999999998
0,14392265,3,Selvær,194,-0.059049505512279596,-0.0003043788943931938,relu,0.9999999999999998
0,14392265,5,Hestmannøy,1078,-0.027467905304336827,-2.548043163667609e-05,relu,0.9999999999999998
0,14392265,6,Indre Kvarøy,356,0.05358913539186217,0.00015053127919062407,relu,0.9999999999999998
0,14392265,7,Onøy og Lurøy,259,0.04931008015384779,0.00019038640986041616,relu,0.9999999999999998
0,14392265,8,Lovund,158,-0.0015910480129131333,-1.0069924132361602e-05,relu,0.9999999999999998
0,14392265,9,Sleneset,166,-0.016342937461884782,-9.845143049328182e-05,relu,0.9999999999999998
0,14392265,10,Aldra,173,-0.012708295330211183,-7.345835450989122e-05,relu,0.9999999999999998
0,14392265,11,Southern 1,583,0.032418165183673756,5.5605772184689116e-05,relu,0.9999999999999998
0,14392265,12,Southern 2,397,0.04288342815174669,0.0001080187107096894,relu,0.9999999999999998
0,14392265,13,Southern 3,584,-0.06874943727213804,-0.00011772163916461993,relu,0.9999999999999998
0,14392265,14,Southern 4,486,0.028832320755277453,5.932576287094126e-05,relu,0.9999999999999998
0,14392265,15,Southern 5,202,-0.03629914407323294,-0.00017969873303580664,relu,0.9999999999999998
0,14392265,0,Nesøy,119,0.07499433766343311,0.0006302045181801101,softmax,1.0010944372510011
0,14392265,1,Myken,92,0.06719182284179316,0.0007303459004542735,softmax,1.001294959292352
0,14392265,2,Træna,292,0.03884810284642349,0.00013304144810419004,softmax,1.0000995176025607
0,14392265,3,Selvær,194,-0.059049505512279596,-0.0003043788943931938,softmax,0.9992249724551338
0,14392265,5,Hestmannøy,1078,-0.027467905304336827,-2.548043163667609e-05,softmax,0.9997824925497069
0,14392265,6,Indre Kvarøy,356,0.05358913539186217,0.00015053127919062407,softmax,1.0001345013576821
0,14392265,7,Onøy og Lurøy,259,0.04931008015384779,0.00019038640986041616,softmax,1.0002142255175346
0,14392265,8,Lovund,158,-0.0015910480129131333,-1.0069924132361602e-05,softmax,0.9998133073357843
0,14392265,9,Sleneset,166,-0.016342937461884782,-9.845143049328182e-05,softmax,0.9996365929421646
0,14392265,10,Aldra,173,-0.012708295330211183,-7.345835450989122e-05,softmax,0.9996865621776855
0,14392265,11,Southern 1,583,0.032418165183673756,5.5605772184689116e-05,softmax,0.9999446428314382
0,14392265,12,Southern 2,397,0.04288342815174669,0.0001080187107096894,softmax,1.0000494683997447
0,14392265,13,Southern 3,584,-0.06874943727213804,-0.00011772163916461993,softmax,0.9995980672730841
0,14392265,14,Southern 4,486,0.028832320755277453,5.932576287094126e-05,softmax,0.9999520824286297
0,14392265,15,Southern 5,202,-0.03629914407323294,-0.00017969873303580664,softmax,0.9994741705855016
0,14392265,0,Nesøy,119,0.07499433766343311,0.0006302045181801101,minmax,2.3899862366651807
0,14392265,1,Myken,92,0.06719182284179316,0.0007303459004542735,minmax,2.646075230045538
0,14392265,2,Træna,292,0.03884810284642349,0.00013304144810419004,minmax,1.1186038443883881
0,14392265,3,Selvær,194,-0.059049505512279596,-0.0003043788943931938,minmax,0.1323037615022769
0,14392265,5,Hestmannøy,1078,-0.027467905304336827,-2.548043163667609e-05,minmax,0.7132198993130235
0,14392265,6,Indre Kvarøy,356,0.05358913539186217,0.00015053127919062407,minmax,1.1633301417052662
0,14392265,7,Onøy og Lurøy,259,0.04931008015384779,0.00019038640986041616,minmax,1.2652506471195692
0,14392265,8,Lovund,158,-0.0015910480129131333,-1.0069924132361602e-05,minmax,0.7526287956617463
0,14392265,9,Sleneset,166,-0.016342937461884782,-9.845143049328182e-05,minmax,0.5266130319144228
0,14392265,10,Aldra,173,-0.012708295330211183,-7.345835450989122e-05,minmax,0.5905271853314623
0,14392265,11,Southern 1,583,0.032418165183673756,5.5605772184689116e-05,minmax,0.9205795726276726
0,14392265,12,Southern 2,397,0.04288342815174669,0.0001080187107096894,minmax,1.054613838604016
0,14392265,13,Southern 3,584,-0.06874943727213804,-0.00011772163916461993,minmax,0.47733382057537943
0,14392265,14,Southern 4,486,0.028832320755277453,5.932576287094126e-05,minmax,0.930092609581951
0,14392265,15,Southern 5,202,-0.03629914407323294,-0.00017969873303580664,minmax,0.3188413849641022
0,14392265,0,Nesøy,119,0.07499433766343311,0.0006302045181801101,rank,2.2602418384337284
0,14392265,1,Myken,92,0.06719182284179316,0.0007303459004542735,rank,4.520483676867457
0,14392265,2,Træna,292,0.03884810284642349,0.00013304144810419004,rank,0.9040967353734914
0,14392265,3,Selvær,194,-0.059049505512279596,-0.0003043788943931938,rank,0.30136557845783046
0,14392265,5,Hestmannøy,1078,-0.027467905304336827,-2.548043163667609e-05,rank,0.4520483676867457
0,14392265,6,Indre Kvarøy,356,0.05358913539186217,0.00015053127919062407,rank,1.1301209192168642
0,14392265,7,Onøy og Lurøy,259,0.04931008015384779,0.00019038640986041616,rank,1.5068278922891523
0,14392265,8,Lovund,158,-0.0015910480129131333,-1.0069924132361602e-05,rank,0.5022759640963841
0,14392265,9,Sleneset,166,-0.016342937461884782,-9.845143049328182e-05,rank,0.37670697307228806
0,14392265,10,Aldra,173,-0.012708295330211183,-7.345835450989122e-05,rank,0.4109530615334052
0,14392265,11,Southern 1,583,0.032418165183673756,5.5605772184689116e-05,rank,0.5650604596084321
0,14392265,12,Southern 2,397,0.04288342815174669,0.0001080187107096894,rank,0.7534139461445761
0,14392265,13,Southern 3,584,-0.06874943727213804,-0.00011772163916461993,rank,0.34772951360518906
0,14392265,14,Southern 4,486,0.028832320755277453,5.932576287094126e-05,rank,0.6457833824096367
0,14392265,15,Southern 5,202,-0.03629914407323294,-0.00017969873303580664,rank,0.32289169120481837
0,14392265,0,Nesøy,119,0.07499433766343311,0.0006302045181801101,shifted_relu,0.9999999999999998
0,14392265,1,Myken,92,0.06719182284179316,0.0007303459004542735,shifted_relu,0.9999999999999998
0,14392265,2,Træna,292,0.03884810284642349,0.00013304144810419004,shifted_relu,0.9999999999999998
0,14392265,3,Selvær,194,-0.059049505512279596,-0.0003043788943931938,shifted_relu,0.9999999999999998
0,14392265,5,Hestmannøy,1078,-0.027467905304336827,-2.548043163667609e-05,shifted_relu,0.9999999999999998
0,14392265,6,Indre Kvarøy,356,0.05358913539186217,0.00015053127919062407,shifted_relu,0.9999999999999998
0,14392265,7,Onøy og Lurøy,259,0.04931008015384779,0.00019038640986041616,shifted_relu,0.9999999999999998
0,14392265,8,Lovund,158,-0.0015910480129131333,-1.0069924132361602e-05,shifted_relu,0.9999999999999998
0,14392265,9,Sleneset,166,-0.016342937461884782,-9.845143049328182e-05,shifted_relu,0.9999999999999998
0,14392265,10,Aldra,173,-0.012708295330211183,-7.345835450989122e-05,shifted_relu,0.9999999999999998
0,14392265,11,Southern 1,583,0.032418165183673756,5.5605772184689116e-05,shifted_relu,0.9999999999999998
0,14392265,12,Southern 2,397,0.04288342815174669,0.0001080187107096894,shifted_relu,0.9999999999999998
0,14392265,13,Southern 3,584,-0.06874943727213804,-0.00011772163916461993,shifted_relu,0.9999999999999998
0,14392265,14,Southern 4,486,0.028832320755277453,5.932576287094126e-05,shifted_relu,0.9999999999999998
0,14392265,15,Southern 5,202,-0.03629914407323294,-0.00017969873303580664,shifted_relu,0.9999999999999998
1,581145443,0,Nesøy,119,-0.004156773193088468,-3.4930867168810655e-05,relu,0.9999999999999998
1,581145443,1,Myken,92,0.03653030895991429,0.0003970685756512423,relu,0.9999999999999998
1,581145443,2,Træna,292,-0.0066638172576501155,-2.282129197825382e-05,relu,0.9999999999999998
1,581145443,3,Selvær,194,-0.03953696396333534,-0.00020379878331616157,relu,0.9999999999999998
1,581145443,5,Hestmannøy,1078,-0.047769855067903634,-4.4313409153899476e-05,relu,0.9999999999999998
1,581145443,6,Indre Kvarøy,356,0.07057756998003631,0.0001982516010675177,relu,0.9999999999999998
1,581145443,7,Onøy og Lurøy,259,0.014083323313262912,5.437576568827379e-05,relu,0.9999999999999998
1,581145443,8,Lovund,158,0.03679643326812806,0.00023288881815270923,relu,0.9999999999999998
1,581145443,9,Sleneset,166,-0.006539845811497888,-3.939666151504752e-05,relu,0.9999999999999998
1,581145443,10,Aldra,173,-0.06607511343985588,-0.0003819370719066814,relu,0.9999999999999998
1,581145443,11,Southern 1,583,0.08365966789986398,0.00014349857272703942,relu,0.9999999999999998
1,581145443,12,Southern 2,397,0.010750059544084927,2.7078235627417955e-05,relu,0.9999999999999998
1,581145443,13,Southern 3,584,-0.07384422181005583,-0.00012644558529119148,relu,0.9999999999999998
1,581145443,14,Southern 4,486,-0.029711669522660765,-6.113512247461063e-05,relu,0.9999999999999998
1,581145443,15,Southern 5,202,-0.006559270369999027,-3.247163549504469e-05,relu,0.9999999999999998
1,581145443,0,Nesøy,119,-0.004156773193088468,-3.4930867168810655e-05,softmax,0.9999159552200135
1,581145443,1,Myken,92,0.03653030895991429,0.0003970685756512423,softmax,1.0007802548142342
1,581145443,2,Træna,292,-0.0066638172576501155,-2.282129197825382e-05,softmax,0.9999401726281629
1,581145443,3,Selvær,194,-0.03953696396333534,-0.00020379878331616157,softmax,0.999578304794186
1,581145443,5,Hestmannøy,1078,-0.047769855067903634,-4.4313409153899476e-05,softmax,0.999897191889199
1,581145443,6,Indre Kvarøy,356,0.07057756998003631,0.0001982516010675177,softmax,1.000382389716841
1,581145443,7,Onøy og Lurøy,259,0.014083323313262912,5.437576568827379e-05,softmax,1.0000945694251735
1,581145443,8,Lovund,158,0.03679643326812806,0.00023288881815270923,softmax,1.0004516930412892
1,581145443,9,Sleneset,166,-0.006539845811497888,-3.939666151504752e-05,softmax,0.9999070244218576
1,581145443,10,Aldra,173,-0.06607511343985588,-0.0003819370719066814,softmax,0.9992222418893322
1,581145443,11,Southern 1,583,0.08365966789986398,0.00014349857272703942,softmax,1.000272847784032
1,581145443,12,Southern 2,397,0.010750059544084927,2.7078235627417955e-05,softmax,1.0000399706924525
1,581145443,13,Southern 3,584,-0.07384422181005583,-0.00012644558529119148,softmax,0.9997329579138952
1,581145443,14,Southern 4,486,-0.029711669522660765,-6.113512247461063e-05,softmax,0.9998635524872502
1,581145443,15,Southern 5,202,-0.006559270369999027,-3.247163549504469e-05,softmax,0.9999208732820845
1,581145443,0,Nesøy,119,-0.004156773193088468,-3.4930867168810655e-05,minmax,0.8861365638275966
1,581145443,1,Myken,92,0.03653030895991429,0.0003970685756512423,minmax,1.9893171312332254
1,581145443,2,Træna,292,-0.0066638172576501155,-2.282129197825382e-05,minmax,0.9170603260031981
1,581145443,3,Selvær,194,-0.03953696396333534,-0.00020379878331616157,minmax,0.45490498089789466
1,581145443,5,Hestmannøy,1078,-0.047769855067903634,-4.4313409153899476e-05,minmax,0.8621767227610216
1,581145443,6,Indre Kvarøy,356,0.07057756998003631,0.0001982516010675177,minmax,1.4816057754051466
1,581145443,7,Onøy og Lurøy,259,0.014083323313262912,5.437576568827379e-05,minmax,1.1141955197957485
1,581145443,8,Lovund,158,0.03679643326812806,0.00023288881815270923,minmax,1.5700575209628604
1,581145443,9,Sleneset,166,-0.006539845811497888,-3.939666151504752e-05,minmax,0.8747324344411369
1,581145443,10,Aldra,173,-0.06607511343985588,-0.0003819370719066814,minmax,0.09946585656166128
1,581145443,11,Southern 1,583,0.08365966789986398,0.00014349857272703942,minmax,1.3417850467543793
1,581145443,12,Southern 2,397,0.010750059544084927,2.7078235627417955e-05,minmax,1.0444868541902443
1,581145443,13,Southern 3,584,-0.07384422181005583,-0.00012644558529119148,minmax,0.6524389043927269
1,581145443,14,Southern 4,486,-0.029711669522660765,-6.113512247461063e-05,minmax,0.8192197524354676
1,581145443,15,Southern 5,202,-0.006559270369999027,-3.247163549504469e-05,minmax,0.8924166103376963
1,581145443,0,Nesøy,119,-0.004156773193088468,-3.4930867168810655e-05,rank,0.5022759640963841
1,581145443,1,Myken,92,0.03653030895991429,0.0003970685756512423,rank,4.520483676867457
1,581145443,2,Træna,292,-0.0066638172576501155,-2.282129197825382e-05,rank,0.6457833824096367
1,581145443,3,Selvær,194,-0.03953696396333534,-0.00020379878331616157,rank,0.32289169120481837
1,581145443,5,Hestmannøy,1078,-0.047769855067903634,-4.4313409153899476e-05,rank,0.4109530615334052
1,581145443,6,Indre Kvarøy,356,0.07057756998003631,0.0001982516010675177,rank,1.5068278922891523
1,581145443,7,Onøy og Lurøy,259,0.014083323313262912,5.437576568827379e-05,rank,0.9040967353734914
1,581145443,8,Lovund,158,0.03679643326812806,0.00023288881815270923,rank,2.2602418384337284
1,581145443,9,Sleneset,166,-0.006539845811497888,-3.939666151504752e-05,rank,0.4520483676867457
1,581145443,10,Aldra,173,-0.06607511343985588,-0.0003819370719066814,rank,0.30136557845783046
1,581145443,11,Southern 1,583,0.08365966789986398,0.00014349857272703942,rank,1.1301209192168642
1,581145443,12,Southern 2,397,0.010750059544084927,2.7078235627417955e-05,rank,0.7534139461445761
1,581145443,13,Southern 3,584,-0.07384422181005583,-0.00012644558529119148,rank,0.34772951360518906
1,581145443,14,Southern 4,486,-0.029711669522660765,-6.113512247461063e-05,rank,0.37670697307228806
1,581145443,15,Southern 5,202,-0.006559270369999027,-3.247163549504469e-05,rank,0.5650604596084321
1,581145443,0,Nesøy,119,-0.004156773193088468,-3.4930867168810655e-05,shifted_relu,0.9999999999999998
1,581145443,1,Myken,92,0.03653030895991429,0.0003970685756512423,shifted_relu,0.9999999999999998
1,581145443,2,Træna,292,-0.0066638172576501155,-2.282129197825382e-05,shifted_relu,0.9999999999999998
