method,source_island,source_island_name,n_island,phi_mean,phi_per_ind_mean,weight_mean,weight_std
minmax,0,Nesøy,119,0.020286016225658204,0.00017047072458536305,1.5539673903664122,1.1665597274185167
minmax,1,Myken,92,0.0171562868765179,0.0001864813790925859,1.3787143810699243,0.7284770404102093
minmax,2,Træna,292,0.01634044469248169,5.596042702904688e-05,1.1195891486290477,0.2595731525536673
minmax,3,Selvær,194,-0.040297891958346245,-0.00020772109256879506,0.3604037071986482,0.285272471208349
minmax,5,Hestmannøy,1078,0.07423108413542563,6.886000383620188e-05,1.0983408371505972,0.4189465763873828
minmax,6,Indre Kvarøy,356,0.04275792849777414,0.00012010654072408465,1.29951092424341,0.28871040012571364
minmax,7,Onøy og Lurøy,259,-0.018942200039266367,-7.313590748751494e-05,0.7049035409515083,0.37558987357468365
minmax,8,Lovund,158,0.03313827618314995,0.00020973592520980976,1.6028589702168001,0.5251743831916692
minmax,9,Sleneset,166,-0.006861371490334556,-4.133356319478648e-05,0.9036567014298283,0.5231428703457237
minmax,10,Aldra,173,-0.03812386132129615,-0.00022036914058552688,0.5392379732745518,0.7139621233013747
minmax,11,Southern 1,583,0.04928639950648077,8.453927874181949e-05,1.1605986348208615,0.30591573077192147
minmax,12,Southern 2,397,0.0016141420657166596,4.06584903203189e-06,0.8939781910177593,0.3693694205330683
minmax,13,Southern 3,584,-0.046492386802780325,-7.961025137462385e-05,0.679304469848576,0.189185281318539
minmax,14,Southern 4,486,0.000557675222777887,1.1474798822590262e-06,0.8841727915273194,0.3125918193931596
minmax,15,Southern 5,202,-0.0006242707281188185,-3.090449149103064e-06,0.8207623382547554,0.48777108643948935
rank,0,Nesøy,119,0.020286016225658204,0.00017047072458536305,1.7782250072548185,1.6787240409622033
rank,1,Myken,92,0.0171562868765179,0.0001864813790925859,2.240150799869873,1.751528143455821
rank,2,Træna,292,0.01634044469248169,5.596042702904688e-05,0.8470249390135287,0.5390692969483761
rank,3,Selvær,194,-0.040297891958346245,-0.00020772109256879506,0.3641224763894336,0.10849872138066194
rank,5,Hestmannøy,1078,0.07423108413542563,6.886000383620188e-05,0.9799649928873506,0.5799249496135128
rank,6,Indre Kvarøy,356,0.04275792849777414,0.00012010654072408465,1.443325859685538,1.193502223927525
rank,7,Onøy og Lurøy,259,-0.018942200039266367,-7.313590748751494e-05,0.5620272346304473,0.37877644209180833
rank,8,Lovund,158,0.03313827618314995,0.00020973592520980976,1.8923246947331271,1.4774994103370294
rank,9,Sleneset,166,-0.006861371490334556,-4.133356319478648e-05,0.6221372737102939,0.3862735682138907
rank,10,Aldra,173,-0.03812386132129615,-0.00022036914058552688,0.7556794566120039,1.3233409368013782
rank,11,Southern 1,583,0.04928639950648077,8.453927874181949e-05,0.881494316989154,0.2945924533545955
rank,12,Southern 2,397,0.0016141420657166596,4.06584903203189e-06,0.5648973829967125,0.1615070563629831
rank,13,Southern 3,584,-0.046492386802780325,-7.961025137462385e-05,0.4288576190647431,0.07144644806617748
rank,14,Southern 4,486,0.000557675222777887,1.1474798822590262e-06,0.6299975663951789,0.32701205726947696
rank,15,Southern 5,202,-0.0006242707281188185,-3.090449149103064e-06,1.0097703797677955,1.2951735257060446
relu,0,Nesøy,119,0.020286016225658204,0.00017047072458536305,0.9999999999999998,0.0
relu,1,Myken,92,0.0171562868765179,0.0001864813790925859,0.9999999999999998,0.0
relu,2,Træna,292,0.01634044469248169,5.596042702904688e-05,0.9999999999999998,0.0
relu,3,Selvær,194,-0.040297891958346245,-0.00020772109256879506,0.9999999999999998,0.0
relu,5,Hestmannøy,1078,0.07423108413542563,6.886000383620188e-05,0.9999999999999998,0.0
relu,6,Indre Kvarøy,356,0.04275792849777414,0.00012010654072408465,0.9999999999999998,0.0
relu,7,Onøy og Lurøy,259,-0.018942200039266367,-7.313590748751494e-05,0.9999999999999998,0.0
relu,8,Lovund,158,0.03313827618314995,0.00020973592520980976,0.9999999999999998,0.0
relu,9,Sleneset,166,-0.006861371490334556,-4.133356319478648e-05,0.9999999999999998,0.0
relu,10,Aldra,173,-0.03812386132129615,-0.00022036914058552688,0.9999999999999998,0.0
relu,11,Southern 1,583,0.04928639950648077,8.453927874181949e-05,0.9999999999999998,0.0
relu,12,Southern 2,397,0.0016141420657166596,4.06584903203189e-06,0.9999999999999998,0.0
relu,13,Southern 3,584,-0.046492386802780325,-7.961025137462385e-05,0.9999999999999998,0.0
relu,14,Southern 4,486,0.000557675222777887,1.1474798822590262e-06,0.9999999999999998,0.0
relu,15,Southern 5,202,-0.0006242707281188185,-3.090449149103064e-06,0.9999999999999998,0.0
shifted_relu,0,Nesøy,119,0.020286016225658204,0.00017047072458536305,0.9999999999999998,0.0
shifted_relu,1,Myken,92,0.0171562868765179,0.0001864813790925859,0.9999999999999998,0.0
shifted_relu,2,Træna,292,0.01634044469248169,5.596042702904688e-05,0.9999999999999998,0.0
shifted_relu,3,Selvær,194,-0.040297891958346245,-0.00020772109256879506,0.9999999999999998,0.0
shifted_relu,5,Hestmannøy,1078,0.07423108413542563,6.886000383620188e-05,0.9999999999999998,0.0
shifted_relu,6,Indre Kvarøy,356,0.04275792849777414,0.00012010654072408465,0.9999999999999998,0.0
shifted_relu,7,Onøy og Lurøy,259,-0.018942200039266367,-7.313590748751494e-05,0.9999999999999998,0.0
shifted_relu,8,Lovund,158,0.03313827618314995,0.00020973592520980976,0.9999999999999998,0.0
shifted_relu,9,Sleneset,166,-0.006861371490334556,-4.133356319478648e-05,0.9999999999999998,0.0
shifted_relu,10,Aldra,173,-0.03812386132129615,-0.00022036914058552688,0.9999999999999998,0.0
shifted_relu,11,Southern 1,583,0.04928639950648077,8.453927874181949e-05,0.9999999999999998,0.0
shifted_relu,12,Southern 2,397,0.0016141420657166596,4.06584903203189e-06,0.9999999999999998,0.0
shifted_relu,13,Southern 3,584,-0.046492386802780325,-7.961025137462385e-05,0.9999999999999998,0.0
shifted_relu,14,Southern 4,486,0.000557675222777887,1.1474798822590262e-06,0.9999999999999998,0.0
shifted_relu,15,Southern 5,202,-0.0006242707281188185,-3.090449149103064e-06,0.9999999999999998,0.0
softmax,0,Nesøy,119,0.020286016225658204,0.00017047072458536305,1.0003042839897391,0.0006534166984973809
softmax,1,Myken,92,0.0171562868765179,0.0001864813790925859,1.0003362438484662,0.0005172030815046204
softmax,2,Træna,292,0.01634044469248169,5.596042702904688e-05,1.000075045004206,0.00019465918864856017
softmax,3,Selvær,194,-0.040297891958346245,-0.00020772109256879506,0.9995477895936536,0.00023660391448674945
softmax,5,Hestmannøy,1078,0.07423108413542563,6.886000383620188e-05,1.0001008537026814,0.0002325102195438813
softmax,6,Indre Kvarøy,356,0.04275792849777414,0.00012010654072408465,1.0002033524580831,0.00017902545790029562
softmax,7,Onøy og Lurøy,259,-0.018942200039266367,-7.313590748751494e-05,0.9998168775289897,0.0002506757614163067
softmax,8,Lovund,158,0.03313827618314995,0.00020973592520980976,1.0003826936505475,0.0003138937448778754
softmax,9,Sleneset,166,-0.006861371490334556,-4.133356319478648e-05,0.999880497652079,0.00034424573640631594
softmax,10,Aldra,173,-0.03812386132129615,-0.00022036914058552688,0.9995226119864183,0.0005413005553418256
softmax,11,Southern 1,583,0.04928639950648077,8.453927874181949e-05,1.000132203999254,0.00016613239213943007
softmax,12,Southern 2,397,0.0016141420657166596,4.06584903203189e-06,0.9999712476430214,0.00015806749473506367
softmax,13,Southern 3,584,-0.046492386802780325,-7.961025137462385e-05,0.9998039088083557,0.00011346409369010083
softmax,14,Southern 4,486,0.000557675222777887,1.1474798822590262e-06,0.9999654094599906,0.00014617364479564216
softmax,15,Southern 5,202,-0.0006242707281188185,-3.090449149103064e-06,0.9999569806745152,0.00035390054456652445
