repeat,split_seed,method,corr_eval,mse_adj,gain_over_v_full,alpha,v_full
0,14392265,unweighted,0.06842950686502855,1.4438421726226807,-0.09742961315603255,100000.0,0.1658591200210611
0,14392265,relu,0.06842950686502855,1.4438421726226807,-0.09742961315603255,100000.0,0.1658591200210611
0,14392265,softmax,0.06843380463549154,1.4438403844833374,-0.09742531538556956,100000.0,0.1658591200210611
0,14392265,minmax,0.0730155888736423,1.4425649642944336,-0.09284353114741879,100000.0,0.1658591200210611
0,14392265,rank,0.05237811702109444,1.4489328861236572,-0.11348100299996666,100000.0,0.1658591200210611
0,14392265,shifted_relu,0.06842950686502855,1.4438421726226807,-0.09742961315603255,100000.0,0.1658591200210611
1,581145443,unweighted,0.11515759519204029,1.4404751062393188,0.14361776266279677,100000.0,-0.028460167470756487
1,581145443,relu,0.11515759519204029,1.4404751062393188,0.14361776266279677,100000.0,-0.028460167470756487
1,581145443,softmax,0.11517535168131156,1.44046950340271,0.14363551915206804,100000.0,-0.028460167470756487
1,581145443,minmax,0.13512201290904818,1.4352623224258423,0.16358218037980468,100000.0,-0.028460167470756487
1,581145443,rank,0.11991598918261649,1.4408694505691528,0.14837615665337298,100000.0,-0.028460167470756487
1,581145443,shifted_relu,0.11515759519204029,1.4404751062393188,0.14361776266279677,100000.0,-0.028460167470756487
2,1198679252,unweighted,0.03180259192872559,1.4743362665176392,-0.2225970862623356,100000.0,0.2543996781910612
2,1198679252,relu,0.03180259192872559,1.4743362665176392,-0.2225970862623356,100000.0,0.2543996781910612
2,1198679252,softmax,0.03181094132570568,1.4743361473083496,-0.22258873686535552,100000.0,0.2543996781910612
2,1198679252,minmax,0.04656377382475669,1.475462794303894,-0.2078359043663045,100000.0,0.2543996781910612
2,1198679252,rank,0.05042929479718001,1.474095106124878,-0.20397038339388118,100000.0,0.2543996781910612
2,1198679252,shifted_relu,0.03180259192872559,1.4743362665176392,-0.2225970862623356,100000.0,0.2543996781910612
3,835124100,unweighted,0.10400504728440814,1.485512375831604,0.0932124411263626,100000.0,0.010792606158045538
3,835124100,relu,0.10400504728440814,1.485512375831604,0.0932124411263626,100000.0,0.010792606158045538
3,835124100,softmax,0.10401611092700398,1.48551344871521,0.09322350476895844,100000.0,0.010792606158045538
3,835124100,minmax,0.10879842168731066,1.4898483753204346,0.09800581552926513,100000.0,0.010792606158045538
3,835124100,rank,0.09828290023103893,1.4931408166885376,0.08749029407299339,100000.0,0.010792606158045538
3,835124100,shifted_relu,0.10400504728440814,1.485512375831604,0.0932124411263626,100000.0,0.010792606158045538
4,1317123924,unweighted,0.10997263801283774,1.533318042755127,0.10420042052459769,100000.0,0.005772217488240049
4,1317123924,relu,0.10997263801283774,1.533318042755127,0.10420042052459769,100000.0,0.005772217488240049
4,1317123924,softmax,0.10998061149104707,1.533316731452942,0.10420839400280701,100000.0,0.005772217488240049
4,1317123924,minmax,0.11960586516287634,1.5335620641708374,0.1138336476746363,100000.0,0.005772217488240049
4,1317123924,rank,0.10786850203087876,1.5389835834503174,0.10209628454263872,100000.0,0.005772217488240049
4,1317123924,shifted_relu,0.10997263801283774,1.533318042755127,0.10420042052459769,100000.0,0.005772217488240049
5,1991027166,unweighted,0.02137098017071564,1.464393973350525,-0.29716991807040427,100000.0,0.3185408982411199
5,1991027166,relu,0.02137098017071564,1.464393973350525,-0.29716991807040427,100000.0,0.3185408982411199
5,1991027166,softmax,0.02136079875285115,1.4643961191177368,-0.2971800994882688,100000.0,0.3185408982411199
5,1991027166,minmax,-0.011450807219708817,1.4758458137512207,-0.32999170546082873,100000.0,0.3185408982411199
5,1991027166,rank,-0.018216470145268383,1.477256178855896,-0.3367573683863883,100000.0,0.3185408982411199
5,1991027166,shifted_relu,0.02137098017071564,1.464393973350525,-0.29716991807040427,100000.0,0.3185408982411199
6,203411449,unweighted,0.1266211464229935,1.3362621068954468,0.18524105365110846,100000.0,-0.05861990722811498
6,203411449,relu,0.1266211464229935,1.3362621068954468,0.18524105365110846,100000.0,-0.05861990722811498
6,203411449,softmax,0.12663921680852175,1.3362550735473633,0.18525912403663672,100000.0,-0.05861990722811498
6,203411449,minmax,0.15325168514407617,1.3252739906311035,0.21187159237219114,100000.0,-0.05861990722811498
6,203411449,rank,0.17037505735945654,1.3184508085250854,0.22899496458757151,100000.0,-0.05861990722811498
6,203411449,shifted_relu,0.1266211464229935,1.3362621068954468,0.18524105365110846,100000.0,-0.05861990722811498
7,320106164,unweighted,0.06676860888199965,1.5377506017684937,-0.15032470343776505,100000.0,0.2170933123197647
7,320106164,relu,0.06676860888199965,1.5377506017684937,-0.15032470343776505,100000.0,0.2170933123197647
7,320106164,softmax,0.066794210935334,1.5377426147460938,-0.1502991013844307,100000.0,0.2170933123197647
7,320106164,minmax,0.0924379635754171,1.5291712284088135,-0.1246553487443476,100000.0,0.2170933123197647
7,320106164,rank,0.08959937236858616,1.533125877380371,-0.12749393995117853,100000.0,0.2170933123197647
7,320106164,shifted_relu,0.06676860888199965,1.5377506017684937,-0.15032470343776505,100000.0,0.2170933123197647
8,1949451192,unweighted,0.09634256828274103,1.5257701873779297,0.023299646754463707,100000.0,0.07304292152827732
8,1949451192,relu,0.09634256828274103,1.5257701873779297,0.023299646754463707,100000.0,0.07304292152827732
8,1949451192,softmax,0.09635043572879422,1.5257728099822998,0.023307514200516896,100000.0,0.07304292152827732
8,1949451192,minmax,0.09883595393687662,1.5302724838256836,0.0257930324085993,100000.0,0.07304292152827732
8,1949451192,rank,0.08180083311703625,1.5352907180786133,0.008757911588758924,100000.0,0.07304292152827732
8,1949451192,shifted_relu,0.09634256828274103,1.5257701873779297,0.023299646754463707,100000.0,0.07304292152827732
9,68086894,unweighted,0.09093257783561837,1.530708909034729,0.00909054642591331,100000.0,0.08184203140970506
9,68086894,relu,0.09093257783561837,1.530708909034729,0.00909054642591331,100000.0,0.08184203140970506
9,68086894,softmax,0.09094692561113484,1.5307046175003052,0.009104894201429778,100000.0,0.08184203140970506
9,68086894,minmax,0.11169411505739228,1.5266733169555664,0.029852083647687225,100000.0,0.08184203140970506
9,68086894,rank,0.09728173990357392,1.5318049192428589,0.015439708493868859,100000.0,0.08184203140970506
9,68086894,shifted_relu,0.09093257783561837,1.530708909034729,0.00909054642591331,100000.0,0.08184203140970506
