ringnr,island,score,rank
8981026,5,-0.015596179669955745,0
8L48609,6,-0.013564799737650901,1
8934064,5,-0.012127033318392932,2
8730451,1,-0.010422407183796167,3
8M72909,5,-0.00998802314279601,4
8681409,5,-0.00958206229552161,5
8747741,6,-0.00917738737189211,6
8N14959,5,-0.008060467065661214,7
8747636,4,-0.008023537913686596,8
8887370,5,-0.007639588264282793,9
8M71811,0,-0.006865551404189318,10
8N28695,5,-0.006588474694581237,11
8N42289,5,-0.006523717675008811,12
8N42771,10,-0.005587819570791908,13
8309285,5,-0.005564106631936738,14
8L19505,3,-0.005562978207308333,15
8P14278,4,-0.005542576542211464,16
8N42952,4,-0.00514455689699389,17
8N14981,6,-0.00496732906321995,18
8816921,6,-0.004795046792423818,19
8N14591,11,-0.004529539939539973,20
8N42642,7,-0.004520702590525616,21
8L26595,6,-0.004515007043664809,22
8N14980,6,-0.004470478212169837,23
8L30599,5,-0.0043610674219962675,24
8800375,4,-0.00427447966649197,25
8309251,5,-0.0040953503412310965,26
8747224,5,-0.004015082056866959,27
8939150,4,-0.003996445728262188,28
8N14220,5,-0.003909892326191766,29
8M31435,4,-0.0038727039063815027,30
8887462,1,-0.0037456248228409095,31
8M31356,5,-0.003732876110007055,32
8L19995,0,-0.003705400631588418,33
8L89399,6,-0.0036003114946652204,34
8816929,4,-0.003588347811728454,35
8800059,4,-0.003454307285210234,36
8P11947,5,-0.0034240565892105224,37
8N42716,4,-0.0034209449077025056,38
8M72707,6,-0.0033796653733588755,39
8P11530,15,-0.00336915277512162,40
8N14937,4,-0.0033070008921640692,41
8N87574,11,-0.003302416382211959,42
8N73681,13,-0.003242920127377147,43
8N73604,14,-0.003241730404624832,44
8794305,4,-0.00323540045064874,45
8N05203,12,-0.0032344697501685005,46
8M71321,5,-0.0032203309929172974,47
8L64795,13,-0.0031879592788754962,48
8794353,1,-0.0031730339942441788,49
8N73949,12,-0.0031565069293719716,50
8N73093,5,-0.0031509786495007575,51
8N05299,13,-0.0030976090565673076,52
8N05167,12,-0.0030925200760520966,53
8N28832,5,-0.003079259804508183,54
8L64587,12,-0.0030429237958742306,55
8N05220,12,-0.003038086335436674,56
8651952,5,-0.0030131104977044743,57
