ringnr,island,score,rank
8887370,5,-0.00039354718683171086,0
8747224,5,-0.0001914349440994556,1
8981657,2,-0.00018146866023016628,2
8L89399,6,-0.0001785685844879481,3
8N42716,4,-0.0001760637605912052,4
8M72707,6,-0.0001627900883249822,5
8816949,4,-0.00015118047394935274,6
8816954,4,-0.00014333295439428184,7
8M71865,5,-0.00014300743077910738,8
8794352,1,-0.00014269408802647376,9
8981156,12,-0.000140849859235459,10
8N05299,13,-0.0001388295468132128,11
8L64587,12,-0.0001385094874422066,12
8887342,5,-0.0001379034974888782,13
8L89654,5,-0.0001372456845274428,14
8981214,12,-0.00013613606552098645,15
8P11894,14,-0.00013413970918918494,16
8N42715,4,-0.00013194518305681413,17
8M71867,5,-0.0001248865801244392,18
8668476,5,-0.0001244306267835782,19
8981031,4,-0.00012245171274116728,20
8681028,5,-0.0001206832930620294,21
8N13927,5,-0.00011854746026074281,22
8681038,5,-0.00011686715060932329,23
8N14902,6,-0.00011598022229009075,24
8P14856,14,-0.00011566661669348832,25
8N42729,5,-0.00011247759539401159,26
8P11750,7,-0.00011181881382071879,27
8934059,5,-0.00010760811164800543,28
8N73409,4,-0.00010521091553528095,29
8N42989,14,-0.00010380267303844448,30
8L48651,5,-0.00010354076766816434,31
8573608,7,-0.00010350216234655818,32
8943897,5,-0.00010328715507057495,33
8730417,4,-0.0001015464977172087,34
8N73406,4,-0.00010154541178053478,35
8747732,7,-0.00010149494937650161,36
8M72580,11,-0.00010122067033080384,37
8730486,5,-0.00010110518724104622,38
8747735,7,-0.00010039896369562484,39
8934077,5,-0.00010026900599768851,40
8939184,1,-0.00010019108503911411,41
8681396,7,-9.92176783256582e-05,42
8681371,5,-9.850963579083327e-05,43
8681069,9,-9.839087124419166e-05,44
8N73678,13,-9.807097376324236e-05,45
8N87978,13,-9.752885125635657e-05,46
8N27119,7,-9.705883712740615e-05,47
8N73460,11,-9.675032742961776e-05,48
8N05726,5,-9.667906579124974e-05,49
8N27902,1,-9.623663299862528e-05,50
8N05682,15,-9.609722292225342e-05,51
8N05846,5,-9.523909102426842e-05,52
8M71492,13,-9.426826636627084e-05,53
8P14847,14,-9.382433745486196e-05,54
8N72678,11,-9.365995720145293e-05,55
8N28784,14,-9.350899745186325e-05,56
8747758,5,-9.318726552010048e-05,57
8N05534,5,-9.314815088146133e-05,58
8N05709,5,-9.16234266696847e-05,59
8N42706,4,-9.077625145437196e-05,60
8P14992,14,-8.995640564535279e-05,61
8M72666,5,-8.977484412753256e-05,62
8800066,4,-8.947576679929625e-05,63
8800077,5,-8.911002078093588e-05,64
8M31789,11,-8.898816759028705e-05,65
8N06293,2,-8.884267117537092e-05,66
8981604,10,-8.826436896924861e-05,67
8N73533,5,-8.782613713265164e-05,68
8M31824,12,-8.778363098826958e-05,69
8800102,10,-8.682886891620001e-05,70
8N42988,14,-8.658043225295842e-05,71
8N14968,7,-8.645190337119857e-05,72
8N87515,11,-8.601054651080631e-05,73
8L19729,4,-8.593585698690731e-05,74
8P11538,15,-8.501419051754056e-05,75
8N73954,12,-8.45362083055079e-05,76
8N05640,14,-8.407345012528822e-05,77
8M31504,4,-8.385273486055667e-05,78
8981962,2,-8.351401993422769e-05,79
8L26597,6,-8.34677548482432e-05,80
8M72996,10,-8.325751605298137e-05,81
8N14181,6,-8.314680599141866e-05,82
8800171,10,-8.29269592941273e-05,83
8L19960,10,-8.2532570559124e-05,84
8800663,12,-8.097639147308655e-05,85
8M31634,4,-8.089588754955912e-05,86
8N73573,6,-8.085000990831759e-05,87
8N87526,11,-8.060308027779683e-05,88
8N73696,13,-8.042286935960874e-05,89
8L89547,12,-8.026380419323687e-05,90
8816486,5,-7.994312272785464e-05,91
8L48314,5,-7.941229341668077e-05,92
8943009,5,-7.879283839429263e-05,93
8M31764,11,-7.860385358071653e-05,94
8N06853,11,-7.827823355910368e-05,95
8651998,5,-7.82415627327282e-05,96
8939180,5,-7.64157275625621e-05,97
8L89371,5,-7.556173568445956e-05,98
8N27194,14,-7.549315887445118e-05,99
8N06311,5,-7.542430103057995e-05,100
8N13423,9,-7.528249170718482e-05,101
8934888,7,-7.485278047170141e-05,102
8732273,1,-7.484182788175531e-05,103
8N06359,5,-7.462465691787656e-05,104
8N72664,5,-7.457196261384524e-05,105
8M31164,2,-7.435217048623599e-05,106
8L30396,2,-7.426416959788185e-05,107
8816959,4,-7.41092262614984e-05,108
8816418,4,-7.350467694777763e-05,109
8L89276,5,-7.332534369197674e-05,110
8L89655,5,-7.30989431758644e-05,111
8N73526,4,-7.295521845662734e-05,112
8681454,5,-7.274029803738813e-05,113
8732656,5,-7.257175184349762e-05,114
8P14063,5,-7.160955556173576e-05,115
8N28864,4,-7.146183997974731e-05,116
8747529,6,-7.133713643270312e-05,117
8L19921,5,-7.133082908694632e-05,118
8934058,5,-7.104219912434928e-05,119
8943805,1,-7.089250993885798e-05,120
8L48415,7,-7.081653438945068e-05,121
8L30164,12,-7.066394300636603e-05,122
8M72708,6,-7.059109611873282e-05,123
8P11559,14,-7.042562810966047e-05,124
8N05644,14,-7.03670129951206e-05,125
8N14109,6,-7.023021180430078e-05,126
8943880,5,-7.021035162324551e-05,127
8N42679,5,-6.975378983042901e-05,128
8887315,6,-6.930260906301555e-05,129
8168642,5,-6.928091625013622e-05,130
8M31543,6,-6.909427293066983e-05,131
8N06944,4,-6.894464377182885e-05,132
8M72420,13,-6.884798494866118e-05,133
8M71344,12,-6.866880949019105e-05,134
8N72354,6,-6.84802353134728e-05,135
8M31109,12,-6.83707085045171e-05,136
8P14196,5,-6.830903021182166e-05,137
8N87836,14,-6.81485307723051e-05,138
8P14333,14,-6.807514091633493e-05,139
8L89614,4,-6.794945693400223e-05,140
8N05223,12,-6.706446220050566e-05,141
8730454,5,-6.700339235976571e-05,142
8P26701,7,-6.696103491776739e-05,143
8800489,10,-6.655226070506615e-05,144
8981399,12,-6.652335196122294e-05,145
8N06481,12,-6.613039113290142e-05,146
8934884,2,-6.605687531191506e-05,147
8L64915,4,-6.60469695503707e-05,148
8N05840,10,-6.587241705346969e-05,149
8M31781,11,-6.57246573609882e-05,150
8N27907,6,-6.507045145554002e-05,151
8N28898,14,-6.494530316558667e-05,152
8N05695,15,-6.486005804617889e-05,153
8L89384,5,-6.480196088887169e-05,154
8L19988,4,-6.477928536696709e-05,155
8981220,11,-6.380554395946092e-05,156
8N42273,5,-6.366813522618031e-05,157
8N73220,12,-6.356232643156545e-05,158
8M31304,4,-6.33999657111417e-05,159
8981199,11,-6.325896674752585e-05,160
8N05618,14,-6.320590910036117e-05,161
8816496,1,-6.303178179223323e-05,162
8747234,10,-6.295726507232757e-05,163
8800427,5,-6.288973236223683e-05,164
8N42858,5,-6.273950475588208e-05,165
8N42545,7,-6.260791451495606e-05,166
8857252,4,-6.258813255044515e-05,167
8N28041,6,-6.25299303464999e-05,168
8L57758,2,-6.22229326836532e-05,169
8981920,6,-6.201194582899916e-05,170
8N14808,5,-6.193351464389707e-05,171
8M71304,6,-6.191423790369299e-05,172
8N14531,11,-6.179720730870031e-05,173
8732286,8,-6.174366762934369e-05,174
8N05114,14,-6.167808078316739e-05,175
8M31908,12,-6.167006586110801e-05,176
8887243,1,-6.147230942588067e-05,177
8N73493,12,-6.139202923804987e-05,178
8L52978,5,-6.130053225206211e-05,179
8N13697,13,-6.12362241554365e-05,180
8N42276,5,-6.106047840148676e-05,181
8M31874,5,-6.104627527747652e-05,182
8732595,7,-6.097204732213868e-05,183
8N06474,12,-6.0605374983424554e-05,184
8N87553,11,-6.059384531909018e-05,185
8P14126,7,-6.056813890609192e-05,186
8800352,5,-6.0482683693408035e-05,187
8N05175,13,-6.044362771717715e-05,188
8N73923,11,-6.042748964318889e-05,189
