ringnr,island,score,rank
8L48609,6,-1.8650980564416386e-05,0
8934064,5,-1.8513514078222215e-05,1
8981026,5,-1.7792248399928212e-05,2
8747741,6,-1.6769099602242932e-05,3
8681409,5,-1.568222069181502e-05,4
8730451,1,-1.514980976935476e-05,5
8M72909,5,-1.4769476365472656e-05,6
8N28695,5,-1.4314579857455101e-05,7
8N14959,5,-1.4086061128182337e-05,8
8N42289,5,-1.279844218515791e-05,9
8N42771,10,-1.2595045518537518e-05,10
8L19505,3,-1.2571063962241169e-05,11
8309285,5,-1.2502572644734755e-05,12
8P14278,4,-1.2234617315698415e-05,13
8747636,4,-1.2152817362220958e-05,14
8309251,5,-1.207837885885965e-05,15
8N28432,2,-1.2050069017277565e-05,16
8N42952,4,-1.1962569260504097e-05,17
8816921,6,-1.1776229257520754e-05,18
8M31356,5,-1.1596235708566383e-05,19
8N14981,6,-1.1496048500703182e-05,20
8L30599,5,-1.1486630683066323e-05,21
8800375,4,-1.0970833500323351e-05,22
8P11947,5,-1.0576140084594954e-05,23
8N05203,12,-1.0158449185837526e-05,24
8N14591,11,-1.0090195246448275e-05,25
8N14980,6,-1.0068798474094365e-05,26
8939150,4,-1.006007005344145e-05,27
8L26595,6,-1.0045140697911847e-05,28
8N42642,7,-9.99552048597252e-06,29
8P14622,2,-9.991402293962892e-06,30
8943470,2,-9.917379429680295e-06,31
8N73681,13,-9.910915650834795e-06,32
8M31435,4,-9.847493856796063e-06,33
8N73949,12,-9.760477041709237e-06,34
8887462,1,-9.747352123667952e-06,35
8N28832,5,-9.63629918260267e-06,36
8N14220,5,-9.518518709228374e-06,37
8P11530,15,-9.51212496147491e-06,38
8N27835,6,-9.36190554057248e-06,39
8L64142,8,-9.360489457321819e-06,40
8M71823,5,-9.279425285058096e-06,41
8N27307,5,-9.272615898225922e-06,42
8N14937,4,-9.224842870025896e-06,43
8M31713,5,-9.213409612129908e-06,44
8N73626,11,-9.155257430393249e-06,45
8L48310,5,-9.103385309572332e-06,46
8L64795,13,-9.0988551164628e-06,47
8N73093,5,-9.093182598007843e-06,48
8939376,7,-9.020529432746116e-06,49
8794305,4,-9.005721949506551e-06,50
8794353,1,-8.96983237907989e-06,51
8N73636,13,-8.892308869690169e-06,52
8N73604,14,-8.801301191851962e-06,53
8N72348,6,-8.786558282736223e-06,54
8816929,4,-8.730514309718274e-06,55
8800059,4,-8.690959475643467e-06,56
8M71321,5,-8.689743481227197e-06,57
8939379,7,-8.677647201693617e-06,58
8747875,1,-8.663714652357157e-06,59
