ringnr,island,score,rank
8887370,5,-0.0005972934486635495,0
8L89399,6,-0.00026826985231309664,1
8981657,2,-0.00026222421365673654,2
8N42716,4,-0.00025757564799278043,3
8747224,5,-0.0002566265902714804,4
8M72707,6,-0.00023187206898001023,5
8816949,4,-0.00022220638675207738,6
8816954,4,-0.00020526277694443706,7
8N42715,4,-0.00020522904924291652,8
8M71865,5,-0.00019273415273346473,9
8981156,12,-0.00019257802159700077,10
8794352,1,-0.00018927650853584055,11
8P11894,14,-0.00018703531350183766,12
8887342,5,-0.00018648005061550066,13
8L89654,5,-0.000183285219463869,14
8981214,12,-0.00018005878155236132,15
8N05299,13,-0.000177965719558415,16
8L64587,12,-0.0001773954209056683,17
8N13927,5,-0.00017412200577382464,18
8668476,5,-0.00016857597802300006,19
8981031,4,-0.00016423449233116116,20
8M71867,5,-0.0001634945256228093,21
8681038,5,-0.0001619020022189943,22
8P14856,14,-0.00015949395492498297,23
8681028,5,-0.00015667147272324655,24
8730417,4,-0.00015379348951682914,25
8N42729,5,-0.00015278689716069493,26
8N14902,6,-0.00015120552598091308,27
8P11750,7,-0.00015096518109203316,28
8943897,5,-0.00015066364539961796,29
8N73409,4,-0.00015038760648167226,30
8934077,5,-0.00014620343245042022,31
8573608,7,-0.00014496264157060068,32
8934059,5,-0.00014296391782409046,33
8N73406,4,-0.00014209391520125791,34
8N28784,14,-0.000141963148053037,35
8681396,7,-0.00014098838437348604,36
8N05534,5,-0.00013970181862532627,37
8747732,7,-0.00013735473112319596,38
8N05726,5,-0.00013713564294448588,39
8N05709,5,-0.00013698522525373846,40
8N05682,15,-0.00013508126721717417,41
8939184,1,-0.00013431910247163614,42
8L48651,5,-0.00013355393912206637,43
8730486,5,-0.00013301319177116966,44
8N42989,14,-0.0001329633514615125,45
8747735,7,-0.00013211812802182976,46
8800066,4,-0.00013209756070864387,47
8M72580,11,-0.0001320083210885059,48
8N42988,14,-0.00013188405864639208,49
8N87978,13,-0.00013134798064129427,50
8681371,5,-0.0001303852623095736,51
8N05846,5,-0.00013015147942496696,52
8N27119,7,-0.00012964947200089227,53
8N27902,1,-0.00012932802746945526,54
8747758,5,-0.00012580274142237613,55
8M71492,13,-0.00012481705198297277,56
8N42706,4,-0.00012467208398447838,57
8N73460,11,-0.00012421900646586437,58
8N73678,13,-0.00012347345818852773,59
8N72678,11,-0.00012270699517102912,60
8800077,5,-0.0001208941266668262,61
8N14968,7,-0.00011963782526436262,62
8M31789,11,-0.00011941716093133437,63
8800102,10,-0.0001192235740745673,64
8981604,10,-0.00011895329953404143,65
8L19960,10,-0.00011830729363282444,66
8L48314,5,-0.00011823236764030298,67
8M72996,10,-0.00011747824282792863,68
8681069,9,-0.00011747496955649694,69
8M72666,5,-0.00011711644128808985,70
8P14847,14,-0.00011705890028679278,71
8M31824,12,-0.00011563473799469648,72
8N05640,14,-0.0001154135461547412,73
8651998,5,-0.00011427755089243874,74
8N73533,5,-0.00011380869091226486,75
8L26597,6,-0.00011360184271325124,76
8M31504,4,-0.00011342230209265836,77
8M31543,6,-0.00011270794584561372,78
8N06293,2,-0.0001122885105360183,79
8N73954,12,-0.00010863250827242155,80
8P14992,14,-0.00010814681536430726,81
8L19729,4,-0.00010783044035633793,82
8N73696,13,-0.00010748080785560887,83
8M31634,4,-0.00010711084269132698,84
8800171,10,-0.00010703735188144492,85
8N87515,11,-0.00010617557836667402,86
8N73573,6,-0.00010613317317620385,87
8N28864,4,-0.00010596035372145707,88
8N14181,6,-0.00010564766307652462,89
8816486,5,-0.00010537825892242836,90
8L89547,12,-0.00010454687344463309,91
8934888,7,-0.0001033303751682979,92
8N06944,4,-0.000102949217762216,93
8N06853,11,-0.00010250814557366539,94
8L48415,7,-0.00010229837971564848,95
8M31164,2,-0.00010226147605862934,96
8M71304,6,-0.00010219395790045382,97
8747529,6,-0.0001021634207063471,98
8L89276,5,-0.00010096435016748728,99
8L30396,2,-0.00010086013662657933,100
8981962,2,-0.00010051640492747538,101
8L89371,5,-0.00010047862633655313,102
8P11559,14,-0.00010012001712311758,103
8N72354,6,-9.929162570188055e-05,104
8N05644,14,-9.922580102283973e-05,105
8M31781,11,-9.904421858664136e-05,106
8939180,5,-9.864740059128962e-05,107
8L19921,5,-9.843755378824426e-05,108
8943009,5,-9.839567155722762e-05,109
8N42679,5,-9.793698245630367e-05,110
8P11538,15,-9.792321134227677e-05,111
8N13423,9,-9.770324686542153e-05,112
8L89655,5,-9.732453327160329e-05,113
8N72664,5,-9.721982132759877e-05,114
8N27194,14,-9.69134316619602e-05,115
8732273,1,-9.691287414170802e-05,116
8934058,5,-9.632981254981132e-05,117
8N05840,10,-9.632679757487494e-05,118
8981220,11,-9.620994569559116e-05,119
8N73568,6,-9.475590013607871e-05,120
8800663,12,-9.464967024541693e-05,121
8N87526,11,-9.458730619371636e-05,122
8816959,4,-9.454435576117248e-05,123
8L30164,12,-9.422078528587008e-05,124
8N06359,5,-9.38919183681719e-05,125
8816418,4,-9.317892181570642e-05,126
8M72420,13,-9.284408861276461e-05,127
8N14808,5,-9.284347743232502e-05,128
8P14333,14,-9.250108996639028e-05,129
8732595,7,-9.23744937608717e-05,130
8732656,5,-9.230557134287665e-05,131
8681454,5,-9.209670179188834e-05,132
8N28041,6,-9.18182568057091e-05,133
8N06481,12,-9.167804091703147e-05,134
8887315,6,-9.119516380451387e-05,135
8M31764,11,-9.102923922910122e-05,136
8M72708,6,-9.073229375644587e-05,137
8N27142,7,-9.067216979019577e-05,138
8887243,1,-9.022422864291002e-05,139
8939582,10,-8.993529809231404e-05,140
8P26701,7,-8.975098080554744e-05,141
8N14109,6,-8.971598435891792e-05,142
8816496,1,-8.970950329967309e-05,143
8M71344,12,-8.929415253078332e-05,144
8732286,8,-8.909152620617533e-05,145
8L52978,5,-8.882002657628618e-05,146
8730454,5,-8.83142301972839e-05,147
8N73311,15,-8.820440052659251e-05,148
8L64915,4,-8.81345240486553e-05,149
8981399,12,-8.796013480605325e-05,150
8N87608,15,-8.780022017162992e-05,151
8N73444,11,-8.776402682997286e-05,152
8N73526,4,-8.766137307247845e-05,153
8N28510,2,-8.759639149502618e-05,154
8943880,5,-8.737105781619903e-05,155
8L89384,5,-8.730049376026727e-05,156
8N87553,11,-8.708578207006212e-05,157
8P14063,5,-8.699059708305867e-05,158
8N05618,14,-8.676992729306221e-05,159
8N06311,5,-8.661309311719378e-05,160
8943805,1,-8.660331650389708e-05,161
8N27907,6,-8.658145543449791e-05,162
8N42545,7,-8.650798372400459e-05,163
8800151,9,-8.647327740618493e-05,164
8N87836,14,-8.639075440441957e-05,165
8L57758,2,-8.630753336547059e-05,166
8981920,6,-8.588190667069284e-05,167
8800352,5,-8.535579218005296e-05,168
8168642,5,-8.52578868943965e-05,169
8N73220,12,-8.492959295836044e-05,170
8L89639,5,-8.486804063068121e-05,171
8800427,5,-8.484341924486216e-05,172
8L19988,4,-8.464497341265087e-05,173
8N28402,2,-8.429295303358231e-05,174
8934884,2,-8.41495054828556e-05,175
8N06290,2,-8.41442843011464e-05,176
8N73493,12,-8.392502058995888e-05,177
8L52920,6,-8.362538756045979e-05,178
8N42276,5,-8.359871526408824e-05,179
8L57859,2,-8.336668997799279e-05,180
