ringnr,island,score,rank
8887370,5,-0.00041998042433988303,0
8747224,5,-0.0001917294521263102,1
8L89399,6,-0.00019130947657686193,2
8N42716,4,-0.00018897413974627852,3
8981657,2,-0.00018141627697332297,4
8M72707,6,-0.00016410550233558752,5
8816949,4,-0.000160865190991899,6
8816954,4,-0.0001511600294179516,7
8N42715,4,-0.00014555861889675725,8
8887342,5,-0.00014233019828679971,9
8M71865,5,-0.00014218760952644516,10
8794352,1,-0.0001346953049505828,11
8L89654,5,-0.00013292055336933117,12
8N13927,5,-0.00012276268353161868,13
8730417,4,-0.0001214340009028092,14
8668476,5,-0.00011996632929367479,15
8981031,4,-0.0001195708719023969,16
8681038,5,-0.00011895814895979129,17
8M71867,5,-0.00011722053022822365,18
8943897,5,-0.00011640840784821194,19
8681028,5,-0.00011578321209526621,20
8N42729,5,-0.00011286036897217855,21
8N05534,5,-0.00011161148358951323,22
8934059,5,-0.00011118487782368902,23
8934077,5,-0.00010916321298282128,24
8800066,4,-0.00010829626444319729,25
8P11750,7,-0.00010633647980284877,26
8573608,7,-0.00010611207471811213,27
8N14902,6,-0.00010596325955702923,28
8681396,7,-0.00010460122757649515,29
8N73406,4,-0.00010398767608421622,30
8N73409,4,-0.00010316962197975954,31
8N05726,5,-0.00010306484000466298,32
8N27902,1,-0.0001029349568852922,33
8747732,7,-0.00010267546713293996,34
8L48651,5,-9.942023007170064e-05,35
8747735,7,-9.934928039001534e-05,36
8N05709,5,-9.914648580888752e-05,37
8730486,5,-9.79420783551177e-05,38
8N42706,4,-9.710863287182292e-05,39
8681371,5,-9.629421674617333e-05,40
8N27119,7,-9.575182684784522e-05,41
8981604,10,-9.20134534680983e-05,42
8800077,5,-9.140467773249839e-05,43
8939184,1,-9.111965573538328e-05,44
8L48314,5,-8.983203679235885e-05,45
8L19729,4,-8.872499893186614e-05,46
8N14968,7,-8.855784290062729e-05,47
8N73533,5,-8.838541634759167e-05,48
8M72996,10,-8.81376045072102e-05,49
8800102,10,-8.78517639648635e-05,50
8747758,5,-8.754260761634214e-05,51
8N05846,5,-8.747464926273096e-05,52
8681069,9,-8.581541533203563e-05,53
8M31634,4,-8.529310071025975e-05,54
8N14181,6,-8.445804996881634e-05,55
8N28864,4,-8.340006297657965e-05,56
8L19960,10,-8.289732068078592e-05,57
8M31504,4,-8.250256996689131e-05,58
8N06293,2,-8.242955027526477e-05,59
8M31543,6,-8.17004529380938e-05,60
8800171,10,-8.081239775492577e-05,61
8N42545,7,-8.041731825869647e-05,62
8816486,5,-8.024225371627836e-05,63
8651998,5,-7.998736055014888e-05,64
8N27142,7,-7.915835431049345e-05,65
8L89371,5,-7.907028702902608e-05,66
8N06944,4,-7.859367360651959e-05,67
8L26597,6,-7.831518360035261e-05,68
8N72354,6,-7.815111166564748e-05,69
8981962,2,-7.808033933542902e-05,70
8M72666,5,-7.696022476011422e-05,71
8939180,5,-7.636679583811201e-05,72
8934884,2,-7.586128367620404e-05,73
8L30396,2,-7.584772902191617e-05,74
8943009,5,-7.518197526223958e-05,75
8M31164,2,-7.467293380614137e-05,76
8M71304,6,-7.434444614773383e-05,77
8N73568,6,-7.387384175672196e-05,78
8N72664,5,-7.38221033316222e-05,79
8887243,1,-7.363156328210607e-05,80
8N05840,10,-7.334808287851047e-05,81
8L48415,7,-7.285310584848048e-05,82
8N42679,5,-7.25853351468686e-05,83
8N73573,6,-7.233188716782024e-05,84
8816959,4,-7.225447052405798e-05,85
8939582,10,-7.224700220831437e-05,86
8816418,4,-7.215344430733239e-05,87
8L19921,5,-7.208802071545506e-05,88
8934888,7,-7.198216735559981e-05,89
8L89276,5,-7.190408723545261e-05,90
