ringnr,island,score,rank
8887370,5,-0.001320165378274396,0
8L89399,6,-0.0007582522302982397,1
8N42715,4,-0.0007542373714386486,2
8N42716,4,-0.0007121943854144774,3
8747224,5,-0.0006807374011259526,4
8816949,4,-0.000643053361272905,5
8816954,4,-0.00062589534354629,6
8M72707,6,-0.0006257302520680241,7
8N13927,5,-0.0006094621494412422,8
8730417,4,-0.0006003206144669093,9
8981657,2,-0.0005686957665602677,10
8P11894,14,-0.0005504630607902072,11
8943897,5,-0.0005382981325965375,12
8N05534,5,-0.0005345863828551956,13
8N73409,4,-0.0005339064991858322,14
8981031,4,-0.0005313979927450418,15
8573608,7,-0.0005202997890592087,16
8N05709,5,-0.0005141966867086012,17
8N28510,2,-0.0005077808200439904,18
8887342,5,-0.0005075270746601745,19
8N28784,14,-0.0004965859588992316,20
8981156,12,-0.0004946865628880914,21
8681038,5,-0.0004917340556858107,22
8668476,5,-0.00048650668395566754,23
8M31543,6,-0.00048538236296735704,24
8L64587,12,-0.0004821167058253195,25
8N87978,13,-0.0004784132615895942,26
8747735,7,-0.0004775399665959412,27
8L48314,5,-0.0004706048930529505,28
8N05299,13,-0.0004624051944119856,29
8L19960,10,-0.00046018752618692815,30
8M71865,5,-0.0004554934457701165,31
8800066,4,-0.00045176084495324176,32
8L89654,5,-0.00045036683877697214,33
8800077,5,-0.00044563077244674787,34
8N28864,4,-0.0004455710895854281,35
8N14902,6,-0.00044346189679345116,36
8N42729,5,-0.0004431280140124727,37
8N73406,4,-0.00043935546636930667,38
8887243,1,-0.0004390374797367258,39
8M71867,5,-0.00043898712829104625,40
8681396,7,-0.00043667600402841344,41
8934077,5,-0.00043454561819089577,42
8M72996,10,-0.0004338413054938428,43
8981214,12,-0.00043366979298298247,44
8747732,7,-0.0004322712811699603,45
8794352,1,-0.00043226142952335067,46
8L48651,5,-0.00043206946247664746,47
8N05640,14,-0.00043182583249290474,48
8N42988,14,-0.0004308648276492022,49
8P11750,7,-0.00043083983109681867,50
8N05846,5,-0.0004281287037883885,51
8N05682,15,-0.0004252973558322992,52
8L48415,7,-0.0004240714115439914,53
8934059,5,-0.000421652766817715,54
8681371,5,-0.000419544470787514,55
8N05840,10,-0.0004177006321697263,56
8N87608,15,-0.00041444496855547186,57
8887477,4,-0.00041180660446116235,58
8N72678,11,-0.00040963264473248273,59
8N05703,5,-0.0004063067608512938,60
