method,removal_fraction,n,corr_mean,corr_median,corr_std,mse_mean,mse_median,mse_std
random,0.0,40,0.16144441543146965,0.1421976163983345,0.06612943360618087,1.286078479886055,1.2539581656455994,0.24688143313134464
random,0.1,40,0.16795965321362016,0.15449843555688855,0.0677551120581451,1.2860627725720406,1.248319149017334,0.24525768944953957
random,0.2,40,0.15008888477459545,0.13640002161264414,0.08075205338543444,1.2809442803263664,1.2809178829193115,0.24827901924066662
random,0.3,40,0.1444188469671644,0.14943402260541916,0.07600204460397515,1.2866629362106323,1.258176326751709,0.253003689143965
random,0.4,40,0.13798030724283303,0.12135082855820654,0.07244572840645701,1.29156886190176,1.2766665816307068,0.25299836034815437
random,0.5,40,0.1261756373569369,0.12145101651549335,0.08486602790260149,1.2814082697033882,1.3217676877975464,0.25622376335982733
tracin,0.0,40,0.17068826807662843,0.17419255524873728,0.08067993457160752,1.2904316827654838,1.2833991646766663,0.235151984306527
tracin,0.1,40,0.13656852027634153,0.13646194338798515,0.0682425681334052,1.2913375109434129,1.259940505027771,0.25245707007606977
tracin,0.2,40,0.11092644442105662,0.11225930228829381,0.06551161201701333,1.3066377148032189,1.2550538778305054,0.24570058818291154
tracin,0.3,40,0.11076685513835396,0.11274258047342295,0.056557097528401344,1.3306550472974776,1.3094316124916077,0.22339127537709674
tracin,0.4,40,0.13051852849312123,0.12699282169342035,0.05670179208737756,1.3566001296043395,1.3277058601379395,0.20843696980464424
tracin,0.5,40,0.10061036916449662,0.0955041050910949,0.08731454997214068,1.423390930891037,1.4485846757888794,0.21172875053159926
