ringnr,island,score,rank
8L48609,6,-0.0052981350308982655,0
8747741,6,-0.0048524659214308485,1
8747636,4,-0.004690857196692377,2
8730451,1,-0.004095626049092971,3
8N42952,4,-0.0036507524200715125,4
8N42771,10,-0.003127220057649538,5
8816921,6,-0.00256905410788022,6
8800375,4,-0.002549943543272093,7
8M71811,0,-0.0023648864807910286,8
8N73636,13,-0.0022574908725800924,9
8N14591,11,-0.002256579289678484,10
8P14622,2,-0.002212027771747671,11
8N14981,6,-0.0022089114754635375,12
8N42642,7,-0.002155326961656101,13
8573989,3,-0.0021405182633316144,14
8N05220,12,-0.002127043298969511,15
8L19995,0,-0.0020016880735056475,16
8939376,7,-0.0019722103970707394,17
8N14980,6,-0.0019471232990326826,18
8943470,2,-0.0019216342334402725,19
8794305,4,-0.0019202838957426138,20
8L64142,8,-0.001913099731609691,21
8N72348,6,-0.0019081152458966244,22
8L64795,13,-0.0018884995879488997,23
8P11530,15,-0.0018809134180628462,24
8N14937,4,-0.0018766230423352681,25
8L19505,3,-0.0018478098645573482,26
8P14278,4,-0.0018323249751119874,27
8939150,4,-0.001783337131200824,28
8L26595,6,-0.0017673158436082304,29
8N28432,2,-0.0017556643529132998,30
8816929,4,-0.0017335022093902808,31
8N73623,13,-0.0016869230021256953,32
8N87574,11,-0.0016329905993188731,33
8800059,4,-0.0016311105464410502,34
8800104,10,-0.0016205906504183076,35
8L30468,12,-0.001620196591829881,36
8M72406,13,-0.0015980260031938087,37
8M31435,4,-0.0015453900869886184,38
8N05203,12,-0.0015410045361932134,39
8747875,1,-0.001468638618462137,40
8N14587,11,-0.0014300342882052064,41
8N05127,14,-0.0013871722949261311,42
8N27835,6,-0.0013865472974430304,43
8N05263,13,-0.0013839071361871902,44
8L89487,11,-0.0013772186357527971,45
8730497,4,-0.0013580972299678251,46
8P11833,15,-0.001354618801997276,47
8N73949,12,-0.0013519265630748123,48
8939377,7,-0.0013451832674036268,49
8N05167,12,-0.001337736511231924,50
8N14588,11,-0.0013365921404329129,51
8N73624,13,-0.0013320518210093724,52
8N72672,11,-0.0013275559758767486,53
8681009,0,-0.0013239459876785986,54
8N05686,15,-0.0013237974262665375,55
8N87547,11,-0.0013087566221656743,56
8N73626,11,-0.0013063833994237939,57
8747757,7,-0.0012654027668759227,58
8N14758,2,-0.0012644640228245407,59
8N05190,13,-0.0012482823585742153,60
8N42734,4,-0.0012478113058023155,61
8N14017,7,-0.0012467474880395457,62
8800436,6,-0.0012296675995457917,63
8939375,7,-0.0012263777243788354,64
8M72916,6,-0.0012080787846571184,65
8N73604,14,-0.0011991404717264231,66
8N87325,6,-0.0011945528767682845,67
8N73233,12,-0.001174992819869658,68
8M31605,4,-0.0011666310238069855,69
8N87806,14,-0.0011518100800458342,70
8P26525,9,-0.0011500739165057894,71
8887462,1,-0.0011448983113950817,72
8M71158,13,-0.0011436832473918912,73
8800146,9,-0.001140630560257705,74
8N14582,11,-0.0011333626043779077,75
8P26527,9,-0.0011296647644485347,76
8P11051,9,-0.0011181659137946554,77
8L30355,7,-0.0011000681934092427,78
8794353,1,-0.0010975066106766462,79
8N05199,13,-0.001094092084059639,80
8939379,7,-0.0010890394987654872,81
8L52223,8,-0.0010864527976082172,82
8857276,10,-0.0010820743227668572,83
8N28005,2,-0.0010790059805003693,84
8N06851,11,-0.0010727944136306178,85
8N14605,13,-0.001068794652383076,86
8M71231,6,-0.0010665191402949858,87
8N28499,2,-0.0010609254022710957,88
8N14599,11,-0.0010594218510959763,89
8N05444,6,-0.001053472595231142,90
8L48479,4,-0.001052367589181813,91
8L89326,10,-0.001050212300469866,92
8981354,11,-0.0010482159414095804,93
8N28429,2,-0.0010418498459330294,94
8M31285,10,-0.0010367546315137588,95
8N73930,12,-0.0010343216833774704,96
8681200,4,-0.0010319995162717532,97
8N06889,11,-0.0010319844786863541,98
8732621,2,-0.0010181756042584311,99
8N73951,12,-0.0010140100657736184,100
8N87339,4,-0.0010124656109837815,101
8L19656,3,-0.0010093082528328523,102
8N14592,11,-0.001002167913611629,103
8N73230,12,-0.0009991774168156553,104
8747114,6,-0.0009974126405722927,105
