source_island,n,mean,median,std,q10,q90
1,460,-3.148766179011875e-05,1.5919200109237863e-05,0.00025884234844482373,-0.0002962609803034865,0.00022652388973369854
2,1460,-1.15395123363835e-05,2.870569313984106e-05,0.00023134519702470394,-0.0003088176898927486,0.00021623303828164362
3,970,1.0510768840675433e-05,2.390705184751596e-05,0.00017359520280890375,-0.00019481704232475748,0.00020491778298037389
4,2790,-1.6256040670692496e-05,2.918213384361934e-05,0.00026029705086314046,-0.00033115239511971584,0.0002360464814273655
5,5390,-2.054801101748485e-05,2.0154036093344985e-05,0.00028444882336879873,-0.00034599123757743654,0.0002446101475158002
6,1780,-1.6105376673127486e-05,2.2006991784451202e-05,0.0002647129165413971,-0.0003548146691173315,0.00025150422954993705
7,1295,-2.1191153759782366e-05,1.4989793484687652e-05,0.00025140925555650095,-0.0003335646801133407,0.00023928562441142285
8,790,4.232860314561859e-06,3.132351098500408e-05,0.00017055932085969732,-0.00021902329274325893,0.00018733345618784377
9,830,-1.7668256782676249e-06,2.37022721591984e-05,0.00018053373405124178,-0.0002143839529708202,0.00019534517150390231
10,865,-2.709842481961837e-05,1.425891713324745e-05,0.0002649757730171257,-0.00040520141046727074,0.00025668076621059304
11,2915,-6.893485325621202e-06,1.971761832919583e-05,0.000200645976452722,-0.000251366561587929,0.00021012809165767976
12,1985,-1.6934114246168018e-05,2.4044745941864676e-05,0.0002321521991370141,-0.00028905265771754783,0.00020238816123310254
13,2920,-4.879216633735897e-06,2.132873874671759e-05,0.0001912250524569505,-0.0002536179275921313,0.00019351101250322244
14,2430,-2.0397817045429328e-05,2.8589203687090503e-05,0.000214404959308511,-0.00029725101526310025,0.00018113571481990218
15,1010,-1.4610550230678287e-05,1.4237598463751056e-05,0.00020698467911422247,-0.00026564163754301263,0.00019559793921075655
