ringnr,island,score,rank
8887370,5,-0.0033904206939041615,0
8747224,5,-0.0015815795377420727,1
8L89399,6,-0.0015350321991718374,2
8M72707,6,-0.0014442888896155637,3
8981657,2,-0.0014082066700211726,4
8N42716,4,-0.0013758929999312386,5
8887342,5,-0.0012875816100859083,6
8816949,4,-0.0012755247807945125,7
8816954,4,-0.0012529433879535645,8
8981156,12,-0.0012353377533145249,9
8L89654,5,-0.0012006791112071369,10
8L64587,12,-0.0011789377895183861,11
8981214,12,-0.0011691182335198391,12
8M71865,5,-0.001166660847957246,13
8N05299,13,-0.0011283575295237824,14
8794352,1,-0.001125380786106689,15
8M71867,5,-0.001111158650019206,16
8668476,5,-0.0010913857986452058,17
8N42715,4,-0.0010863425013667438,18
8681038,5,-0.001083307884982787,19
8681028,5,-0.0010675965786504094,20
8N14902,6,-0.0010633523233991582,21
8981031,4,-0.0010583880539343227,22
8N13927,5,-0.0010437672935950104,23
8N42729,5,-0.0010274687374476343,24
8939184,1,-0.0010119463986484334,25
8P14856,14,-0.0010107411471835803,26
8P11750,7,-0.0009919429758156184,27
8P11894,14,-0.0009739869528857525,28
8N42989,14,-0.0009653713095758576,29
8M72580,11,-0.0009552900373819284,30
8943897,5,-0.0009544539461785462,31
8573608,7,-0.0009517847247479949,32
8L48651,5,-0.0009261288032575976,33
8934059,5,-0.0009167272728518583,34
8934077,5,-0.0009142487797362264,35
8P11538,15,-0.0009134199244726915,36
8747735,7,-0.0009047649618878495,37
8N87978,13,-0.0008799287061265204,38
8730486,5,-0.0008647616850794293,39
8730417,4,-0.0008644464360259008,40
8M31824,12,-0.0008621987763035577,41
8N05846,5,-0.0008562989933125209,42
8N14181,6,-0.0008439532102784142,43
8681371,5,-0.0008435563977400307,44
8681069,9,-0.0008390508264710661,45
8N73406,4,-0.0008285702097055037,46
8N05682,15,-0.0008245874123531394,47
8N05709,5,-0.0008223416116379667,48
8N73409,4,-0.0008211956082959659,49
8L19729,4,-0.0008196940179914236,50
8981604,10,-0.0008128483859763946,51
8N72678,11,-0.000812178615888115,52
8N73460,11,-0.0008075926343735773,53
8M72666,5,-0.000802595772256609,54
8P14196,5,-0.0007990502745087724,55
8P14847,14,-0.0007979912261362188,56
8800102,10,-0.0007959586473589297,57
8681396,7,-0.0007950746112328488,58
8800171,10,-0.0007948495403979905,59
8N27119,7,-0.0007896262395661324,60
8P14992,14,-0.0007839777063054498,61
8800077,5,-0.0007806713292666245,62
8N14109,6,-0.0007804017077432945,63
8747758,5,-0.0007791140051267575,64
8N06311,5,-0.0007767442766635213,65
8N28784,14,-0.0007747127674520016,66
8N05534,5,-0.0007664932199986652,67
8M31789,11,-0.0007638557508471422,68
8N42988,14,-0.0007635783040313981,69
8981962,2,-0.000763163738156436,70
8M71492,13,-0.0007629960709891748,71
8N05726,5,-0.0007577880242024548,72
8N27194,14,-0.0007510599098168314,73
8747732,7,-0.0007491419401048915,74
8816486,5,-0.0007459502667188644,75
8N14968,7,-0.0007415089457936119,76
8M31109,12,-0.0007412488230329473,77
8N27902,1,-0.0007409104364342056,78
8N06293,2,-0.000734642417228315,79
8M31504,4,-0.0007320508957491256,80
8651998,5,-0.0007300507386389654,81
8L26597,6,-0.0007266453903866932,82
8N87515,11,-0.0007127697899704799,83
8N42706,4,-0.0006979118552408181,84
8N73954,12,-0.0006969077039684635,85
8N72664,5,-0.0006880700966576114,86
8N73533,5,-0.0006876772022224031,87
8816418,4,-0.0006861953625048045,88
8L30396,2,-0.0006858684246253688,89
8L48314,5,-0.0006855761967017315,90
8L19960,10,-0.0006819155860284809,91
8N42679,5,-0.0006818324873165693,92
8M72708,6,-0.0006788322389184032,93
8N73696,13,-0.0006772289343643934,94
8681454,5,-0.0006742243231201428,95
8L89371,5,-0.000673548780468991,96
8L19921,5,-0.0006708450200676452,97
8800066,4,-0.0006696285199723206,98
8M31764,11,-0.0006667856650892645,99
8M72996,10,-0.0006598851177841425,100
8N73678,13,-0.0006571602280018851,101
8N73526,4,-0.000654442348604789,102
8N73573,6,-0.0006519473681692034,103
8730454,5,-0.0006496998321381398,104
8N13423,9,-0.0006440060460590757,105
8N06481,12,-0.0006406044558389112,106
8800427,5,-0.0006402507824532222,107
8N87526,11,-0.0006396373646566644,108
8943009,5,-0.0006384229527611751,109
8N28864,4,-0.0006379948245012201,110
8N05640,14,-0.0006363559759847703,111
8P14333,14,-0.000633189563814085,112
8943805,1,-0.0006310896060313098,113
8732273,1,-0.000630137074040249,114
8P14861,14,-0.0006297807376540732,115
8887315,6,-0.0006282038284552982,116
8M31164,2,-0.0006261325761443004,117
8L64915,4,-0.0006214943477971246,118
8934888,7,-0.0006211337604327127,119
8L89547,12,-0.0006209702896740055,120
8N28898,14,-0.0006198574192239903,121
8L30164,12,-0.000619667574937921,122
8800663,12,-0.0006191979666709813,123
8800489,10,-0.0006159320728329476,124
8981050,12,-0.0006129872672318015,125
8857252,4,-0.0006127556262072176,126
8939180,5,-0.000611485265835654,127
8N05114,14,-0.0006086968569434248,128
8P11559,14,-0.0006081935862312093,129
8N14531,11,-0.0006060907362552825,130
8L89276,5,-0.0006060139403416542,131
8L89655,5,-0.0006037653183739167,132
8N73234,12,-0.0006027507715771208,133
8934058,5,-0.0005990649005980231,134
8N06944,4,-0.0005960956805211026,135
8N27412,5,-0.0005914025350648444,136
8816496,1,-0.0005884395723114721,137
8P26701,7,-0.0005850147208548151,138
8N87836,14,-0.0005823923565912992,139
8N87608,15,-0.0005814675496367272,140
8M31304,4,-0.000580622574489098,141
8747529,6,-0.0005802665582450572,142
8943880,5,-0.0005792396623292007,143
8L89614,4,-0.0005788210528407944,144
8M72420,13,-0.0005757102153438609,145
8N05644,14,-0.0005747810791945085,146
8732656,5,-0.0005746244096371811,147
8N73220,12,-0.0005740129381592851,148
8N72917,13,-0.000568391231354326,149
8981220,11,-0.0005639186201733537,150
8981399,12,-0.0005629539127767202,151
8N13697,13,-0.0005628787857858697,152
8939897,5,-0.0005628471117233858,153
8168642,5,-0.0005602648998319637,154
8L26578,6,-0.0005602546898444416,155
8M71344,12,-0.0005583487909461837,156
8N05442,6,-0.0005561761754506733,157
8N06359,5,-0.0005547695218410809,158
8N28792,15,-0.0005539626581594348,159
8N05256,13,-0.0005539231142392964,160
8N05840,10,-0.000552604199583584,161
8N27908,4,-0.0005512580009963131,162
8M71489,13,-0.0005498092032212298,163
8L57758,2,-0.0005476403530337848,164
8L64598,12,-0.000544851058293716,165
8P14063,5,-0.0005445135229820153,166
8N28091,2,-0.0005442666679300601,167
8N72986,2,-0.0005433289952634368,168
8N05223,12,-0.0005431569807115011,169
8M31874,5,-0.0005424625123851001,170
8816959,4,-0.0005422425711003598,171
8M31543,6,-0.0005413770450104494,172
8800330,7,-0.0005399407509685261,173
8L30829,3,-0.0005398408065957483,174
8N27906,6,-0.00053892715004622,175
8L19988,4,-0.000538270674951491,176
8309175,4,-0.0005381067749112844,177
8981007,5,-0.0005377086181397317,178
8N28218,2,-0.0005370167273213156,179
8M31634,4,-0.000536367243512359,180
8732595,7,-0.0005343211014405824,181
8N72045,2,-0.0005339586932677776,182
8L89384,5,-0.000532782851223601,183
8N87592,11,-0.0005318922176229535,184
8M31781,11,-0.0005310916021699086,185
8L48415,7,-0.0005298726391629316,186
8M31908,12,-0.0005294051279634004,187
8M71304,6,-0.000529308561453945,188
8N14808,5,-0.000528280004800763,189
8M71162,13,-0.000528138347362983,190
8N42276,5,-0.0005276200045045698,191
8981920,6,-0.0005260192065179581,192
8N27907,6,-0.0005252635237411596,193
8N42985,14,-0.0005239885358605534,194
8M31290,5,-0.0005235644548520213,195
8P14126,7,-0.0005212470641708933,196
8N06532,4,-0.0005207480135140941,197
8N28224,8,-0.0005204743265494471,198
8N14143,6,-0.0005157060950296,199
8800339,7,-0.0005145652776263887,200
8L64060,14,-0.0005141495967109222,201
8N13700,13,-0.000513563023559982,202
8N73052,5,-0.0005133118684170768,203
8981199,11,-0.000509756962856045,204
8N87960,13,-0.0005091394086775836,205
8939745,5,-0.0005091310540592531,206
8M71106,13,-0.0005080606060801074,207
8N06853,11,-0.0005076503221062012,208
8N73923,11,-0.0005068662758276332,209
8L64754,13,-0.0005067450474598445,210
8N05695,15,-0.0005067177498858655,211
8N14443,4,-0.0005051503285358194,212
8L19919,5,-0.0005046531441621482,213
8730503,5,-0.0005039589250372956,214
8N42990,14,-0.0005032422086514998,215
8681041,5,-0.0005029215208196547,216
8N14176,6,-0.0005008177940908354,217
8M72013,3,-0.000500648129673209,218
8P26746,7,-0.0005003018595743924,219
8N28041,6,-0.0005002730504202191,220
8800352,5,-0.0004977020671503851,221
8N87553,11,-0.0004969060082657961,222
8N05175,13,-0.0004966206488461467,223
8N27091,14,-0.0004965024527336936,224
8681385,3,-0.0004963986430084333,225
8887243,1,-0.0004956726188538596,226
8N42858,5,-0.0004955966669513145,227
8N13699,13,-0.0004952905655954964,228
8939034,5,-0.0004949899339408148,229
8N28402,2,-0.0004940840299241245,230
8L89722,4,-0.0004929929800709942,231
8934883,3,-0.0004922689859085949,232
8943129,4,-0.0004910003717668587,233
8N73454,11,-0.0004902844993921462,234
8N42273,5,-0.0004890752461506054,235
8N72578,4,-0.0004824955794902053,236
8981047,12,-0.00048183293802139815,237
8N87952,13,-0.0004803090832865564,238
8N05101,14,-0.000480000046081841,239
8L48691,10,-0.0004792721756530227,240
8N42545,7,-0.00047824092871451285,241
8L52695,9,-0.0004766192323586438,242
8M72530,11,-0.0004762655789818382,243
8M31297,6,-0.00047603897110093385,244
8N28767,4,-0.0004755251848109765,245
8N72616,5,-0.00047305233965744264,246
8N73568,6,-0.0004727123050543014,247
8N05128,14,-0.00047210501179506537,248
8L52204,8,-0.00047180122237477917,249
8N28510,2,-0.00047069181164260954,250
8N73493,12,-0.0004704305247287266,251
8L52419,4,-0.0004696612359111896,252
8N73306,15,-0.0004674037445511203,253
8N28470,2,-0.00046736164404137526,254
8P26688,7,-0.00046712172661500517,255
8939095,10,-0.0004666762088163523,256
8L89518,5,-0.00046475831186398864,257
8N42647,7,-0.00046447673958027735,258
8L52335,12,-0.00046281860704766586,259
8P14859,14,-0.00046244944314821623,260
8939118,10,-0.0004619240817191894,261
8747373,5,-0.0004614439767465228,262
8732235,2,-0.00046132528586895205,263
8747234,10,-0.00046026790187170263,264
8N06478,12,-0.0004601607797667384,265
8934884,2,-0.0004582118690450443,266
8N05618,14,-0.00045816648707841523,267
8N13642,14,-0.0004567473733914085,268
8N06488,12,-0.00045656509064428974,269
8939086,5,-0.00045613104703079443,270
8939119,10,-0.00045394529843179043,271
8L30695,12,-0.00045379397306533065,272
8N14515,11,-0.0004530026999418624,273
8N14293,15,-0.00045154481085774023,274
8681076,5,-0.00045109041093382984,275
8732286,8,-0.00044994008567300625,276
8P11532,15,-0.0004496786386880558,277
8N72913,13,-0.000449436292910832,278
8N87546,11,-0.00044867708311358,279
8P11526,15,-0.0004482077838474652,280
8N06900,11,-0.0004474861270864494,281
8N73432,11,-0.0004468841380003141,282
8N73444,11,-0.00044661087486019824,283
8939582,10,-0.0004460420004761545,284
8N06290,2,-0.0004449801599548664,285
8N73680,13,-0.0004436412091308739,286
8N42510,5,-0.0004414513678057119,287
8N72354,6,-0.0004413175774971023,288
8L52978,5,-0.00044016024003212806,289
8M71480,13,-0.0004399317876959685,290
8747518,5,-0.0004398325745569309,291
8N06474,12,-0.00043977144196105655,292
8N05063,4,-0.0004386905402498087,293
8N72663,5,-0.00043808820555568673,294
8N05423,4,-0.0004372143139335094,295
8N27864,6,-0.00043655627996486146,296
8934227,10,-0.000436154996350524,297
8N27932,5,-0.00043568769069679547,298
8N87957,13,-0.000434721290730522,299
8L89793,5,-0.0004345646175352158,300
8N05655,14,-0.0004336064102972159,301
8L48695,6,-0.0004332921389504918,302
8800151,9,-0.0004332649696152657,303
8730927,3,-0.0004324482688389253,304
8800163,7,-0.0004322958284319611,305
8N73442,11,-0.00043187339724681806,306
8816948,4,-0.0004317749117035419,307
8800967,12,-0.000430224827141501,308
8598790,3,-0.0004289270109438803,309
8681175,4,-0.00042884007962129544,310
8L52920,6,-0.00042774372832354857,311
8N06527,5,-0.00042750420470838435,312
8N87271,8,-0.00042720548481156584,313
8M31653,11,-0.00042708662294899113,314
8800022,5,-0.00042663674139475916,315
8939615,6,-0.00042516921985225054,316
8P14982,14,-0.000425107953560655,317
8N14673,13,-0.0004246019943821011,318
8118435,4,-0.00042324448986619245,319
8P11794,2,-0.0004230196136632003,320
8P14988,14,-0.0004221904746373184,321
8N06477,12,-0.0004220504306431394,322
8N14004,6,-0.00042081528590642847,323
8L48661,5,-0.00042078404021594906,324
8L48318,5,-0.00041883262747433037,325
8939768,5,-0.00041758462793950457,326
8N06554,4,-0.0004172918324911734,327
8N87999,13,-0.00041718633292475715,328
8651511,3,-0.0004170573447481729,329
8118433,4,-0.0004165685732004931,330
8800170,10,-0.0004160069820500212,331
8L64981,4,-0.00041567033349565463,332
8L64298,9,-0.000415127420637873,333
8M31445,5,-0.0004148854859522544,334
8N05122,12,-0.00041461327964498196,335
8M31995,1,-0.00041366198820469435,336
8732641,5,-0.0004136444767937064,337
8309141,5,-0.0004130323104618583,338
8N13132,14,-0.00041230124043067917,339
8732672,7,-0.0004114040402782848,340
8N27624,14,-0.0004091635910299374,341
8730493,4,-0.00040894432459026575,342
8747118,5,-0.00040866075323719997,343
8N05704,5,-0.00040826845906849485,344
8L64399,2,-0.00040694037943467265,345
8N27142,7,-0.0004060188075527549,346
8N73989,12,-0.0004059198763570748,347
8M72565,11,-0.0004047332586196717,348
8N73651,13,-0.0004017760838905815,349
8681268,5,-0.0004006451927125454,350
8N72746,5,-0.00039937838300829753,351
8857215,10,-0.0003990708792116493,352
8L52905,7,-0.0003987151631008601,353
8681356,5,-0.00039838011798565276,354
8651899,5,-0.00039796367855160497,355
8N27830,6,-0.00039652652412769385,356
8N42986,14,-0.0003961232450819807,357
8M31507,4,-0.0003957143926527351,358
8N05141,12,-0.00039567193744005635,359
8800469,5,-0.00039556216142955236,360
8L52375,11,-0.0003950454847654328,361
8939353,5,-0.0003943844658351736,362
8N27415,5,-0.00039424819078703877,363
8L89639,5,-0.0003939323978556786,364
8L57990,13,-0.0003922818686987739,365
8L57859,2,-0.0003922812411474297,366
8866710,6,-0.0003920613262380357,367
8P14826,4,-0.00039178260885819327,368
8N14976,7,-0.0003916106124961516,369
8N87937,13,-0.0003915907582268119,370
8M72112,5,-0.00039131080120569095,371
8M72218,8,-0.0003908526286977576,372
8N73311,15,-0.00038938391298870556,373
8M72987,4,-0.00038822249553049915,374
8981120,12,-0.0003878672705468489,375
8934071,5,-0.00038705293627572246,376
8N13086,14,-0.00038666459113301244,377
8816956,4,-0.00038620408849965315,378
8887429,8,-0.0003854102724289987,379
8747569,9,-0.0003850438879453577,380
8N87052,5,-0.00038494940781674813,381
8M72955,4,-0.00038406417797887116,382
8N05272,13,-0.0003831074900517706,383
8N73922,11,-0.0003829960351140471,384
8N14539,11,-0.00038194196531549096,385
8N28690,6,-0.00038172223867150024,386
8N73504,5,-0.00038043206768634263,387
8N72519,4,-0.00038004502494004555,388
8800090,6,-0.0003795308421103982,389
8L52965,6,-0.0003785048456848017,390
8800063,4,-0.00037848860847589094,391
8981822,5,-0.0003782861658692127,392
8N05255,13,-0.00037761983412565314,393
8800179,6,-0.00037500402686418965,394
8N13216,9,-0.000374932291379082,395
8M31338,5,-0.0003747237951756688,396
8981956,3,-0.0003741215950867627,397
8N87815,14,-0.0003734683032234898,398
8943485,5,-0.0003727930561581161,399
8N27630,14,-0.0003725770457094768,400
8N73215,12,-0.0003725727401615586,401
