ringnr,island,score,rank
8887370,5,-8.390185939788353e-05,0
8747224,5,-4.547505386653938e-05,1
8L89399,6,-4.4181955217936775e-05,2
8N42716,4,-4.32183155680832e-05,3
8981657,2,-4.2432290229044156e-05,4
8794352,1,-3.65193832294608e-05,5
8M72707,6,-3.651236193036311e-05,6
8L89654,5,-3.39241164510895e-05,7
8816954,4,-3.359360471222317e-05,8
8N42715,4,-3.340658486195025e-05,9
8887342,5,-3.297076864328119e-05,10
8816949,4,-3.285450839030091e-05,11
8L64587,12,-3.2366047889809124e-05,12
8981214,12,-3.1570518331136554e-05,13
8981156,12,-3.152954332108493e-05,14
8M71865,5,-3.1148579182627145e-05,15
8981031,4,-3.089086203544866e-05,16
8681028,5,-3.082771308982046e-05,17
8943897,5,-3.07212108054955e-05,18
8N05299,13,-3.0087109280430013e-05,19
8668476,5,-3.0015503398317378e-05,20
8P11894,14,-2.9817897939210525e-05,21
8573608,7,-2.9617995096486993e-05,22
8M71867,5,-2.9468117190845078e-05,23
8N14902,6,-2.92664713015256e-05,24
8681038,5,-2.8771331017196644e-05,25
8P11538,15,-2.8238468530616956e-05,26
8939184,1,-2.789463906083256e-05,27
8L48651,5,-2.7557366593100596e-05,28
8N05534,5,-2.7539818574950914e-05,29
8P14856,14,-2.701527728277142e-05,30
8M72580,11,-2.701427092688391e-05,31
8N42989,14,-2.6808933853317285e-05,32
8N13927,5,-2.6691978291637497e-05,33
8681069,9,-2.6482893190404866e-05,34
8681371,5,-2.6289659217582084e-05,35
8934077,5,-2.5809644739638316e-05,36
8P11750,7,-2.5784537683648523e-05,37
8N42729,5,-2.5572365757398074e-05,38
8934059,5,-2.5275239067923394e-05,39
8730417,4,-2.49081081165059e-05,40
8N28784,14,-2.467393119331973e-05,41
8N73406,4,-2.464275303282193e-05,42
8681396,7,-2.4626130652904976e-05,43
8747732,7,-2.448945178912254e-05,44
8N87978,13,-2.4239476033471874e-05,45
8L48314,5,-2.409509238532337e-05,46
8L19729,4,-2.3694223273196258e-05,47
8N05709,5,-2.3583909751323517e-05,48
