ringnr,island,score,rank
8L48609,6,-0.0001842749861680204,0
8747741,6,-0.00012988317729423215,1
8747636,4,-0.0001273072766707628,2
8730451,1,-0.0001270399525310495,3
8M71811,0,-0.00011328977416269481,4
8N42952,4,-0.00011238085920695084,5
8N42642,7,-0.00010850503372239473,6
8N14591,11,-9.649053936300334e-05,7
8P14622,2,-9.5394348818445e-05,8
8816921,6,-9.135934510595689e-05,9
8943470,2,-9.004978892335203e-05,10
8N42771,10,-8.851620327732235e-05,11
8573989,3,-8.847460526340001e-05,12
8L19505,3,-8.578769120504148e-05,13
8N28432,2,-8.542822934032301e-05,14
8M31435,4,-8.343317654180282e-05,15
8N73681,13,-8.301405432575848e-05,16
8L26595,6,-8.285441617772449e-05,17
8N14017,7,-8.262192456243156e-05,18
8N05220,12,-8.21886416133566e-05,19
8N72348,6,-8.03294842626201e-05,20
8L64795,13,-8.022362658266502e-05,21
8939377,7,-7.968015142978402e-05,22
8887462,1,-7.963769462548953e-05,23
8N14981,6,-7.959826507430989e-05,24
8N14937,4,-7.874628494164426e-05,25
8L19995,0,-7.862131428737484e-05,26
8800375,4,-7.838456394893001e-05,27
8P14278,4,-7.836798363314301e-05,28
8794305,4,-7.80252547656346e-05,29
8N27835,6,-7.726984631517553e-05,30
8939150,4,-7.683953333526006e-05,31
8N73949,12,-7.514114008699835e-05,32
8N73636,13,-7.34517516551847e-05,33
8P11530,15,-7.279161798123823e-05,34
8747757,7,-7.115622861419979e-05,35
8N73233,12,-6.920114640251995e-05,36
8M72406,13,-6.868545392535452e-05,37
8L48479,4,-6.826594113817919e-05,38
8N87574,11,-6.764686300186895e-05,39
8816929,4,-6.759090558716707e-05,40
8M31605,4,-6.719802615862136e-05,41
8N73951,12,-6.716692359987064e-05,42
8N14599,11,-6.699816640320932e-05,43
8732678,4,-6.683415629282763e-05,44
8747875,1,-6.61350588870846e-05,45
8N42143,2,-6.560086569606938e-05,46
8N14980,6,-6.545546980873951e-05,47
8N14588,11,-6.469811677334292e-05,48
8M71158,13,-6.43908158508566e-05,49
8939379,7,-6.435371022917025e-05,50
8L89487,11,-6.428659941093429e-05,51
8L89326,10,-6.417453676021978e-05,52
8N72672,11,-6.407215596482274e-05,53
8N87962,13,-6.390807220668648e-05,54
8P11051,9,-6.36203953945369e-05,55
8N14587,11,-6.269818561577267e-05,56
8N14590,11,-6.264559488045052e-05,57
8857401,4,-6.221305505960117e-05,58
8L64142,8,-6.221198077582812e-05,59
8N05444,6,-6.21178127175881e-05,60
8681009,0,-6.178909393383947e-05,61
8M31716,6,-6.136311844784359e-05,62
8917801,2,-6.122606555436505e-05,63
8P26527,9,-6.0507413081722916e-05,64
8L30468,12,-6.043665996458003e-05,65
8L89335,6,-6.033503575508803e-05,66
8N28250,7,-6.022368484082108e-05,67
8L57927,3,-6.0107805552434e-05,68
8N14668,13,-5.9957065502658224e-05,69
8939376,7,-5.984392339541955e-05,70
8M71502,4,-5.980320679555007e-05,71
8N87547,11,-5.9230931128695374e-05,72
8N73624,13,-5.913499083476381e-05,73
8800027,4,-5.911549681059114e-05,74
