method,n_train_size,n_individuals,corr_eval_cal,corr_eval_test,mse_adj_test,pevmean_obj,fitness,target_island,target_island_name,n_cal_samples,repeat,repeat_seed,trait,order_seed,ga_generations,ga_elapsed_sec
all_individuals,5503,5503,0.25289177615100916,0.22754343683546688,0.899124801158905,16597.565144808566,4.595525643303819e-05,3,Selvær,25,3,351047255,body_mass,-2,0,0.0
calibration_ga,500,500,0.9895580352992152,-0.05132763468628586,0.9249802231788635,,0.0019791160705984303,3,Selvær,25,3,351047255,body_mass,-1,100,343.61161866085604
pevmean_ga,500,500,0.19748901062715477,0.29842376190213293,0.8867264986038208,18720.95839837749,0.00039497802125430955,3,Selvær,25,3,351047255,body_mass,-1,100,33.50176393496804
random,500,500,-0.013656894689173664,0.146163653947104,0.917557954788208,,-2.7313789378347326e-05,3,Selvær,25,3,351047255,body_mass,0,0,0.0
random,500,500,-0.23921074918147697,0.21127436290775184,0.8965590596199036,,-0.00047842149836295396,3,Selvær,25,3,351047255,body_mass,1,0,0.0
random,500,500,-0.08624346770488903,0.03446931566354965,0.916230320930481,,-0.00017248693540977805,3,Selvær,25,3,351047255,body_mass,2,0,0.0
random,500,500,-0.12467121125337206,0.18641984434300257,0.9000157713890076,,-0.0002493424225067441,3,Selvær,25,3,351047255,body_mass,3,0,0.0
random,500,500,-0.16096359615468356,0.06481090454811059,0.9184680581092834,,-0.0003219271923093671,3,Selvær,25,3,351047255,body_mass,4,0,0.0
calibration_ga,1000,1000,0.9935965195546075,0.09726214292513823,0.9164014458656311,,0.0009935965195546075,3,Selvær,25,3,351047255,body_mass,-1,100,773.7260368159041
pevmean_ga,1000,1000,0.2605458581867849,0.2608767571038162,0.880706787109375,18309.038621224852,0.00026054585818678487,3,Selvær,25,3,351047255,body_mass,-1,100,135.49711436382495
random,1000,1000,0.07249167233485553,0.0686382036504273,0.9371793866157532,,7.249167233485552e-05,3,Selvær,25,3,351047255,body_mass,0,0,0.0
random,1000,1000,0.009532687415259955,0.1903643649976885,0.9013303518295288,,9.532687415259954e-06,3,Selvær,25,3,351047255,body_mass,1,0,0.0
random,1000,1000,0.11782327821057678,0.09983930922217478,0.9129350781440735,,0.00011782327821057678,3,Selvær,25,3,351047255,body_mass,2,0,0.0
random,1000,1000,0.17613466228504668,0.18228260052183604,0.9058250784873962,,0.00017613466228504667,3,Selvær,25,3,351047255,body_mass,3,0,0.0
random,1000,1000,0.11786812089603492,0.18247982368290547,0.9016393423080444,,0.00011786812089603491,3,Selvær,25,3,351047255,body_mass,4,0,0.0
calibration_ga,2000,2000,0.9713374798330907,0.12699213065182735,0.9137954115867615,,0.0004856687399165454,3,Selvær,25,3,351047255,body_mass,-1,100,1712.810416260967
pevmean_ga,2000,2000,0.3092070130903218,0.18501306552904537,0.9104321599006653,17702.12129709997,0.0001546035065451609,3,Selvær,25,3,351047255,body_mass,-1,100,361.4422353601549
random,2000,2000,0.03937588288671699,0.2617392170477902,0.8822109699249268,,1.9687941443358495e-05,3,Selvær,25,3,351047255,body_mass,0,0,0.0
random,2000,2000,0.08282448613087855,0.15381477853020795,0.9071411490440369,,4.141224306543927e-05,3,Selvær,25,3,351047255,body_mass,1,0,0.0
random,2000,2000,0.07389965057154459,0.19164490429008021,0.8939988017082214,,3.694982528577229e-05,3,Selvær,25,3,351047255,body_mass,2,0,0.0
random,2000,2000,0.30788749827569395,0.08769433957908544,0.9261887073516846,,0.00015394374913784697,3,Selvær,25,3,351047255,body_mass,3,0,0.0
random,2000,2000,0.2086261384256509,0.18310953482164397,0.8974553346633911,,0.00010431306921282544,3,Selvær,25,3,351047255,body_mass,4,0,0.0
calibration_ga,3000,3000,0.8938576572685564,0.16609111231172757,0.9082614779472351,,0.00029795255242285213,3,Selvær,25,3,351047255,body_mass,-1,100,2322.1600860299077
pevmean_ga,3000,3000,0.2864452840406511,0.25324243624655274,0.8890408873558044,17329.61836947297,9.54817613468837e-05,3,Selvær,25,3,351047255,body_mass,-1,100,741.6256662379019
random,3000,3000,0.38885219001354393,0.2073874521444868,0.8924280405044556,,0.0001296173966711813,3,Selvær,25,3,351047255,body_mass,0,0,0.0
random,3000,3000,0.24034219426257583,0.21817683007795535,0.8955432176589966,,8.011406475419194e-05,3,Selvær,25,3,351047255,body_mass,1,0,0.0
random,3000,3000,0.1719875166320906,0.2146831937064162,0.8950614333152771,,5.732917221069687e-05,3,Selvær,25,3,351047255,body_mass,2,0,0.0
random,3000,3000,0.11671272815090734,0.1877462286696608,0.9066736102104187,,3.8904242716969115e-05,3,Selvær,25,3,351047255,body_mass,3,0,0.0
random,3000,3000,0.35436700209963595,0.21137666956010434,0.8972700834274292,,0.00011812233403321198,3,Selvær,25,3,351047255,body_mass,4,0,0.0
calibration_ga,4000,4000,0.7415115759073448,0.19930301969262545,0.9209742546081543,,0.0001853778939768362,3,Selvær,25,3,351047255,body_mass,-1,100,3286.368345672963
pevmean_ga,4000,4000,0.24082928719046268,0.25052922009933903,0.8799566030502319,16967.90281027651,6.020732179761567e-05,3,Selvær,25,3,351047255,body_mass,-1,100,1333.4817678998224
random,4000,4000,0.32992062790554566,0.19159641827670115,0.9076862931251526,,8.248015697638642e-05,3,Selvær,25,3,351047255,body_mass,0,0,0.0
random,4000,4000,0.24703952520351646,0.2860715121187071,0.8868762254714966,,6.175988130087912e-05,3,Selvær,25,3,351047255,body_mass,1,0,0.0
random,4000,4000,0.2417431043072586,0.25656133414411636,0.8841224312782288,,6.043577607681465e-05,3,Selvær,25,3,351047255,body_mass,2,0,0.0
random,4000,4000,0.19900144477596837,0.20124592394394888,0.89994877576828,,4.975036119399209e-05,3,Selvær,25,3,351047255,body_mass,3,0,0.0
random,4000,4000,0.2658370123675328,0.2261440662141811,0.8991681337356567,,6.645925309188321e-05,3,Selvær,25,3,351047255,body_mass,4,0,0.0
all_individuals,5503,5503,0.0261848353911631,0.29553415610398104,0.8860840201377869,16597.565144808566,4.758283734538088e-06,3,Selvær,50,3,1565904768,body_mass,-2,0,0.0
calibration_ga,500,500,0.9185922105973005,0.24446825023682553,0.9418877363204956,,0.0018371844211946009,3,Selvær,50,3,1565904768,body_mass,-1,100,352.7561422570143
pevmean_ga,500,500,0.14647354399909737,0.3284263309705604,0.9045219421386719,18720.95839837749,0.0002929470879981947,3,Selvær,50,3,1565904768,body_mass,-1,100,33.50176393496804
random,500,500,-0.006110306895812074,0.2531942534084277,0.9271200895309448,,-1.2220613791624148e-05,3,Selvær,50,3,1565904768,body_mass,0,0,0.0
random,500,500,-0.08858512351807987,0.24324083260111498,0.9323530197143555,,-0.00017717024703615974,3,Selvær,50,3,1565904768,body_mass,1,0,0.0
random,500,500,0.21180671520329214,0.13105238208069944,0.9462036490440369,,0.00042361343040658427,3,Selvær,50,3,1565904768,body_mass,2,0,0.0
random,500,500,-0.03407488054954902,0.1698362264458692,0.9587851762771606,,-6.814976109909804e-05,3,Selvær,50,3,1565904768,body_mass,3,0,0.0
random,500,500,0.053821425483749054,0.23524903863057484,0.9316575527191162,,0.00010764285096749811,3,Selvær,50,3,1565904768,body_mass,4,0,0.0
calibration_ga,1000,1000,0.9062548972721566,0.19294497197804264,0.9569610953330994,,0.0009062548972721565,3,Selvær,50,3,1565904768,body_mass,-1,100,754.5584736110177
pevmean_ga,1000,1000,0.0739482725740421,0.3217572128948614,0.8981696367263794,18309.038621224852,7.39482725740421e-05,3,Selvær,50,3,1565904768,body_mass,-1,100,135.49711436382495
random,1000,1000,0.16569704716360723,0.12043499531473857,0.9478732347488403,,0.00016569704716360722,3,Selvær,50,3,1565904768,body_mass,0,0,0.0
random,1000,1000,0.11492372501946921,0.30457027648899865,0.9146394729614258,,0.00011492372501946921,3,Selvær,50,3,1565904768,body_mass,1,0,0.0
random,1000,1000,0.13910826724943348,0.21364736121957145,0.9277053475379944,,0.00013910826724943348,3,Selvær,50,3,1565904768,body_mass,2,0,0.0
random,1000,1000,-0.05783357398862732,0.21027103113433848,0.9303858876228333,,-5.783357398862732e-05,3,Selvær,50,3,1565904768,body_mass,3,0,0.0
random,1000,1000,0.16765906682509107,0.16329724391788408,0.9434090852737427,,0.00016765906682509108,3,Selvær,50,3,1565904768,body_mass,4,0,0.0
