trait,target_island,method,n_train_size,n_cal_samples,corr_test_mean,corr_test_std,corr_cal_mean,mse_test_mean,n_rows
body_mass,3,all_individuals,5503,25,0.2296751123294811,,0.141914215341506,0.892913281917572,1
body_mass,3,all_individuals,5503,50,0.2301793551982575,,0.1901730935241596,0.9841026663780212,1
body_mass,3,all_individuals,5503,100,0.1643712996629859,,0.2596846923508355,0.7528439164161682,1
body_mass,3,calibration_ga,500,25,-0.0566981460172425,,0.9974659226928652,0.9413827657699584,1
body_mass,3,calibration_ga,500,50,0.1619394728114445,,0.9251789685276413,1.0122193098068235,1
body_mass,3,calibration_ga,500,100,-0.099525117140055,,0.819412142867585,0.7772780656814575,1
body_mass,3,calibration_ga,1000,25,0.1062013891975321,,0.9853934146696284,0.9148125052452089,1
body_mass,3,calibration_ga,1000,50,0.2130879296374901,,0.895730688894817,0.9980593919754028,1
body_mass,3,calibration_ga,1000,100,0.024468853851884,,0.7382597886311166,0.7780302166938782,1
body_mass,3,calibration_ga,2000,25,0.1030088293815055,,0.969104231196281,0.9211597442626952,1
body_mass,3,calibration_ga,2000,50,0.0950100672512565,,0.8229311480970638,1.0190335512161257,1
body_mass,3,calibration_ga,2000,100,0.0806757861356164,,0.7559270806254558,0.7709431052207947,1
body_mass,3,calibration_ga,3000,25,0.0736431310113907,,0.9336372092057822,0.9343491196632384,1
body_mass,3,calibration_ga,3000,50,0.1679564983750399,,0.7595056553824613,1.0074472427368164,1
body_mass,3,calibration_ga,3000,100,0.1026737097609247,,0.6705312435440071,0.7794061303138733,1
body_mass,3,calibration_ga,4000,25,0.2057210373219631,,0.8882781633652486,0.8982263803482056,1
body_mass,3,calibration_ga,4000,50,0.2276986116418005,,0.6493456874689653,0.9845218658447266,1
body_mass,3,calibration_ga,4000,100,0.1624631947139391,,0.625825737468592,0.7500026226043701,1
body_mass,3,pevmean_ga,500,25,0.2367227892688427,,-0.2655664505555468,0.9000512957572937,1
body_mass,3,pevmean_ga,500,50,0.1801647404142788,,0.2014729391991298,1.00604248046875,1
body_mass,3,pevmean_ga,500,100,0.1287172285479316,,0.2181835555788916,0.7406159043312073,1
body_mass,3,pevmean_ga,1000,25,0.1590456342181407,,-0.1377501624434756,0.9083921909332277,1
body_mass,3,pevmean_ga,1000,50,0.084200396887983,,0.2822505165299003,1.0140726566314695,1
body_mass,3,pevmean_ga,1000,100,0.0859684112502619,,0.1747649798822114,0.766467809677124,1
body_mass,3,pevmean_ga,2000,25,0.1915776946510524,,0.2812016412919355,0.9125157594680786,1
body_mass,3,pevmean_ga,2000,50,0.2011132722423945,,0.1972560442364019,0.9991416931152344,1
body_mass,3,pevmean_ga,2000,100,0.1804609005625586,,0.212614690392498,0.743922233581543,1
body_mass,3,pevmean_ga,3000,25,0.2418988269398344,,0.2333980509474388,0.8859862089157104,1
body_mass,3,pevmean_ga,3000,50,0.2334478490338743,,0.279317066984122,0.981815755367279,1
body_mass,3,pevmean_ga,3000,100,0.1944368188228414,,0.2726532197087064,0.737967312335968,1
body_mass,3,pevmean_ga,4000,25,0.2132936202986074,,0.0645788456936092,0.8994044661521912,1
body_mass,3,pevmean_ga,4000,50,0.1933517581584966,,0.2218519689345027,0.9972124099731444,1
body_mass,3,pevmean_ga,4000,100,0.1330289290705702,,0.2449008718136039,0.7608026266098022,1
body_mass,3,random,500,25,0.16132126627474677,0.04323866319517051,-0.01336377562920416,0.9167947053909302,5
body_mass,3,random,500,50,0.08852796472386014,0.10557671616545479,0.13657543420195184,1.0205030679702758,5
body_mass,3,random,500,100,0.07358023904859952,0.08020780880674745,0.08924763623511318,0.7665917754173279,5
body_mass,3,random,1000,25,0.13405767738596613,0.07691043335649893,-0.05546704582783033,0.913600492477417,5
body_mass,3,random,1000,50,0.1375152716795084,0.053982631881988805,0.20250007420721472,1.002870512008667,5
body_mass,3,random,1000,100,0.13035517823136983,0.07963288783469911,0.15769729620974043,0.7615744590759277,5
body_mass,3,random,2000,25,0.20143772127247545,0.04759227968868701,0.1074762047679519,0.9007137656211853,5
body_mass,3,random,2000,50,0.14741141014367967,0.06781559368700743,0.10153777850565678,1.0067809104919434,5
body_mass,3,random,2000,100,0.06266938133689151,0.06337246013175672,0.17479407272410544,0.7679513812065124,5
body_mass,3,random,3000,25,0.1923531279770179,0.02281788128183239,0.13024612791992105,0.9018034338951111,5
body_mass,3,random,3000,50,0.19519980329374503,0.05059579793237867,0.16109371072066928,0.9901363015174866,5
body_mass,3,random,3000,100,0.13411349352718194,0.0874162167994317,0.25057613196329587,0.7568860292434693,5
body_mass,3,random,4000,25,0.20851283059737052,0.026649071054280056,0.07563413615726707,0.8999452948570251,5
body_mass,3,random,4000,50,0.21800051883327293,0.018457446291255855,0.16961364505527507,0.9832934617996216,5
body_mass,3,random,4000,100,0.13962670574928882,0.017424821965245724,0.23176221655349308,0.7571606993675232,5
